,dentro,sexo,edad,especial
< de 1 año-H,,hombres,menores a 1 año,
< de 1 año-M,,mujeres,menores a 1 año,
1 a 4 años-H,,hombres,de 1 a 4 años,
1 a 4 años-M,,mujeres,de 1 a 4 años,
5 a 14 años-H,,hombres,de 5 a 14 años,
5 a 14 años-M,,mujeres,de 5 a 14 años,
15 a 59 años-H,,hombres,de 15 a 59 años,
15 a 59 años-M,,mujeres,de 15 a 59 años,
60 y más-H,,hombres,de 60 y más años,
60 y más-M,,mujeres,de 60 y más años,
TOTAL-H,,hombres,,total
TOTAL-M,,mujeres,,total
TOTAL,,,,total
< de 1 año,,,menores a 1 año,
1 a 4 años,,,de 1 a 4 años,
5 a 14 años,,,de 5 a 14 años,
15 a 59 años,,,de 15 a 59 años,
60 y más,,,de 60 y más años,
5 a 9 años,,,de 5 a 9 años,
10 a 20 años,,,de 10 a 20 años,
21 a 59 años,,,de 21 a 59 años,
de-1-ano_masculino,,hombres,de 1 año,
de-1-ano-1_femenino,,mujeres,de 1 año,
1-a-4-anos_masculino,,hombres,de 1 a 4 años,
1-a-4-anos-1_femenino,,mujeres,de 1 a 4 años,
5-a-9-anos_masculino,,hombres,de 5 a 9 años,
5-a-9-anos-1_femenino,,mujeres,de 5 a 9 años,
10-a-20-anos_masculino,,hombres,de 10 a 20 años,
10-a-20-anos-1_femenino,,mujeres,de 10 a 20 años,
21-a-59-anos_masculino,,hombres,de 21 a 59 años,
21-a-59-anos-1_femenino,,mujeres,de 21 a 59 años,
60-y-mas_masculino,,hombres,de 60 y más años,
60-y-mas-1_femenino,,mujeres,de 60 y más años,
totales_total-m,,hombres,,total
totales-1_total-f,,mujeres,,total
totales-2_total,,,,total
total-H,,hombres,,total
total-M,,mujeres,,total
TOTAL-H1,,hombres,,total
TOTAL-M1,,mujeres,,total
Cantidad-H,,hombres,,cantidad
Cantidad-M,,mujeres,,cantidad
Dentro-H,dentro de establecimientos,hombres,,
Dentro-M,dentro de establecimientos,mujeres,,
Fuera-H,fuera de establecimientos,hombres,,
Fuera-M,fuera de establecimientos,mujeres,,
dentro_masculino,dentro de establecimientos,hombres,,
dentro-1_femenino,dentro de establecimientos,mujeres,,
fuera_masculino,fuera de establecimientos,hombres,,
fuera-1_femenino,fuera de establecimientos,mujeres,,
total,,,,total
Total-H,,hombres,,
Total-M,,mujeres,,
Cantidad,,,,cantidad
< de 2 años-H,,hombres,menores a 2 años,
< de 2 años-M,,mujeres,menores a 2 años,
2 a 4 años-H,,hombres,de 2 a 4 años,
2 a 4 años-M,,mujeres,de 2 a 4 años,
1-a-menor-de-2-anos_masculino,,hombres,de 1 a 2 años,
1-a-menor-de-2-anos-1_femenino,,mujeres,de 1 a 2 años,
2-a-menor-de-5-anos_masculino,,hombres,de 2 a 5 años,
2-a-menor-de-5-anos-1_femenino,,mujeres,de 2 a 5 años,
imc_mujer-embarazada,,mujeres,,embarazadas según IMC
imc-1_,,,,población general según IMC
Nro.,,,,número de eventos
Nro. Afectados,,,,número de afectados
Nro. Fallecidos,,,,número de fallecidos
a. Nro. Eventos,,,,número de eventos
b. Nro. Personas afectadas,,,,número de afectados
c. Nro. Personas fallecidas,,,,número de fallecidos
a-menor-de-6-meses_masculino,,hombres,de 6 meses,
a-menor-de-6-meses-1_femenino,,mujeres,menores a 6 meses,
b-6-meses-a-menor-de-1-ano_masculino,,hombres,de 6 meses a 1 año,
b-6-meses-a-menor-de-1-ano-1_femenino,,mujeres,de 6 meses a 1 año,
c-1-4-anos_masculino,,hombres,de 1 a 4 años,
c-1-4-anos-1_femenino,,mujeres,de 1 a 4 años,
d-5-9-anos_masculino,,hombres,de 5 a 9 años,
