codigo_municipio,municipio,grupo,variable,mes,hombres total,mujeres total,hombres total.1,mujeres total.1,total
30201,AIQUILE,violencia intrafamiliar,violencia contra el hombre,2001-01-01,1,0,1,0,1
30501,ARANI,violencia intrafamiliar,violencia contra el hombre,2001-01-01,1,0,1,0,1
21203,BATALLAS,violencia intrafamiliar,violencia contra el hombre,2001-01-01,1,0,1,0,1
20905,CAIROMA,violencia intrafamiliar,violencia contra el hombre,2001-01-01,1,0,1,0,1
70702,CHARAGUA,violencia intrafamiliar,violencia contra el hombre,2001-01-01,1,0,1,0,1
50601,COTAGAITA,violencia intrafamiliar,violencia contra el hombre,2001-01-01,2,0,2,0,2
10902,CULPINA,violencia intrafamiliar,violencia contra el hombre,2001-01-01,1,0,1,0,1
20804,DESAGUADERO,violencia intrafamiliar,violencia contra el hombre,2001-01-01,3,0,3,0,3
20105,EL ALTO,violencia intrafamiliar,violencia contra el hombre,2001-01-01,1,0,1,0,1
10703,INCAHUASI,violencia intrafamiliar,violencia contra el hombre,2001-01-01,2,0,2,0,2
21102,IRUPANA (VILLA DE LANZA),violencia intrafamiliar,violencia contra el hombre,2001-01-01,1,0,1,0,1
20101,LA PAZ,violencia intrafamiliar,violencia contra el hombre,2001-01-01,1,0,1,0,1
70701,LAGUNILLAS,violencia intrafamiliar,violencia contra el hombre,2001-01-01,1,0,1,0,1
10903,LAS CARRERAS,violencia intrafamiliar,violencia contra el hombre,2001-01-01,1,0,1,0,1
10501,MONTEAGUDO,violencia intrafamiliar,violencia contra el hombre,2001-01-01,2,0,2,0,2
40101,ORURO,violencia intrafamiliar,violencia contra el hombre,2001-01-01,2,0,2,0,2
10401,PADILLA,violencia intrafamiliar,violencia contra el hombre,2001-01-01,1,0,1,0,1
20702,PELECHUCO,violencia intrafamiliar,violencia contra el hombre,2001-01-01,1,0,1,0,1
31203,POCONA,violencia intrafamiliar,violencia contra el hombre,2001-01-01,2,0,2,0,2
31401,PUNATA,violencia intrafamiliar,violencia contra el hombre,2001-01-01,1,0,1,0,1
80501,SAN IGNACIO,violencia intrafamiliar,violencia contra el hombre,2001-01-01,1,0,1,0,1
30401,TARATA,violencia intrafamiliar,violencia contra el hombre,2001-01-01,6,0,6,0,6
31601,TIRAQUE (CBBA),violencia intrafamiliar,violencia contra el hombre,2001-01-01,1,0,1,0,1
41001,TOLEDO,violencia intrafamiliar,violencia contra el hombre,2001-01-01,2,0,2,0,2
51501,VILLAZON,violencia intrafamiliar,violencia contra el hombre,2001-01-01,1,0,1,0,1
60202,BERMEJO,violencia intrafamiliar,violencia contra el hombre,2001-02-01,3,0,3,0,3
70703,CABEZAS,violencia intrafamiliar,violencia contra el hombre,2001-02-01,1,0,1,0,1
21003,CAJUATA,violencia intrafamiliar,violencia contra el hombre,2001-02-01,1,0,1,0,1
10701,CAMARGO,violencia intrafamiliar,violencia contra el hombre,2001-02-01,1,0,1,0,1
21701,COPACABANA,violencia intrafamiliar,violencia contra el hombre,2001-02-01,1,0,1,0,1
40301,CORQUE,violencia intrafamiliar,violencia contra el hombre,2001-02-01,1,0,1,0,1
70704,CUEVO,violencia intrafamiliar,violencia contra el hombre,2001-02-01,1,0,1,0,1
10902,CULPINA,violencia intrafamiliar,violencia contra el hombre,2001-02-01,1,0,1,0,1
20804,DESAGUADERO,violencia intrafamiliar,violencia contra el hombre,2001-02-01,5,0,5,0,5
20105,EL ALTO,violencia intrafamiliar,violencia contra el hombre,2001-02-01,7,0,7,0,7
21102,IRUPANA (VILLA DE LANZA),violencia intrafamiliar,violencia contra el hombre,2001-02-01,1,0,1,0,1
10903,LAS CARRERAS,violencia intrafamiliar,violencia contra el hombre,2001-02-01,1,0,1,0,1
50203,LLALLAGUA,violencia intrafamiliar,violencia contra el hombre,2001-02-01,6,0,6,0,6
80601,LORETO,violencia intrafamiliar,violencia contra el hombre,2001-02-01,1,0,1,0,1
20402,MOCOMOCO,violencia intrafamiliar,violencia contra el hombre,2001-02-01,2,0,2,0,2
71001,MONTERO,violencia intrafamiliar,violencia contra el hombre,2001-02-01,7,0,7,0,7
30302,MOROCHATA,violencia intrafamiliar,violencia contra el hombre,2001-02-01,2,0,2,0,2
10401,PADILLA,violencia intrafamiliar,violencia contra el hombre,2001-02-01,3,0,3,0,3
31202,POJO (CBBA),violencia intrafamiliar,violencia contra el hombre,2001-02-01,1,0,1,0,1
71402,PUERTO QUIJARRO,violencia intrafamiliar,violencia contra el hombre,2001-02-01,2,0,2,0,2
31205,PUERTO VILLARROEL,violencia intrafamiliar,violencia contra el hombre,2001-02-01,1,0,1,0,1
20601,SORATA,violencia intrafamiliar,violencia contra el hombre,2001-02-01,2,0,2,0,2
