codigo_municipio,municipio,grupo,variable,mes,hombres menores a 1 año,mujeres menores a 1 año,hombres de 1 a 4 años,mujeres de 1 a 4 años,hombres de 5 a 14 años,mujeres de 5 a 14 años,hombres de 15 a 59 años,mujeres de 15 a 59 años,hombres de 60 y más años,mujeres de 60 y más años,hombres total,mujeres total,total
51302,ACACIO,clasificacion general sistemica,otras causas,2002-01-01,1,0,0,0,0,0,5,0,2,0,8,0,8
20201,ACHACACHI,clasificacion general sistemica,otras causas,2002-01-01,1,0,3,0,5,0,27,0,8,0,44,0,44
20104,ACHOCALLA,clasificacion general sistemica,otras causas,2002-01-01,1,0,3,0,6,0,10,0,6,0,26,0,26
30201,AIQUILE,clasificacion general sistemica,otras causas,2002-01-01,18,0,13,0,10,0,66,0,8,0,115,0,115
31303,ALALAY,clasificacion general sistemica,otras causas,2002-01-01,0,0,1,0,0,0,5,0,1,0,7,0,7
10404,ALCALA,clasificacion general sistemica,otras causas,2002-01-01,2,0,1,0,1,0,1,0,0,0,5,0,5
20202,ANCORAIMES,clasificacion general sistemica,otras causas,2002-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
41201,ANDAMARCA,clasificacion general sistemica,otras causas,2002-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
30402,ANZALDO,clasificacion general sistemica,otras causas,2002-01-01,0,0,0,0,7,0,22,0,9,0,38,0,38
20701,APOLO,clasificacion general sistemica,otras causas,2002-01-01,3,0,6,0,5,0,54,0,1,0,69,0,69
51301,ARAMPAMPA,clasificacion general sistemica,otras causas,2002-01-01,0,0,1,0,3,0,4,0,1,0,9,0,9
30501,ARANI,clasificacion general sistemica,otras causas,2002-01-01,4,0,2,0,1,0,4,0,1,0,12,0,12
30403,ARBIETO,clasificacion general sistemica,otras causas,2002-01-01,0,0,0,0,0,0,1,0,1,0,2,0,2
30601,ARQUE,clasificacion general sistemica,otras causas,2002-01-01,0,0,0,0,2,0,13,0,1,0,16,0,16
71501,ASCENCION DE GUARAYOS,clasificacion general sistemica,otras causas,2002-01-01,5,0,9,0,7,0,59,0,3,0,83,0,83
50802,ATOCHA,clasificacion general sistemica,otras causas,2002-01-01,3,0,10,0,24,0,134,0,3,0,174,0,174
20502,AYATA,clasificacion general sistemica,otras causas,2002-01-01,0,0,0,0,1,0,0,0,1,0,2,0,2
21303,AYO AYO,clasificacion general sistemica,otras causas,2002-01-01,0,0,0,0,0,0,5,0,0,0,5,0,5
30301,AYOPAYA (V. DE INDEPENDENCIA),clasificacion general sistemica,otras causas,2002-01-01,1,0,7,0,5,0,58,0,6,0,77,0,77
10201,AZURDUY,clasificacion general sistemica,otras causas,2002-01-01,6,0,5,0,2,0,31,0,0,0,44,0,44
80802,BAURES,clasificacion general sistemica,otras causas,2002-01-01,2,0,2,0,0,0,0,0,0,0,4,0,4
41202,BELEN DE ANDAMARCA,clasificacion general sistemica,otras causas,2002-01-01,0,0,0,0,1,0,6,0,1,0,8,0,8
50104,BELEN DE URMIRI,clasificacion general sistemica,otras causas,2002-01-01,1,0,6,0,4,0,8,0,2,0,21,0,21
90104,BELLA FLOR,clasificacion general sistemica,otras causas,2002-01-01,0,0,2,0,1,0,0,0,1,0,4,0,4
60202,BERMEJO,clasificacion general sistemica,otras causas,2002-01-01,9,0,30,0,49,0,211,0,38,0,337,0,337
50301,BETANZOS,clasificacion general sistemica,otras causas,2002-01-01,3,0,8,0,13,0,79,0,31,0,134,0,134
31501,BOLIVAR,clasificacion general sistemica,otras causas,2002-01-01,1,0,0,0,6,0,6,0,1,0,14,0,14
70707,BOYUIBE,clasificacion general sistemica,otras causas,2002-01-01,2,0,0,0,1,0,2,0,0,0,5,0,5
70401,BUENA VISTA,clasificacion general sistemica,otras causas,2002-01-01,13,0,6,0,11,0,83,0,17,0,130,0,130
70703,CABEZAS,clasificacion general sistemica,otras causas,2002-01-01,5,0,9,0,15,0,67,0,1,0,97,0,97
20905,CAIROMA,clasificacion general sistemica,otras causas,2002-01-01,1,0,0,0,1,0,15,0,0,0,17,0,17
51102,"CAIZA ""D""",clasificacion general sistemica,otras causas,2002-01-01,1,0,0,0,8,0,30,0,1,0,40,0,40
21003,CAJUATA,clasificacion general sistemica,otras causas,2002-01-01,4,0,7,0,7,0,15,0,2,0,35,0,35
20303,CALACOTO,clasificacion general sistemica,otras causas,2002-01-01,2,0,0,0,0,0,1,0,0,0,3,0,3
21304,CALAMARCA,clasificacion general sistemica,otras causas,2002-01-01,3,0,0,0,1,0,1,0,0,0,5,0,5
10701,CAMARGO,clasificacion general sistemica,otras causas,2002-01-01,8,0,8,0,8,0,25,0,6,0,55,0,55
10901,CAMATAQUI (C. VILLA ABECIA),clasificacion general sistemica,otras causas,2002-01-01,1,0,3,0,2,0,11,0,5,0,22,0,22
70706,CAMIRI,clasificacion general sistemica,otras causas,2002-01-01,64,0,119,0,130,0,394,0,94,0,801,0,801
30701,CAPINOTA,clasificacion general sistemica,otras causas,2002-01-01,2,0,3,0,4,0,39,0,3,0,51,0,51
20302,CAQUIAVIRI,clasificacion general sistemica,otras causas,2002-01-01,0,0,2,0,6,0,12,0,5,0,25,0,25
40102,CARACOLLO,clasificacion general sistemica,otras causas,2002-01-01,2,0,4,0,2,0,3,0,0,0,11,0,11
22001,CARANAVI,clasificacion general sistemica,otras causas,2002-01-01,32,0,83,0,42,0,137,0,9,0,303,0,303
