codigo_municipio,municipio,grupo,variable,mes,dentro de establecimientos hombres,dentro de establecimientos mujeres,fuera de establecimientos hombres,fuera de establecimientos mujeres,hombres total,mujeres total,total
10201,AZURDUY,mortalidad,muerte menor de 1 ano,2010-01-01,0,0,0,1,0,1,1
60202,BERMEJO,mortalidad,muerte menor de 1 ano,2010-01-01,0,0,0,1,0,1,1
50301,BETANZOS,mortalidad,muerte menor de 1 ano,2010-01-01,0,1,0,0,0,1,1
70703,CABEZAS,mortalidad,muerte menor de 1 ano,2010-01-01,2,0,0,0,2,0,2
51102,"CAIZA ""D""",mortalidad,muerte menor de 1 ano,2010-01-01,0,0,1,0,1,0,1
22001,CARANAVI,mortalidad,muerte menor de 1 ano,2010-01-01,0,0,0,1,0,1,1
21101,CHULUMANI (V. DE LA LIBERTAD),mortalidad,muerte menor de 1 ano,2010-01-01,1,1,0,0,1,1,2
51103,CKOCHAS,mortalidad,muerte menor de 1 ano,2010-01-01,0,0,0,1,0,1,1
90101,COBIJA,mortalidad,muerte menor de 1 ano,2010-01-01,0,1,0,0,0,1,1
30101,COCHABAMBA,mortalidad,muerte menor de 1 ano,2010-01-01,2,4,0,0,2,4,6
21306,COLQUENCHA,mortalidad,muerte menor de 1 ano,2010-01-01,0,0,0,1,0,1,1
21701,COPACABANA,mortalidad,muerte menor de 1 ano,2010-01-01,0,0,0,1,0,1,1
70704,CUEVO,mortalidad,muerte menor de 1 ano,2010-01-01,0,1,0,0,0,1,1
10902,CULPINA,mortalidad,muerte menor de 1 ano,2010-01-01,0,0,0,1,0,1,1
40401,CURAHUARA DE CARANGAS,mortalidad,muerte menor de 1 ano,2010-01-01,0,0,0,1,0,1,1
20105,EL ALTO,mortalidad,muerte menor de 1 ano,2010-01-01,6,3,9,3,15,6,21
80202,GUAYARAMERIN,mortalidad,muerte menor de 1 ano,2010-01-01,0,1,0,0,0,1,1
20101,LA PAZ,mortalidad,muerte menor de 1 ano,2010-01-01,15,9,3,1,18,10,28
21202,LAJA,mortalidad,muerte menor de 1 ano,2010-01-01,0,0,0,1,0,1,1
50203,LLALLAGUA,mortalidad,muerte menor de 1 ano,2010-01-01,0,0,1,1,1,1,2
40101,ORURO,mortalidad,muerte menor de 1 ano,2010-01-01,1,3,0,0,1,3,4
50101,POTOSI,mortalidad,muerte menor de 1 ano,2010-01-01,3,1,0,0,3,1,4
21201,PUCARANI,mortalidad,muerte menor de 1 ano,2010-01-01,0,0,0,1,0,1,1
90201,PUERTO RICO,mortalidad,muerte menor de 1 ano,2010-01-01,1,0,0,0,1,0,1
30901,QUILLACOLLO,mortalidad,muerte menor de 1 ano,2010-01-01,0,0,1,0,1,0,1
80201,RIBERALTA,mortalidad,muerte menor de 1 ano,2010-01-01,4,0,0,0,4,0,4
50701,SACACA,mortalidad,muerte menor de 1 ano,2010-01-01,0,0,1,0,1,0,1
70301,SAN IGNACIO DE VELASCO,mortalidad,muerte menor de 1 ano,2010-01-01,0,0,0,1,0,1,1
71005,SAN PEDRO,mortalidad,muerte menor de 1 ano,2010-01-01,0,0,1,0,1,0,1
70101,SANTA CRUZ DE LA SIERRA,mortalidad,muerte menor de 1 ano,2010-01-01,6,5,0,0,6,5,11
40104,SORACACHI,mortalidad,muerte menor de 1 ano,2010-01-01,0,0,1,0,1,0,1
10101,SUCRE,mortalidad,muerte menor de 1 ano,2010-01-01,5,3,2,0,7,3,10
31101,TAPACARI,mortalidad,muerte menor de 1 ano,2010-01-01,0,0,0,1,0,1,1
60101,TARIJA,mortalidad,muerte menor de 1 ano,2010-01-01,6,3,0,0,6,3,9
10202,TARVITA,mortalidad,muerte menor de 1 ano,2010-01-01,0,0,0,1,0,1,1
20608,TEOPONTE,mortalidad,muerte menor de 1 ano,2010-01-01,0,0,0,1,0,1,1
50801,TUPIZA,mortalidad,muerte menor de 1 ano,2010-01-01,0,1,0,0,0,1,1
