codigo_municipio,municipio,grupo,variable,mes,hombres total,mujeres total,hombres total.1,mujeres total.1,total
10701,CAMARGO,violencia intrafamiliar,violencia contra la nina,2002-01-01,4,0,4,0,4
20501,CHUMA,violencia intrafamiliar,violencia contra la nina,2002-01-01,1,0,1,0,1
30101,COCHABAMBA,violencia intrafamiliar,violencia contra la nina,2002-01-01,2,0,2,0,2
20301,CORO CORO,violencia intrafamiliar,violencia contra la nina,2002-01-01,1,0,1,0,1
20105,EL ALTO,violencia intrafamiliar,violencia contra la nina,2002-01-01,3,0,3,0,3
10502,HUACARETA,violencia intrafamiliar,violencia contra la nina,2002-01-01,1,0,1,0,1
20101,LA PAZ,violencia intrafamiliar,violencia contra la nina,2002-01-01,8,0,8,0,8
71001,MONTERO,violencia intrafamiliar,violencia contra la nina,2002-01-01,2,0,2,0,2
30302,MOROCHATA,violencia intrafamiliar,violencia contra la nina,2002-01-01,1,0,1,0,1
40101,ORURO,violencia intrafamiliar,violencia contra la nina,2002-01-01,1,0,1,0,1
21305,PATACAMAYA,violencia intrafamiliar,violencia contra la nina,2002-01-01,1,0,1,0,1
40602,PAZÑA,violencia intrafamiliar,violencia contra la nina,2002-01-01,1,0,1,0,1
70103,PORONGO,violencia intrafamiliar,violencia contra la nina,2002-01-01,1,0,1,0,1
50101,POTOSI,violencia intrafamiliar,violencia contra la nina,2002-01-01,2,0,2,0,2
30901,QUILLACOLLO,violencia intrafamiliar,violencia contra la nina,2002-01-01,5,0,5,0,5
80201,RIBERALTA,violencia intrafamiliar,violencia contra la nina,2002-01-01,1,0,1,0,1
70301,SAN IGNACIO DE VELASCO,violencia intrafamiliar,violencia contra la nina,2002-01-01,1,0,1,0,1
10101,SUCRE,violencia intrafamiliar,violencia contra la nina,2002-01-01,1,0,1,0,1
51201,UYUNI,violencia intrafamiliar,violencia contra la nina,2002-01-01,60,0,60,0,60
70403,YAPACANI,violencia intrafamiliar,violencia contra la nina,2002-01-01,2,0,2,0,2
10201,AZURDUY,violencia intrafamiliar,violencia contra la nina,2002-02-01,1,0,1,0,1
60202,BERMEJO,violencia intrafamiliar,violencia contra la nina,2002-02-01,1,0,1,0,1
10701,CAMARGO,violencia intrafamiliar,violencia contra la nina,2002-02-01,2,0,2,0,2
30801,CLIZA,violencia intrafamiliar,violencia contra la nina,2002-02-01,1,0,1,0,1
30101,COCHABAMBA,violencia intrafamiliar,violencia contra la nina,2002-02-01,2,0,2,0,2
10902,CULPINA,violencia intrafamiliar,violencia contra la nina,2002-02-01,1,0,1,0,1
20105,EL ALTO,violencia intrafamiliar,violencia contra la nina,2002-02-01,1,0,1,0,1
60601,ENTRE RIOS,violencia intrafamiliar,violencia contra la nina,2002-02-01,1,0,1,0,1
41101,EUCALIPTUS,violencia intrafamiliar,violencia contra la nina,2002-02-01,1,0,1,0,1
20101,LA PAZ,violencia intrafamiliar,violencia contra la nina,2002-02-01,3,0,3,0,3
31301,MIZQUE,violencia intrafamiliar,violencia contra la nina,2002-02-01,1,0,1,0,1
40601,POOPO,violencia intrafamiliar,violencia contra la nina,2002-02-01,1,0,1,0,1
30901,QUILLACOLLO,violencia intrafamiliar,violencia contra la nina,2002-02-01,3,0,3,0,3
31001,SACABA,violencia intrafamiliar,violencia contra la nina,2002-02-01,3,0,3,0,3
71104,SAN JULIAN,violencia intrafamiliar,violencia contra la nina,2002-02-01,1,0,1,0,1
10702,SAN LUCAS,violencia intrafamiliar,violencia contra la nina,2002-02-01,1,0,1,0,1
70302,SAN MIGUEL DE VELASCO,violencia intrafamiliar,violencia contra la nina,2002-02-01,2,0,2,0,2
50801,TUPIZA,violencia intrafamiliar,violencia contra la nina,2002-02-01,1,0,1,0,1
51201,UYUNI,violencia intrafamiliar,violencia contra la nina,2002-02-01,74,0,74,0,74
20801,VIACHA,violencia intrafamiliar,violencia contra la nina,2002-02-01,1,0,1,0,1
21103,YANACACHI,violencia intrafamiliar,violencia contra la nina,2002-02-01,2,0,2,0,2
10901,CAMATAQUI (C. VILLA ABECIA),violencia intrafamiliar,violencia contra la nina,2002-03-01,1,0,1,0,1
30801,CLIZA,violencia intrafamiliar,violencia contra la nina,2002-03-01,2,0,2,0,2
30101,COCHABAMBA,violencia intrafamiliar,violencia contra la nina,2002-03-01,2,0,2,0,2
70102,COTOCA,violencia intrafamiliar,violencia contra la nina,2002-03-01,1,0,1,0,1
20105,EL ALTO,violencia intrafamiliar,violencia contra la nina,2002-03-01,2,0,2,0,2
60601,ENTRE RIOS,violencia intrafamiliar,violencia contra la nina,2002-03-01,1,0,1,0,1
20101,LA PAZ,violencia intrafamiliar,violencia contra la nina,2002-03-01,10,0,10,0,10
71001,MONTERO,violencia intrafamiliar,violencia contra la nina,2002-03-01,1,0,1,0,1
30302,MOROCHATA,violencia intrafamiliar,violencia contra la nina,2002-03-01,1,0,1,0,1
40601,POOPO,violencia intrafamiliar,violencia contra la nina,2002-03-01,1,0,1,0,1
30901,QUILLACOLLO,violencia intrafamiliar,violencia contra la nina,2002-03-01,6,0,6,0,6
31001,SACABA,violencia intrafamiliar,violencia contra la nina,2002-03-01,1,0,1,0,1
70301,SAN IGNACIO DE VELASCO,violencia intrafamiliar,violencia contra la nina,2002-03-01,3,0,3,0,3
30902,SIPE SIPE,violencia intrafamiliar,violencia contra la nina,2002-03-01,1,0,1,0,1
10101,SUCRE,violencia intrafamiliar,violencia contra la nina,2002-03-01,1,0,1,0,1
60101,TARIJA,violencia intrafamiliar,violencia contra la nina,2002-03-01,1,0,1,0,1
10202,TARVITA,violencia intrafamiliar,violencia contra la nina,2002-03-01,2,0,2,0,2
51201,UYUNI,violencia intrafamiliar,violencia contra la nina,2002-03-01,24,0,24,0,24
70403,YAPACANI,violencia intrafamiliar,violencia contra la nina,2002-03-01,1,0,1,0,1
50103,YOCALLA,violencia intrafamiliar,violencia contra la nina,2002-03-01,1,0,1,0,1
30201,AIQUILE,violencia intrafamiliar,violencia contra la nina,2002-04-01,1,0,1,0,1
30501,ARANI,violencia intrafamiliar,violencia contra la nina,2002-04-01,1,0,1,0,1
10701,CAMARGO,violencia intrafamiliar,violencia contra la nina,2002-04-01,2,0,2,0,2
70706,CAMIRI,violencia intrafamiliar,violencia contra la nina,2002-04-01,1,0,1,0,1
30101,COCHABAMBA,violencia intrafamiliar,violencia contra la nina,2002-04-01,2,0,2,0,2
50401,COLQUECHACA,violencia intrafamiliar,violencia contra la nina,2002-04-01,1,0,1,0,1
20105,EL ALTO,violencia intrafamiliar,violencia contra la nina,2002-04-01,8,0,8,0,8
20101,LA PAZ,violencia intrafamiliar,violencia contra la nina,2002-04-01,2,0,2,0,2
10501,MONTEAGUDO,violencia intrafamiliar,violencia contra la nina,2002-04-01,2,0,2,0,2
30203,OMEREQUE,violencia intrafamiliar,violencia contra la nina,2002-04-01,1,0,1,0,1
50101,POTOSI,violencia intrafamiliar,violencia contra la nina,2002-04-01,1,0,1,0,1
30901,QUILLACOLLO,violencia intrafamiliar,violencia contra la nina,2002-04-01,9,0,9,0,9
70301,SAN IGNACIO DE VELASCO,violencia intrafamiliar,violencia contra la nina,2002-04-01,1,0,1,0,1
70101,SANTA CRUZ DE LA SIERRA,violencia intrafamiliar,violencia contra la nina,2002-04-01,7,0,7,0,7
10101,SUCRE,violencia intrafamiliar,violencia contra la nina,2002-04-01,1,0,1,0,1
30903,TIQUIPAYA,violencia intrafamiliar,violencia contra la nina,2002-04-01,1,0,1,0,1
10402,TOMINA,violencia intrafamiliar,violencia contra la nina,2002-04-01,1,0,1,0,1
51201,UYUNI,violencia intrafamiliar,violencia contra la nina,2002-04-01,39,0,39,0,39
20201,ACHACACHI,violencia intrafamiliar,violencia contra la nina,2002-05-01,1,0,1,0,1
20701,APOLO,violencia intrafamiliar,violencia contra la nina,2002-05-01,1,0,1,0,1
30403,ARBIETO,violencia intrafamiliar,violencia contra la nina,2002-05-01,1,0,1,0,1
30101,COCHABAMBA,violencia intrafamiliar,violencia contra la nina,2002-05-01,1,0,1,0,1
20804,DESAGUADERO,violencia intrafamiliar,violencia contra la nina,2002-05-01,2,0,2,0,2
20105,EL ALTO,violencia intrafamiliar,violencia contra la nina,2002-05-01,7,0,7,0,7
60502,EL PUENTE(TJA),violencia intrafamiliar,violencia contra la nina,2002-05-01,1,0,1,0,1
20101,LA PAZ,violencia intrafamiliar,violencia contra la nina,2002-05-01,7,0,7,0,7
51401,LLICA,violencia intrafamiliar,violencia contra la nina,2002-05-01,1,0,1,0,1
71003,MINEROS,violencia intrafamiliar,violencia contra la nina,2002-05-01,1,0,1,0,1
10501,MONTEAGUDO,violencia intrafamiliar,violencia contra la nina,2002-05-01,1,0,1,0,1
40101,ORURO,violencia intrafamiliar,violencia contra la nina,2002-05-01,3,0,3,0,3
30901,QUILLACOLLO,violencia intrafamiliar,violencia contra la nina,2002-05-01,6,0,6,0,6
80602,SAN ANDRES,violencia intrafamiliar,violencia contra la nina,2002-05-01,1,0,1,0,1
70301,SAN IGNACIO DE VELASCO,violencia intrafamiliar,violencia contra la nina,2002-05-01,2,0,2,0,2
70101,SANTA CRUZ DE LA SIERRA,violencia intrafamiliar,violencia contra la nina,2002-05-01,1,0,1,0,1
30401,TARATA,violencia intrafamiliar,violencia contra la nina,2002-05-01,1,0,1,0,1
80101,TRINIDAD,violencia intrafamiliar,violencia contra la nina,2002-05-01,1,0,1,0,1
50801,TUPIZA,violencia intrafamiliar,violencia contra la nina,2002-05-01,1,0,1,0,1
31003,VILLA TUNARI,violencia intrafamiliar,violencia contra la nina,2002-05-01,1,0,1,0,1
70403,YAPACANI,violencia intrafamiliar,violencia contra la nina,2002-05-01,1,0,1,0,1
20701,APOLO,violencia intrafamiliar,violencia contra la nina,2002-06-01,4,0,4,0,4
70706,CAMIRI,violencia intrafamiliar,violencia contra la nina,2002-06-01,1,0,1,0,1
22001,CARANAVI,violencia intrafamiliar,violencia contra la nina,2002-06-01,1,0,1,0,1
21701,COPACABANA,violencia intrafamiliar,violencia contra la nina,2002-06-01,1,0,1,0,1
20105,EL ALTO,violencia intrafamiliar,violencia contra la nina,2002-06-01,7,0,7,0,7
71002,GENERAL SAAVEDRA,violencia intrafamiliar,violencia contra la nina,2002-06-01,1,0,1,0,1
20101,LA PAZ,violencia intrafamiliar,violencia contra la nina,2002-06-01,1,0,1,0,1
31301,MIZQUE,violencia intrafamiliar,violencia contra la nina,2002-06-01,1,0,1,0,1
50101,POTOSI,violencia intrafamiliar,violencia contra la nina,2002-06-01,2,0,2,0,2
30901,QUILLACOLLO,violencia intrafamiliar,violencia contra la nina,2002-06-01,14,0,14,0,14
80201,RIBERALTA,violencia intrafamiliar,violencia contra la nina,2002-06-01,1,0,1,0,1
31001,SACABA,violencia intrafamiliar,violencia contra la nina,2002-06-01,2,0,2,0,2
80501,SAN IGNACIO,violencia intrafamiliar,violencia contra la nina,2002-06-01,1,0,1,0,1
70301,SAN IGNACIO DE VELASCO,violencia intrafamiliar,violencia contra la nina,2002-06-01,1,0,1,0,1
