codigo_municipio,municipio,grupo,variable,mes,< de 1 año-H,< de 1 año-M,1 a 4 años-H,1 a 4 años-M,5 a 14 años-H,5 a 14 años-M,15 a 59 años-H,15 a 59 años-M,60 y más-H,60 y más-M,TOTAL-H,TOTAL-M,TOTAL
20201,ACHACACHI,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
10201,AZURDUY,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
41202,BELEN DE ANDAMARCA,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
60202,BERMEJO,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
50301,BETANZOS,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,3,,0,0.0,3,,
51102,"CAIZA ""D""",violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,5,,0,0.0,5,,
10701,CAMARGO,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
70706,CAMIRI,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,2,,0,0.0,2,,
30701,CAPINOTA,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,5,,0,0.0,5,,
40201,CHALLAPATA,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,12,0.0,1,0.0,13,,
21101,CHULUMANI (V. DE LA LIBERTAD),violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,2,,0,0.0,2,,
90101,COBIJA,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,1,,0,0.0,0,0.0,1,,
30101,COCHABAMBA,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,4,,0,0.0,4,,
71301,COMARAPA,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,3,,0,0.0,3,,
21701,COPACABANA,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
21401,COROICO,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,5,0.0,1,0.0,6,,
20105,EL ALTO,violencia  intrafamiliar,mujeres,2006-01-01,1,0.0,5,0.0,6,0.0,137,0.0,0,0.0,149,,
70105,EL TORNO,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,2,,0,0.0,2,,
60601,ENTRE RIOS,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,1,,0,0.0,0,0.0,1,,
41101,EUCALIPTUS,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
71004,FERNANDEZ ALONSO,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
10703,INCAHUASI,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,1,0.0,1,0.0,0,0.0,2,,
90402,INGAVI (HUMAITA),violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,3,,0,0.0,3,,
21001,INQUISIVI,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
21102,IRUPANA (VILLA DE LANZA),violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
21105,LA ASUNTA,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
20101,LA PAZ,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,6,0.0,25,0.0,1,0.0,32,,
50203,LLALLAGUA,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,10,,0,0.0,10,,
11003,MACHARETI,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
71003,MINEROS,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,2,,0,0.0,2,,
10501,MONTEAGUDO,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
10401,PADILLA,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
21104,PALOS BLANCOS,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,3,0.0,3,0.0,6,,
21802,PAPEL PAMPA,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
21305,PATACAMAYA,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,2,,0,0.0,2,,
10103,POROMA,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,2,,0,0.0,2,,
70601,PORTACHUELO,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
50101,POTOSI,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,2,,0,0.0,2,,
20401,PUERTO ACOSTA,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,1,0.0,2,0.0,3,,
71401,PUERTO SUAREZ,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
31401,PUNATA,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,4,,0,0.0,4,,
30901,QUILLACOLLO,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,2,,0,0.0,2,,
80201,RIBERALTA,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
31001,SACABA,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,6,,0,0.0,6,,
31403,SAN BENITO,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
80501,SAN IGNACIO,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
70301,SAN IGNACIO DE VELASCO,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,0,0.0,2,,0,0.0,2,,
10702,SAN LUCAS,violencia  intrafamiliar,mujeres,2006-01-01,0,0.0,0,0.0,1,0.0,3,0.0,0,0.0,4,,
