codigo_municipio,municipio,grupo,variable,mes,dentro de establecimientos hombres,dentro de establecimientos mujeres,fuera de establecimientos hombres,fuera de establecimientos mujeres,hombres total,mujeres total,total
31501,BOLIVAR,mortalidad,muerte materna,2011-01-01,0,0,0,1,0,1,1
30303,COCAPATA,mortalidad,muerte materna,2011-01-01,0,0,0,1,0,1,1
30101,COCHABAMBA,mortalidad,muerte materna,2011-01-01,0,2,0,0,0,2,2
20105,EL ALTO,mortalidad,muerte materna,2011-01-01,0,2,0,1,0,3,3
20101,LA PAZ,mortalidad,muerte materna,2011-01-01,0,1,0,0,0,1,1
70101,SANTA CRUZ DE LA SIERRA,mortalidad,muerte materna,2011-01-01,0,1,0,0,0,1,1
10101,SUCRE,mortalidad,muerte materna,2011-01-01,0,1,0,0,0,1,1
60101,TARIJA,mortalidad,muerte materna,2011-01-01,0,1,0,0,0,1,1
80101,TRINIDAD,mortalidad,muerte materna,2011-01-01,0,2,0,0,0,2,2
10404,ALCALA,mortalidad,muerte materna,2011-02-01,0,0,0,1,0,1,1
20701,APOLO,mortalidad,muerte materna,2011-02-01,0,0,0,1,0,1,1
31002,COLOMI,mortalidad,muerte materna,2011-02-01,0,0,0,1,0,1,1
71301,COMARAPA,mortalidad,muerte materna,2011-02-01,0,0,0,1,0,1,1
20301,CORO CORO,mortalidad,muerte materna,2011-02-01,0,0,0,1,0,1,1
20105,EL ALTO,mortalidad,muerte materna,2011-02-01,0,2,0,0,0,2,2
21601,GRAL. J.J. PEREZ (CHARAZANI),mortalidad,muerte materna,2011-02-01,0,0,0,1,0,1,1
20101,LA PAZ,mortalidad,muerte materna,2011-02-01,0,5,0,0,0,5,5
50101,POTOSI,mortalidad,muerte materna,2011-02-01,0,1,0,0,0,1,1
70301,SAN IGNACIO DE VELASCO,mortalidad,muerte materna,2011-02-01,0,1,0,1,0,2,2
70101,SANTA CRUZ DE LA SIERRA,mortalidad,muerte materna,2011-02-01,0,8,0,0,0,8,8
10101,SUCRE,mortalidad,muerte materna,2011-02-01,0,2,0,0,0,2,2
60101,TARIJA,mortalidad,muerte materna,2011-02-01,0,1,0,0,0,1,1
10202,TARVITA,mortalidad,muerte materna,2011-02-01,0,0,0,1,0,1,1
30903,TIQUIPAYA,mortalidad,muerte materna,2011-02-01,0,0,0,1,0,1,1
80101,TRINIDAD,mortalidad,muerte materna,2011-02-01,0,1,0,0,0,1,1
71501,ASCENCION DE GUARAYOS,mortalidad,muerte materna,2011-03-01,0,1,0,0,0,1,1
70703,CABEZAS,mortalidad,muerte materna,2011-03-01,0,0,0,1,0,1,1
30101,COCHABAMBA,mortalidad,muerte materna,2011-03-01,0,1,0,0,0,1,1
21402,CORIPATA,mortalidad,muerte materna,2011-03-01,0,0,0,1,0,1,1
21401,COROICO,mortalidad,muerte materna,2011-03-01,0,0,0,1,0,1,1
20105,EL ALTO,mortalidad,muerte materna,2011-03-01,0,2,0,2,0,4,4
10703,INCAHUASI,mortalidad,muerte materna,2011-03-01,0,1,0,0,0,1,1
20101,LA PAZ,mortalidad,muerte materna,2011-03-01,0,2,0,0,0,2,2
50404,OCURI,mortalidad,muerte materna,2011-03-01,0,0,0,1,0,1,1
40101,ORURO,mortalidad,muerte materna,2011-03-01,0,1,0,0,0,1,1
30202,PASORAPA,mortalidad,muerte materna,2011-03-01,0,0,0,1,0,1,1
50403,POCOATA,mortalidad,muerte materna,2011-03-01,0,0,0,1,0,1,1
10103,POROMA,mortalidad,muerte materna,2011-03-01,0,0,0,1,0,1,1
50101,POTOSI,mortalidad,muerte materna,2011-03-01,0,0,0,1,0,1,1
21201,PUCARANI,mortalidad,muerte materna,2011-03-01,0,0,0,1,0,1,1
71104,SAN JULIAN,mortalidad,muerte materna,2011-03-01,0,0,0,1,0,1,1
70101,SANTA CRUZ DE LA SIERRA,mortalidad,muerte materna,2011-03-01,0,1,0,0,0,1,1
10101,SUCRE,mortalidad,muerte materna,2011-03-01,0,1,0,0,0,1,1
50801,TUPIZA,mortalidad,muerte materna,2011-03-01,0,1,0,0,0,1,1
71502,URUBICHA,mortalidad,muerte materna,2011-03-01,0,0,0,1,0,1,1
31003,VILLA TUNARI,mortalidad,muerte materna,2011-03-01,0,1,0,0,0,1,1
30201,AIQUILE,mortalidad,muerte materna,2011-04-01,0,1,0,0,0,1,1
20503,AUCAPATA,mortalidad,muerte materna,2011-04-01,0,1,0,0,0,1,1
70706,CAMIRI,mortalidad,muerte materna,2011-04-01,0,1,0,0,0,1,1
22001,CARANAVI,mortalidad,muerte materna,2011-04-01,0,0,0,1,0,1,1
90101,COBIJA,mortalidad,muerte materna,2011-04-01,0,1,0,0,0,1,1
30303,COCAPATA,mortalidad,muerte materna,2011-04-01,0,0,0,1,0,1,1
30101,COCHABAMBA,mortalidad,muerte materna,2011-04-01,0,0,0,1,0,1,1
20105,EL ALTO,mortalidad,muerte materna,2011-04-01,0,0,0,1,0,1,1
20101,LA PAZ,mortalidad,muerte materna,2011-04-01,0,1,0,0,0,1,1
80801,MAGDALENA,mortalidad,muerte materna,2011-04-01,0,1,0,0,0,1,1
90202,SAN PEDRO(PND),mortalidad,muerte materna,2011-04-01,0,1,0,0,0,1,1
70101,SANTA CRUZ DE LA SIERRA,mortalidad,muerte materna,2011-04-01,0,1,0,0,0,1,1
60101,TARIJA,mortalidad,muerte materna,2011-04-01,0,1,0,0,0,1,1
10902,CULPINA,mortalidad,muerte materna,2011-05-01,0,1,0,0,0,1,1
40501,HUACHACALLA,mortalidad,muerte materna,2011-05-01,0,0,0,1,0,1,1
20101,LA PAZ,mortalidad,muerte materna,2011-05-01,0,2,0,0,0,2,2
40101,ORURO,mortalidad,muerte materna,2011-05-01,0,2,0,0,0,2,2
21305,PATACAMAYA,mortalidad,muerte materna,2011-05-01,0,1,0,0,0,1,1
50701,SACACA,mortalidad,muerte materna,2011-05-01,0,0,0,1,0,1,1
70301,SAN IGNACIO DE VELASCO,mortalidad,muerte materna,2011-05-01,0,0,0,1,0,1,1
21801,SAN PEDRO DE CURAHUARA,mortalidad,muerte materna,2011-05-01,0,0,0,1,0,1,1
70101,SANTA CRUZ DE LA SIERRA,mortalidad,muerte materna,2011-05-01,0,1,0,0,0,1,1
10101,SUCRE,mortalidad,muerte materna,2011-05-01,0,1,0,0,0,1,1
60101,TARIJA,mortalidad,muerte materna,2011-05-01,0,1,0,0,0,1,1
80101,TRINIDAD,mortalidad,muerte materna,2011-05-01,0,1,0,0,0,1,1
51201,UYUNI,mortalidad,muerte materna,2011-05-01,0,0,0,1,0,1,1
10704,VILLA CHARCAS,mortalidad,muerte materna,2011-05-01,0,0,0,1,0,1,1
30101,COCHABAMBA,mortalidad,muerte materna,2011-06-01,0,1,0,0,0,1,1
71101,CONCEPCION,mortalidad,muerte materna,2011-06-01,0,1,0,0,0,1,1
21401,COROICO,mortalidad,muerte materna,2011-06-01,0,1,0,0,0,1,1
20405,ESCOMA,mortalidad,muerte materna,2011-06-01,0,1,0,0,0,1,1
80202,GUAYARAMERIN,mortalidad,muerte materna,2011-06-01,0,1,0,0,0,1,1
20101,LA PAZ,mortalidad,muerte materna,2011-06-01,0,4,0,0,0,4,4
20402,MOCOMOCO,mortalidad,muerte materna,2011-06-01,0,0,0,1,0,1,1
40101,ORURO,mortalidad,muerte materna,2011-06-01,0,1,0,0,0,1,1
80302,SAN BORJA,mortalidad,muerte materna,2011-06-01,0,1,0,0,0,1,1
71103,SAN RAMON SCZ,mortalidad,muerte materna,2011-06-01,0,1,0,0,0,1,1
70101,SANTA CRUZ DE LA SIERRA,mortalidad,muerte materna,2011-06-01,0,3,0,0,0,3,3
20803,TIAWANACU,mortalidad,muerte materna,2011-06-01,0,0,0,1,0,1,1
80101,TRINIDAD,mortalidad,muerte materna,2011-06-01,0,1,0,0,0,1,1
10704,VILLA CHARCAS,mortalidad,muerte materna,2011-06-01,0,1,0,0,0,1,1
60303,VILLA MONTES,mortalidad,muerte materna,2011-06-01,0,1,0,0,0,1,1
50301,BETANZOS,mortalidad,muerte materna,2011-07-01,0,0,0,1,0,1,1
70706,CAMIRI,mortalidad,muerte materna,2011-07-01,0,0,0,1,0,1,1
21101,CHULUMANI (V. DE LA LIBERTAD),mortalidad,muerte materna,2011-07-01,0,0,0,1,0,1,1
21701,COPACABANA,mortalidad,muerte materna,2011-07-01,0,1,0,0,0,1,1
21401,COROICO,mortalidad,muerte materna,2011-07-01,0,0,0,1,0,1,1
20101,LA PAZ,mortalidad,muerte materna,2011-07-01,0,2,0,0,0,2,2
40101,ORURO,mortalidad,muerte materna,2011-07-01,0,2,0,0,0,2,2
50701,SACACA,mortalidad,muerte materna,2011-07-01,0,0,0,1,0,1,1
70101,SANTA CRUZ DE LA SIERRA,mortalidad,muerte materna,2011-07-01,0,1,0,0,0,1,1
20601,SORATA,mortalidad,muerte materna,2011-07-01,0,0,0,1,0,1,1
10101,SUCRE,mortalidad,muerte materna,2011-07-01,0,0,0,1,0,1,1
10602,YAMPARAEZ,mortalidad,muerte materna,2011-07-01,0,0,0,1,0,1,1
50103,YOCALLA,mortalidad,muerte materna,2011-07-01,0,0,0,1,0,1,1
20303,CALACOTO,mortalidad,muerte materna,2011-08-01,0,0,0,1,0,1,1
21304,CALAMARCA,mortalidad,muerte materna,2011-08-01,0,0,0,1,0,1,1
10701,CAMARGO,mortalidad,muerte materna,2011-08-01,0,0,0,1,0,1,1
22001,CARANAVI,mortalidad,muerte materna,2011-08-01,0,0,0,1,0,1,1
30101,COCHABAMBA,mortalidad,muerte materna,2011-08-01,0,1,0,0,0,1,1
20105,EL ALTO,mortalidad,muerte materna,2011-08-01,0,0,0,1,0,1,1
20101,LA PAZ,mortalidad,muerte materna,2011-08-01,0,2,0,0,0,2,2
51401,LLICA,mortalidad,muerte materna,2011-08-01,0,0,0,1,0,1,1
31301,MIZQUE,mortalidad,muerte materna,2011-08-01,0,0,0,1,0,1,1
40101,ORURO,mortalidad,muerte materna,2011-08-01,0,1,0,1,0,2,2
21201,PUCARANI,mortalidad,muerte materna,2011-08-01,0,0,0,1,0,1,1
71401,PUERTO SUAREZ,mortalidad,muerte materna,2011-08-01,0,1,0,0,0,1,1
30901,QUILLACOLLO,mortalidad,muerte materna,2011-08-01,0,0,0,1,0,1,1
80201,RIBERALTA,mortalidad,muerte materna,2011-08-01,0,2,0,0,0,2,2
70101,SANTA CRUZ DE LA SIERRA,mortalidad,muerte materna,2011-08-01,0,1,0,0,0,1,1
10101,SUCRE,mortalidad,muerte materna,2011-08-01,0,1,0,0,0,1,1
60101,TARIJA,mortalidad,muerte materna,2011-08-01,0,0,0,1,0,1,1
30903,TIQUIPAYA,mortalidad,muerte materna,2011-08-01,0,0,0,1,0,1,1
20801,VIACHA,mortalidad,muerte materna,2011-08-01,0,0,0,1,0,1,1
31501,BOLIVAR,mortalidad,muerte materna,2011-09-01,0,0,0,1,0,1,1
20105,EL ALTO,mortalidad,muerte materna,2011-09-01,0,3,0,1,0,4,4
20602,GUANAY,mortalidad,muerte materna,2011-09-01,0,1,0,0,0,1,1
20101,LA PAZ,mortalidad,muerte materna,2011-09-01,0,2,0,0,0,2,2
51401,LLICA,mortalidad,muerte materna,2011-09-01,0,0,0,1,0,1,1
40101,ORURO,mortalidad,muerte materna,2011-09-01,0,1,0,0,0,1,1
50101,POTOSI,mortalidad,muerte materna,2011-09-01,0,1,0,0,0,1,1
30901,QUILLACOLLO,mortalidad,muerte materna,2011-09-01,0,0,0,1,0,1,1
