codigo_municipio,municipio,grupo,variable,mes,10-14-anos_dentro,10-14-anos-1_fuera,15-19-anos_dentro,15-19-anos-1_fuera,20-39-anos_dentro,20-39-anos-1_fuera,40-49-anos_dentro,40-49-anos-1_fuera,50-59-anos_dentro,50-59-anos-1_fuera,totales_total-dentro,totales-1_total-fuera,totales-2_total
20105,EL ALTO,mortalidad materna,muerte materna confirmada,2015-04-01,0,0,0,0,2,0,0,0,0,0,2,0,2
20405,ESCOMA,mortalidad materna,muerte materna confirmada,2015-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
41601,HUAYLLAMARCA,mortalidad materna,muerte materna confirmada,2015-04-01,0,0,0,1,0,0,0,0,0,0,0,1,1
20101,LA PAZ,mortalidad materna,muerte materna confirmada,2015-04-01,0,0,0,0,0,1,0,0,0,0,0,1,1
50501,SAN PEDRO DE BUENA VISTA,mortalidad materna,muerte materna confirmada,2015-04-01,0,0,0,0,0,1,0,0,0,0,0,1,1
70101,SANTA CRUZ DE LA SIERRA,mortalidad materna,muerte materna confirmada,2015-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
10101,SUCRE,mortalidad materna,muerte materna confirmada,2015-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
31101,TAPACARI,mortalidad materna,muerte materna confirmada,2015-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
60101,TARIJA,mortalidad materna,muerte materna confirmada,2015-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
20201,ACHACACHI,mortalidad materna,muerte materna confirmada,2015-05-01,0,0,0,0,0,1,0,0,0,0,0,1,1
30101,COCHABAMBA,mortalidad materna,muerte materna confirmada,2015-05-01,0,0,0,0,1,2,0,0,0,0,1,2,3
10304,ICLA,mortalidad materna,muerte materna confirmada,2015-05-01,0,0,0,0,0,0,0,0,0,1,0,1,1
20101,LA PAZ,mortalidad materna,muerte materna confirmada,2015-05-01,0,0,0,0,3,0,0,0,0,0,3,0,3
80201,RIBERALTA,mortalidad materna,muerte materna confirmada,2015-05-01,0,0,0,0,1,0,0,0,0,0,1,0,1
10101,SUCRE,mortalidad materna,muerte materna confirmada,2015-05-01,0,0,0,0,0,1,0,0,0,0,0,1,1
80101,TRINIDAD,mortalidad materna,muerte materna confirmada,2015-05-01,0,0,1,0,0,0,0,0,0,0,1,0,1
40102,CARACOLLO,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,0,0,0,1,0,0,0,1,1
30303,COCAPATA,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,0,1,0,0,0,0,0,1,1
30101,COCHABAMBA,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,1,1,0,0,0,0,1,1,2
20105,EL ALTO,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,1,0,0,0,0,0,1,0,1
70105,EL TORNO,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,1,0,0,0,0,0,1,0,1
20101,LA PAZ,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,1,0,0,0,0,0,1,0,1
40101,ORURO,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,2,0,0,0,0,0,2,0,2
50101,POTOSI,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,1,0,0,0,0,0,1,0,1
31205,PUERTO VILLARROEL,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,1,0,0,0,0,0,1,0,1
30901,QUILLACOLLO,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,0,1,0,0,0,0,0,1,1
80304,RURRENABAQUE,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,1,0,0,0,0,0,1,0,1
31001,SACABA,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,1,0,0,0,0,0,1,0,1
10101,SUCRE,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,2,0,1,0,0,0,3,0,3
80101,TRINIDAD,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,0,0,1,0,0,0,1,0,1
60303,VILLA MONTES,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,1,0,0,0,0,0,1,0,1
10301,ZUDAÑEZ,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,0,1,0,0,0,0,0,1,1
22001,CARANAVI,mortalidad materna,muerte materna confirmada,2015-07-01,0,0,0,1,0,0,0,0,0,0,0,1,1
30101,COCHABAMBA,mortalidad materna,muerte materna confirmada,2015-07-01,0,0,1,0,0,0,0,0,0,0,1,0,1
70705,GUTIERREZ,mortalidad materna,muerte materna confirmada,2015-07-01,0,0,0,0,0,1,0,0,0,0,0,1,1
21102,IRUPANA (VILLA DE LANZA),mortalidad materna,muerte materna confirmada,2015-07-01,0,0,0,0,1,0,0,0,0,0,1,0,1
20402,MOCOMOCO,mortalidad materna,muerte materna confirmada,2015-07-01,0,0,0,0,0,0,0,1,0,0,0,1,1
50402,RAVELO,mortalidad materna,muerte materna confirmada,2015-07-01,0,0,0,0,0,1,0,0,0,0,0,1,1
70301,SAN IGNACIO DE VELASCO,mortalidad materna,muerte materna confirmada,2015-07-01,0,0,0,0,1,0,0,0,0,0,1,0,1
30201,AIQUILE,mortalidad materna,muerte materna confirmada,2015-08-01,0,0,0,0,0,1,0,0,0,0,0,1,1
30101,COCHABAMBA,mortalidad materna,muerte materna confirmada,2015-08-01,0,0,1,0,1,1,0,0,0,0,2,1,3
20105,EL ALTO,mortalidad materna,muerte materna confirmada,2015-08-01,0,0,0,1,0,0,0,0,0,0,0,1,1
20101,LA PAZ,mortalidad materna,muerte materna confirmada,2015-08-01,0,0,1,0,2,0,0,0,0,0,3,0,3
21305,PATACAMAYA,mortalidad materna,muerte materna confirmada,2015-08-01,0,0,1,0,0,0,0,0,0,0,1,0,1
50501,SAN PEDRO DE BUENA VISTA,mortalidad materna,muerte materna confirmada,2015-08-01,0,0,0,0,0,1,0,0,0,0,0,1,1
31101,TAPACARI,mortalidad materna,muerte materna confirmada,2015-08-01,0,0,0,0,0,1,0,0,0,0,0,1,1
51302,ACACIO,mortalidad materna,muerte materna confirmada,2015-09-01,0,0,0,0,0,1,0,0,0,0,0,1,1
22001,CARANAVI,mortalidad materna,muerte materna confirmada,2015-09-01,0,0,0,0,0,1,0,0,0,0,0,1,1
30101,COCHABAMBA,mortalidad materna,muerte materna confirmada,2015-09-01,0,0,1,0,0,0,0,0,0,0,1,0,1
50401,COLQUECHACA,mortalidad materna,muerte materna confirmada,2015-09-01,0,0,0,0,0,1,0,0,0,0,0,1,1
20602,GUANAY,mortalidad materna,muerte materna confirmada,2015-09-01,0,0,0,0,0,1,0,0,0,0,0,1,1
20101,LA PAZ,mortalidad materna,muerte materna confirmada,2015-09-01,0,0,0,0,1,0,0,0,0,0,1,0,1
70501,SAN JOSE DE CHIQUITOS,mortalidad materna,muerte materna confirmada,2015-09-01,0,0,0,0,0,1,0,0,0,0,0,1,1
