codigo_municipio,municipio,grupo,variable,mes,dentro_masculino,dentro-1_femenino,fuera_masculino,fuera-1_femenino,totales_total-m,totales-1_total-f,totales-2_total
20201,ACHACACHI,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,1,0,3,0,4,0,4
20104,ACHOCALLA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,0,1,0,1
20202,ANCORAIMES,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,1,1,1,2
30601,ARQUE,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,0,1,0,1,1
71501,ASCENCION DE GUARAYOS,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,2,0,2,0,2
20503,AUCAPATA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,0,1,0,1,1
20502,AYATA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,0,1,0,1,1
21303,AYO AYO,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,5,1,5,1,6
30301,AYOPAYA (V. DE INDEPENDENCIA),mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,1,1,1,2
10201,AZURDUY,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,1,1,1,2
21203,BATALLAS,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,4,1,4,5
50301,BETANZOS,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,2,1,2,3
70707,BOYUIBE,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,0,1,0,1
20905,CAIROMA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,2,2,2,2,4
51102,"CAIZA ""D""",mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,2,0,2,0,2
20303,CALACOTO,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,2,1,2,3
21304,CALAMARCA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,4,1,4,5
10701,CAMARGO,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,1,0,0,0,1,1
70706,CAMIRI,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,2,4,3,0,5,4,9
30701,CAPINOTA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,3,2,3,2,5
