codigo_municipio,municipio,grupo,variable,mes,totales_total-m,totales-1_total-f,totales-2_total
30101,COCHABAMBA,intoxicaciones,plaguicidas,2015-03-01,7,9,16
31002,COLOMI,intoxicaciones,plaguicidas,2015-03-01,1,0,1
71301,COMARAPA,intoxicaciones,plaguicidas,2015-03-01,1,0,1
21402,CORIPATA,intoxicaciones,plaguicidas,2015-03-01,0,1,1
21401,COROICO,intoxicaciones,plaguicidas,2015-03-01,0,1,1
20105,EL ALTO,intoxicaciones,plaguicidas,2015-03-01,0,1,1
20405,ESCOMA,intoxicaciones,plaguicidas,2015-03-01,1,2,3
41101,EUCALIPTUS,intoxicaciones,plaguicidas,2015-03-01,0,1,1
71004,FERNANDEZ ALONSO,intoxicaciones,plaguicidas,2015-03-01,1,0,1
20802,GUAQUI,intoxicaciones,plaguicidas,2015-03-01,0,1,1
21105,LA ASUNTA,intoxicaciones,plaguicidas,2015-03-01,1,1,2
70104,LA GUARDIA,intoxicaciones,plaguicidas,2015-03-01,3,2,5
11003,MACHARETI,intoxicaciones,plaguicidas,2015-03-01,2,0,2
71001,MONTERO,intoxicaciones,plaguicidas,2015-03-01,0,1,1
30203,OMEREQUE,intoxicaciones,plaguicidas,2015-03-01,2,0,2
60201,PADCAYA,intoxicaciones,plaguicidas,2015-03-01,1,0,1
70502,PAILON,intoxicaciones,plaguicidas,2015-03-01,1,2,3
20702,PELECHUCO,intoxicaciones,plaguicidas,2015-03-01,0,1,1
21201,PUCARANI,intoxicaciones,plaguicidas,2015-03-01,0,1,1
31205,PUERTO VILLARROEL,intoxicaciones,plaguicidas,2015-03-01,4,0,4
31401,PUNATA,intoxicaciones,plaguicidas,2015-03-01,0,1,1
80201,RIBERALTA,intoxicaciones,plaguicidas,2015-03-01,1,0,1
70503,ROBORE,intoxicaciones,plaguicidas,2015-03-01,1,0,1
71302,SAIPINA,intoxicaciones,plaguicidas,2015-03-01,1,0,1
80501,SAN IGNACIO,intoxicaciones,plaguicidas,2015-03-01,0,1,1
71104,SAN JULIAN,intoxicaciones,plaguicidas,2015-03-01,1,0,1
70101,SANTA CRUZ DE LA SIERRA,intoxicaciones,plaguicidas,2015-03-01,0,3,3
70602,SANTA ROSA DEL SARA,intoxicaciones,plaguicidas,2015-03-01,1,0,1
30902,SIPE SIPE,intoxicaciones,plaguicidas,2015-03-01,0,1,1
10101,SUCRE,intoxicaciones,plaguicidas,2015-03-01,1,5,6
60101,TARIJA,intoxicaciones,plaguicidas,2015-03-01,0,2,2
10704,VILLA CHARCAS,intoxicaciones,plaguicidas,2015-03-01,1,0,1
31003,VILLA TUNARI,intoxicaciones,plaguicidas,2015-03-01,5,4,9
51501,VILLAZON,intoxicaciones,plaguicidas,2015-03-01,1,0,1
30904,VINTO,intoxicaciones,plaguicidas,2015-03-01,0,2,2
60301,YACUIBA,intoxicaciones,plaguicidas,2015-03-01,1,0,1
60402,YUNCHARA,intoxicaciones,plaguicidas,2015-03-01,0,1,1
20202,ANCORAIMES,intoxicaciones,plaguicidas,2015-04-01,0,1,1
71501,ASCENCION DE GUARAYOS,intoxicaciones,plaguicidas,2015-04-01,2,1,3
60202,BERMEJO,intoxicaciones,plaguicidas,2015-04-01,2,0,2
10701,CAMARGO,intoxicaciones,plaguicidas,2015-04-01,1,0,1
22001,CARANAVI,intoxicaciones,plaguicidas,2015-04-01,0,2,2
30101,COCHABAMBA,intoxicaciones,plaguicidas,2015-04-01,9,8,17
31002,COLOMI,intoxicaciones,plaguicidas,2015-04-01,0,1,1
20105,EL ALTO,intoxicaciones,plaguicidas,2015-04-01,0,1,1
20101,LA PAZ,intoxicaciones,plaguicidas,2015-04-01,1,0,1
