codigo_municipio,municipio,grupo,variable,mes,totales_total-m,totales-1_total-f,totales-2_total
20101,LA PAZ,intoxicaciones,plaguicidas,2015-11-01,1,0,1
70903,MAIRANA,intoxicaciones,plaguicidas,2015-11-01,1,0,1
70803,MORO MORO,intoxicaciones,plaguicidas,2015-11-01,1,0,1
30302,MOROCHATA,intoxicaciones,plaguicidas,2015-11-01,1,1,2
31205,PUERTO VILLARROEL,intoxicaciones,plaguicidas,2015-11-01,1,2,3
31401,PUNATA,intoxicaciones,plaguicidas,2015-11-01,1,1,2
70503,ROBORE,intoxicaciones,plaguicidas,2015-11-01,0,1,1
31001,SACABA,intoxicaciones,plaguicidas,2015-11-01,3,0,3
70402,SAN CARLOS,intoxicaciones,plaguicidas,2015-11-01,0,1,1
71104,SAN JULIAN,intoxicaciones,plaguicidas,2015-11-01,0,1,1
71005,SAN PEDRO,intoxicaciones,plaguicidas,2015-11-01,1,1,2
70101,SANTA CRUZ DE LA SIERRA,intoxicaciones,plaguicidas,2015-11-01,8,2,10
31602,SHINAOTA,intoxicaciones,plaguicidas,2015-11-01,0,1,1
21301,SICA SICA (VILLA AROMA),intoxicaciones,plaguicidas,2015-11-01,0,1,1
60101,TARIJA,intoxicaciones,plaguicidas,2015-11-01,5,1,6
31601,TIRAQUE (CBBA),intoxicaciones,plaguicidas,2015-11-01,0,1,1
60401,URIONDO (A. CONCEPCION),intoxicaciones,plaguicidas,2015-11-01,1,0,1
30502,VACAS,intoxicaciones,plaguicidas,2015-11-01,0,1,1
70801,VALLEGRANDE,intoxicaciones,plaguicidas,2015-11-01,1,0,1
31003,VILLA TUNARI,intoxicaciones,plaguicidas,2015-11-01,8,8,16
51501,VILLAZON,intoxicaciones,plaguicidas,2015-11-01,1,1,2
70403,YAPACANI,intoxicaciones,plaguicidas,2015-11-01,1,0,1
60202,BERMEJO,intoxicaciones,plaguicidas,2015-12-01,0,1,1
40102,CARACOLLO,intoxicaciones,plaguicidas,2015-12-01,1,0,1
20501,CHUMA,intoxicaciones,plaguicidas,2015-12-01,0,1,1
30101,COCHABAMBA,intoxicaciones,plaguicidas,2015-12-01,4,6,10
31002,COLOMI,intoxicaciones,plaguicidas,2015-12-01,1,2,3
71101,CONCEPCION,intoxicaciones,plaguicidas,2015-12-01,1,0,1
21401,COROICO,intoxicaciones,plaguicidas,2015-12-01,0,1,1
40401,CURAHUARA DE CARANGAS,intoxicaciones,plaguicidas,2015-12-01,1,1,2
20105,EL ALTO,intoxicaciones,plaguicidas,2015-12-01,2,6,8
71503,EL PUENTE(STC),intoxicaciones,plaguicidas,2015-12-01,1,0,1
70105,EL TORNO,intoxicaciones,plaguicidas,2015-12-01,1,0,1
20405,ESCOMA,intoxicaciones,plaguicidas,2015-12-01,3,0,3
21105,LA ASUNTA,intoxicaciones,plaguicidas,2015-12-01,3,0,3
70701,LAGUNILLAS,intoxicaciones,plaguicidas,2015-12-01,1,0,1
70903,MAIRANA,intoxicaciones,plaguicidas,2015-12-01,1,0,1
40101,ORURO,intoxicaciones,plaguicidas,2015-12-01,1,1,2
21305,PATACAMAYA,intoxicaciones,plaguicidas,2015-12-01,0,1,1
31203,POCONA,intoxicaciones,plaguicidas,2015-12-01,1,0,1
20403,PUERTO CARABUCO,intoxicaciones,plaguicidas,2015-12-01,1,0,1
31205,PUERTO VILLARROEL,intoxicaciones,plaguicidas,2015-12-01,7,6,13
31401,PUNATA,intoxicaciones,plaguicidas,2015-12-01,1,0,1
31001,SACABA,intoxicaciones,plaguicidas,2015-12-01,0,2,2
60501,SAN LORENZO(TJA),intoxicaciones,plaguicidas,2015-12-01,0,1,1
71005,SAN PEDRO,intoxicaciones,plaguicidas,2015-12-01,1,0,1
70101,SANTA CRUZ DE LA SIERRA,intoxicaciones,plaguicidas,2015-12-01,1,7,8
70602,SANTA ROSA DEL SARA,intoxicaciones,plaguicidas,2015-12-01,2,0,2
31602,SHINAOTA,intoxicaciones,plaguicidas,2015-12-01,3,0,3
20601,SORATA,intoxicaciones,plaguicidas,2015-12-01,1,0,1
10101,SUCRE,intoxicaciones,plaguicidas,2015-12-01,1,1,2
60101,TARIJA,intoxicaciones,plaguicidas,2015-12-01,3,2,5
31601,TIRAQUE (CBBA),intoxicaciones,plaguicidas,2015-12-01,2,0,2
21302,UMALA,intoxicaciones,plaguicidas,2015-12-01,0,1,1
60401,URIONDO (A. CONCEPCION),intoxicaciones,plaguicidas,2015-12-01,1,1,2
31003,VILLA TUNARI,intoxicaciones,plaguicidas,2015-12-01,15,5,20
51501,VILLAZON,intoxicaciones,plaguicidas,2015-12-01,2,0,2
60301,YACUIBA,intoxicaciones,plaguicidas,2015-12-01,1,0,1
21103,YANACACHI,intoxicaciones,plaguicidas,2015-12-01,0,1,1
