codigo_municipio,municipio,grupo,variable,mes,TOTAL
10404,ALCALA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-01-01,2.0
30601,ARQUE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-01-01,467.0
20302,CAQUIAVIRI,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-01-01,41.0
50702,CARIPUYO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-01-01,703.0
50204,CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-01-01,1.0
20301,CORO CORO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-01-01,114.0
10304,ICLA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-01-01,92.0
10903,LAS CARRERAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-01-01,134.0
10103,POROMA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-01-01,137.0
10702,SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-01-01,601.0
10403,SOPACHUY,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-01-01,46.0
10101,SUCRE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-01-01,31.0
51501,VILLAZON,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-01-01,24.0
10301,ZUDAÑEZ,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-01-01,270.0
30402,ANZALDO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-02-01,349.0
20501,CHUMA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-02-01,181.0
50601,COTAGAITA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-02-01,128.0
10304,ICLA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-02-01,23.0
10401,PADILLA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-02-01,179.0
10101,SUCRE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-02-01,31.0
10402,TOMINA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-02-01,8.0
30402,ANZALDO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-03-01,7.0
50702,CARIPUYO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-03-01,1.0
51103,CKOCHAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-03-01,63.0
10902,CULPINA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-03-01,37.0
20101,LA PAZ,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-03-01,1.0
10903,LAS CARRERAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-03-01,62.0
10103,POROMA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-03-01,16.0
10702,SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-03-01,177.0
50102,TINGUIPAYA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-03-01,1.0
10704,VILLA CHARCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-03-01,697.0
51501,VILLAZON,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-03-01,46.0
10404,ALCALA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-04-01,3.0
51103,CKOCHAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-04-01,1.0
30203,OMEREQUE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-04-01,35.0
10401,PADILLA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-04-01,34.0
31304,RAQAYPAMPA(ETA),eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-04-01,751.0
51001,SAN PABLO DE LIPEZ,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-05-01,39.0
10404,ALCALA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-06-01,3.0
60302,CARAPARI,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-06-01,63.0
60601,ENTRE RIOS TRJ,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-06-01,1168.0
70701,LAGUNILLAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-06-01,344.0
11003,MACHARETI,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-06-01,1.0
70803,MORO MORO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-06-01,3.0
60201,PADCAYA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-06-01,49.0
10401,PADILLA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-06-01,963.0
70902,PAMPA GRANDE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-06-01,41.0
70804,POSTRER VALLE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-06-01,7.0
70805,PUCARA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-06-01,4.0
60101,TARIJA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-06-01,181.0
31601,TIRAQUE (CBBA),eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-06-01,1.0
70802,TRIGAL,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-06-01,224.0
70801,VALLEGRANDE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-06-01,10.0
11001,VILLA VACA GUZMAN (MUYUPAMPA),eventos - notificacion inmediata parte i,helada/granizo/nevada,2021-06-01,134.0
