codigo_municipio,municipio,grupo,variable,mes,número de eventos,número de afectados,número de fallecidos,total
70105,EL TORNO,registro de eventos de notificacion inmediata,incendio,2013-01-01,1.0,0.0,0.0,1.0
90103,BOLPEBRA,registro de eventos de notificacion inmediata,incendio,2013-02-01,1.0,6.0,0.0,7.0
40301,CORQUE,registro de eventos de notificacion inmediata,incendio,2013-02-01,1.0,0.0,0.0,1.0
80802,BAURES,registro de eventos de notificacion inmediata,incendio,2013-04-01,1.0,5.0,0.0,6.0
71501,ASCENCION DE GUARAYOS,registro de eventos de notificacion inmediata,incendio,2013-06-01,0.0,5.0,0.0,5.0
71503,EL PUENTE(STC),registro de eventos de notificacion inmediata,incendio,2013-06-01,1.0,6.0,1.0,8.0
80201,RIBERALTA,registro de eventos de notificacion inmediata,incendio,2013-07-01,1.0,7.0,0.0,8.0
60202,BERMEJO,registro de eventos de notificacion inmediata,incendio,2013-08-01,1.0,0.0,0.0,1.0
40301,CORQUE,registro de eventos de notificacion inmediata,incendio,2013-08-01,0.0,0.0,1.0,1.0
70503,ROBORE,registro de eventos de notificacion inmediata,incendio,2013-08-01,1.0,5.0,0.0,6.0
70501,SAN JOSE DE CHIQUITOS,registro de eventos de notificacion inmediata,incendio,2013-08-01,3.0,182.0,0.0,185.0
70101,SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,incendio,2013-08-01,1.0,60.0,38.0,99.0
80101,TRINIDAD,registro de eventos de notificacion inmediata,incendio,2013-08-01,1.0,2.0,0.0,3.0
60302,CARAPARI,registro de eventos de notificacion inmediata,incendio,2013-09-01,1.0,0.0,0.0,1.0
10502,HUACARETA,registro de eventos de notificacion inmediata,incendio,2013-09-01,1.0,6.0,0.0,7.0
80301,REYES,registro de eventos de notificacion inmediata,incendio,2013-09-01,1.0,9.0,0.0,10.0
70503,ROBORE,registro de eventos de notificacion inmediata,incendio,2013-09-01,1.0,0.0,0.0,1.0
70301,SAN IGNACIO DE VELASCO,registro de eventos de notificacion inmediata,incendio,2013-09-01,4.0,0.0,0.0,4.0
70501,SAN JOSE DE CHIQUITOS,registro de eventos de notificacion inmediata,incendio,2013-09-01,2.0,181.0,0.0,183.0
