codigo_municipio,municipio,grupo,variable,mes,dentro de establecimientos hombres,dentro de establecimientos mujeres,fuera de establecimientos hombres,fuera de establecimientos mujeres,hombres total,mujeres total,total
51302,ACACIO,mortalidad,otras muertes en mayores de 5 anos,2011-01-01,0,0,0,1,0,1,1
20201,ACHACACHI,mortalidad,otras muertes en mayores de 5 anos,2011-01-01,0,0,3,2,3,2,5
31303,ALALAY,mortalidad,otras muertes en mayores de 5 anos,2011-01-01,0,0,1,0,1,0,1
10404,ALCALA,mortalidad,otras muertes en mayores de 5 anos,2011-01-01,0,0,1,1,1,1,2
22002,ALTO BENI,mortalidad,otras muertes en mayores de 5 anos,2011-01-01,0,0,1,0,1,0,1
41201,ANDAMARCA,mortalidad,otras muertes en mayores de 5 anos,2011-01-01,0,0,1,1,1,1,2
20701,APOLO,mortalidad,otras muertes en mayores de 5 anos,2011-01-01,0,0,1,2,1,2,3
71501,ASCENCION DE GUARAYOS,mortalidad,otras muertes en mayores de 5 anos,2011-01-01,1,0,0,0,1,0,1
20502,AYATA,mortalidad,otras muertes en mayores de 5 anos,2011-01-01,0,0,0,1,0,1,1
21303,AYO AYO,mortalidad,otras muertes en mayores de 5 anos,2011-01-01,0,0,1,2,1,2,3
21203,BATALLAS,mortalidad,otras muertes en mayores de 5 anos,2011-01-01,0,0,1,0,1,0,1
60202,BERMEJO,mortalidad,otras muertes en mayores de 5 anos,2011-01-01,1,2,0,0,1,2,3
50301,BETANZOS,mortalidad,otras muertes en mayores de 5 anos,2011-01-01,0,0,6,0,6,0,6
70707,BOYUIBE,mortalidad,otras muertes en mayores de 5 anos,2011-01-01,0,0,0,1,0,1,1
20905,CAIROMA,mortalidad,otras muertes en mayores de 5 anos,2011-01-01,1,0,1,1,2,1,3
51102,"CAIZA ""D""",mortalidad,otras muertes en mayores de 5 anos,2011-01-01,0,0,0,1,0,1,1
21003,CAJUATA,mortalidad,otras muertes en mayores de 5 anos,2011-01-01,0,0,1,2,1,2,3
20303,CALACOTO,mortalidad,otras muertes en mayores de 5 anos,2011-01-01,0,0,0,1,0,1,1
