codigo_municipio,municipio,grupo,variable,mes,dentro_masculino,dentro-1_femenino,fuera_masculino,fuera-1_femenino,totales_total-m,totales-1_total-f,totales-2_total
20201,ACHACACHI,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,4,2,4,2,6
20104,ACHOCALLA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,1,1,1,1,2
30201,AIQUILE,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,2,0,0,0,2,0,2
22002,ALTO BENI,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,1,0,1,0,1
20202,ANCORAIMES,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,1,1,1,1,2
41201,ANDAMARCA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,0,2,0,2,2
20701,APOLO,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,3,3,3,3,6
51301,ARAMPAMPA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,1,0,1,0,1
71501,ASCENCION DE GUARAYOS,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,2,1,1,0,3,1,4
21303,AYO AYO,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,1,0,1,0,1
30301,AYOPAYA (V. DE INDEPENDENCIA),mortalidad,otras muertes en mayores de 5 anos,2013-01-01,2,0,1,0,3,0,3
21203,BATALLAS,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,1,3,1,3,4
50301,BETANZOS,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,2,3,2,3,5
51102,"CAIZA ""D""",mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,0,2,0,2,2
21003,CAJUATA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,2,1,2,1,3
21304,CALAMARCA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,0,3,0,3,3
10701,CAMARGO,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,2,1,0,0,2,1,3
70706,CAMIRI,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,4,0,2,2,6,2,8
40102,CARACOLLO,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,1,0,1,0,1
22001,CARANAVI,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,1,3,2,0,3,3,6
60302,CARAPARI,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,1,0,2,0,3,0,3
50702,CARIPUYO,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,0,1,0,1,1
40201,CHALLAPATA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,1,0,6,12,7,12,19
50302,CHAQUI,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,0,1,0,1,1
31204,CHIMORE,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,4,0,4,0,4
20501,CHUMA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,1,1,3,1,4,5
30801,CLIZA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,1,0,1,0,1
90101,COBIJA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,2,4,0,0,2,4,6
30101,COCHABAMBA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,31,35,2,2,33,37,70
21307,COLLANA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,0,2,0,2,2
31002,COLOMI,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,3,7,3,7,10
70603,COLPA BELGICA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,1,0,1,0,1
50401,COLQUECHACA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,2,1,2,1,3
71301,COMARAPA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,1,2,1,2,3
71101,CONCEPCION,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,2,1,1,0,3,1,4
21701,COPACABANA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,2,2,2,2,4
21402,CORIPATA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,1,0,1,0,1
21401,COROICO,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,1,0,2,0,3,0,3
40301,CORQUE,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,2,1,2,1,3
50601,COTAGAITA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,2,0,2,0,2
70102,COTOCA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,3,5,3,5,8
71106,CUATRO CAÑADAS,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,2,1,2,1,3
70704,CUEVO,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,2,0,2,0,2
10902,CULPINA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,1,0,0,0,1,0,1
21602,CURVA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,0,1,0,1,1
20105,EL ALTO,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,22,16,37,35,59,51,110
60502,EL PUENTE(TJA),mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,0,1,0,1,1
70105,EL TORNO,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,3,3,4,2,7,5,12
10405,EL VILLAR,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,0,1,0,1,1
60601,ENTRE RIOS TRJ,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,2,0,0,0,2,0,2
31206,ENTRE RIOS CBBA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,0,2,0,2,2
20405,ESCOMA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,0,1,0,1,1
71004,FERNANDEZ ALONSO,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,1,0,0,1,1,1,2
21601,GRAL. J.J. PEREZ (CHARAZANI),mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,0,1,0,1,1
20602,GUANAY,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,3,0,3,0,3
20802,GUAQUI,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,2,2,2,2,4
80202,GUAYARAMERIN,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,4,1,2,1,6,2,8
10502,HUACARETA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,0,1,0,1,1
40701,HUANUNI,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,5,4,5,4,9
20204,HUARINA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,0,5,0,5,5
20206,HUATAJATA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,0,4,0,4,4
20404,HUMANATA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,2,0,2,0,2
10304,ICLA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,3,2,3,2,5
21001,INQUISIVI,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,1,0,1,0,1
21102,IRUPANA (VILLA DE LANZA),mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,1,0,1,0,1
20806,JESUS DE MACHACA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,4,1,4,1,5
21105,LA ASUNTA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,1,0,0,2,1,2,3
70104,LA GUARDIA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,1,3,1,3,4
20101,LA PAZ,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,114,95,75,105,189,200,389
21202,LAJA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,0,2,0,2,2
10903,LAS CARRERAS,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,2,0,2,0,2
21006,LICOMA PAMPA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,1,0,0,0,1,0,1
50203,LLALLAGUA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,2,1,2,6,4,7,11
20901,LURIBAY,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,2,0,2,0,2
11003,MACHARETI,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,1,1,1,1,2
70903,MAIRANA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,4,1,4,1,5
20607,MAPIRI,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,1,0,1,0,1
71003,MINEROS,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,2,0,2,0,2
20402,MOCOMOCO,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,1,0,1,0,1
10303,MOJOCOYA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,0,1,0,1,1
10501,MONTEAGUDO,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,3,0,4,0,7,0,7
71001,MONTERO,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,1,2,6,3,7,5,12
70803,MORO MORO,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,1,0,1,0,1
50404,OCURI,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,0,1,0,1,1
40101,ORURO,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,5,11,0,1,5,12,17
60201,PADCAYA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,1,1,1,1,2
10401,PADILLA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,1,1,1,2,2,3,5
70502,PAILON,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,1,1,1,1,2
20102,PALCA,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,0,0,6,0,6,0,6
21104,PALOS BLANCOS,mortalidad,otras muertes en mayores de 5 anos,2013-01-01,1,0,4,4,5,4,9
