codigo_municipio,municipio,grupo,variable,mes,número de eventos,número de afectados,número de fallecidos,total
10201,AZURDUY,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-01-01,2.0,30.0,0.0,32.0
51103,CKOCHAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-01-01,0.0,1.0,0.0,1.0
70805,PUCARA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-01-01,1.0,20.0,0.0,21.0
51101,PUNA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-01-01,1.0,10.0,0.0,11.0
10702,SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-01-01,1.0,50.0,0.0,51.0
10101,SUCRE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-01-01,1.0,41.0,0.0,42.0
10402,TOMINA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-01-01,1.0,6.0,0.0,7.0
30501,ARANI,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-02-01,1.0,0.0,0.0,1.0
20101,LA PAZ,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-02-01,1.0,0.0,0.0,1.0
10501,MONTEAGUDO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-02-01,0.0,34.0,0.0,34.0
10702,SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-02-01,1.0,20.0,0.0,21.0
50602,VITICHI,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-02-01,1.0,100.0,0.0,101.0
20201,ACHACACHI,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-03-01,1.0,8.0,0.0,9.0
50601,COTAGAITA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-03-01,1.0,0.0,0.0,1.0
10701,CAMARGO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-04-01,1.0,50.0,0.0,51.0
50601,COTAGAITA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-04-01,1.0,120.0,0.0,121.0
10702,SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-04-01,2.0,60.0,0.0,62.0
51103,CKOCHAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-05-01,0.0,33.0,0.0,33.0
41601,HUAYLLAMARCA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-05-01,1.0,0.0,0.0,1.0
70701,LAGUNILLAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-06-01,1.0,120.0,0.0,121.0
30302,MOROCHATA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-06-01,1.0,60.0,0.0,61.0
20803,TIAWANACU,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-06-01,1.0,0.0,0.0,1.0
40103,EL CHORO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-08-01,1.0,0.0,0.0,1.0
30302,MOROCHATA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-08-01,1.0,30.0,0.0,31.0
10103,POROMA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-08-01,1.0,180.0,0.0,181.0
10201,AZURDUY,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-09-01,2.0,30.0,0.0,32.0
50601,COTAGAITA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-09-01,1.0,120.0,0.0,121.0
10303,MOJOCOYA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-09-01,1.0,258.0,0.0,259.0
10103,POROMA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-09-01,2.0,150.0,0.0,152.0
10702,SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-09-01,1.0,676.0,0.0,677.0
10901,CAMATAQUI (C. VILLA ABECIA),eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-10-01,2.0,80.0,0.0,82.0
50601,COTAGAITA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-10-01,2.0,44.0,0.0,46.0
10302,PRESTO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-10-01,2.0,24.0,0.0,26.0
10202,TARVITA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-10-01,1.0,15.0,0.0,16.0
51501,VILLAZON,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-10-01,1.0,37.0,0.0,38.0
60502,EL PUENTE(TJA),eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-11-01,1.0,0.0,0.0,1.0
10304,ICLA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-11-01,5.0,240.0,0.0,245.0
10903,LAS CARRERAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-11-01,0.0,45.0,0.0,45.0
60201,PADCAYA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-11-01,2.0,40.0,0.0,42.0
10702,SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-11-01,1.0,356.0,0.0,357.0
10301,ZUDAÑEZ,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-11-01,1.0,46.0,0.0,47.0
10201,AZURDUY,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-12-01,2.0,50.0,0.0,52.0
10304,ICLA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-12-01,2.0,90.0,0.0,92.0
70805,PUCARA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-12-01,1.0,0.0,0.0,1.0
10601,TARABUCO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-12-01,1.0,131.0,0.0,132.0
10602,YAMPARAEZ,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-12-01,1.0,119.0,0.0,120.0
10102,YOTALA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2015-12-01,9.0,1260.0,0.0,1269.0
