codigo_municipio,municipio,grupo,variable,mes,de-1-ano_masculino,de-1-ano-1_femenino,1-a-4-anos_masculino,1-a-4-anos-1_femenino,5-a-9-anos_masculino,5-a-9-anos-1_femenino,10-a-20-anos_masculino,10-a-20-anos-1_femenino,21-a-59-anos_masculino,21-a-59-anos-1_femenino,60-y-mas_masculino,60-y-mas-1_femenino,totales_total-m,totales-1_total-f,totales-2_total
22002,ALTO BENI,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2
20701,APOLO,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
51301,ARAMPAMPA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
30403,ARBIETO,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
10201,AZURDUY,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
60202,BERMEJO,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,1,3,1,11,3,0,0,14,5,19
70401,BUENA VISTA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
21304,CALAMARCA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,1,1,0,0,0,0,3,1,0,0,4,2,6
30701,CAPINOTA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
40201,CHALLAPATA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,1,0,4,4,9,1,2,5,16,21
50202,CHAYANTA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
51103,CKOCHAS,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
30101,COCHABAMBA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,1,0,1,3,40,12,124,50,12,8,178,73,251
30905,COLCAPIRHUA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,2,0,0,7,1,0,0,7,3,10
70603,COLPA BELGICA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
70102,COTOCA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,2,1,6,3,9,3,3,1,8,6,2,0,30,14,44
20105,EL ALTO,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,3,1,17,12,14,8,50,18,52,26,4,3,140,68,208
70105,EL TORNO,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,0,1,0,3,0,0,0,4,0,4
31206,ENTRE RIOS CBBA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
21601,GRAL. J.J. PEREZ (CHARAZANI),"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,1,0,1,0,0,0,1,3,1,1,4,4,8
40701,HUANUNI,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,1,3,2,0,1,1,2,3,0,0,6,7,13
21102,IRUPANA (VILLA DE LANZA),"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,1,2,0,0,1,0,2,0,1,0,5,2,7
21501,IXIAMAS,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,4,5,2,2,7,2,1,2,8,10,1,1,23,22,45
20806,JESUS DE MACHACA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,1,0,1,0,0,0,0,0,2,1,1,3,5,4,9
70104,LA GUARDIA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,1,0,0,0,0,0,2,4,1,0,0,4,4,8
20101,LA PAZ,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,2,0,1,1,0,1,6,3,0,0,9,5,14
70903,MAIRANA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,1,0,0,0,3,0,0,1,4,1,5
20103,MECAPACA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,2,0,0,0,1,5,0,1,3,6,9
71003,MINEROS,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,1,6,1,4,4,2,0,12,6,18
71001,MONTERO,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,1,6,2,4,0,16,6,27,4,4,1,57,14,71
40101,ORURO,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,1,5,16,15,19,5,39,16,124,59,15,12,214,112,326
20102,PALCA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,2,0,1,0,0,0,0,0,0,0,3,0,3
40602,PAZÑA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
70601,PORTACHUELO,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3
31205,PUERTO VILLARROEL,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,1,0,15,8,10,5,26,12,45,15,2,2,99,42,141
31401,PUNATA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,3,4,7,4,6,0,6,4,22,14,7,5,51,31,82
80201,RIBERALTA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,1,1,0,2,2,0,0,3,3,6
70503,ROBORE,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
80304,RURRENABAQUE,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,1,0,0,0,0,0,2,2,7,2,0,1,10,5,15
40901,SABAYA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
31001,SACABA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,3,0,12,14,16,4,46,19,71,32,9,9,157,78,235
50701,SACACA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,1,0,2,0,2,0,0,0,5,0,5
20805,SAN ANDRES DE MACHACA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
31403,SAN BENITO,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,3,0,0,2,2,2,1,1,1,5,7,12
21502,SAN BUENA VENTURA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,1,0,1,0,3,0,3,3,1,0,9,3,12
80501,SAN IGNACIO,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
70301,SAN IGNACIO DE VELASCO,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,5,4,1,3,9,1,14,4,0,1,29,13,42
70302,SAN MIGUEL DE VELASCO,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,1,3,1,2,0,0,5,1,14,1,1,1,22,8,30
71005,SAN PEDRO,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,1,0,0,2,0,2,3,0,0,4,4,8
70303,SAN RAFAEL,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,1,0,1,0,2,0,0,0,4,0,4
70101,SANTA CRUZ DE LA SIERRA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,1,3,0,1,0,2,4,0,0,6,5,11
20205,SANTIAGO DE HUATA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
20902,SAPAHAQUI,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,1,1,0,3,2,1,2,0,5,2,10,7,17
31602,SHINAOTA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2
40104,SORACACHI,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
20601,SORATA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,0,0,0,4,4,2,1,6,5,11
10101,SUCRE,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,4,3,7,6,6,2,24,7,28,23,5,4,74,45,119
60101,TARIJA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,0,0,1,3,1,0,0,3,2,5
