codigo_municipio,municipio,grupo,variable,mes,hombres menores a 2 años,mujeres menores a 2 años,hombres de 2 a 4 años,mujeres de 2 a 4 años,hombres total,mujeres total,total
51302,ACACIO,desnutricion global,desnutricion leve (l),2005-01-01,24,18,53,41,77,59,136
20201,ACHACACHI,desnutricion global,desnutricion leve (l),2005-01-01,42,49,49,68,91,117,208
20104,ACHOCALLA,desnutricion global,desnutricion leve (l),2005-01-01,24,32,8,10,32,42,74
30201,AIQUILE,desnutricion global,desnutricion leve (l),2005-01-01,14,22,12,25,26,47,73
31303,ALALAY,desnutricion global,desnutricion leve (l),2005-01-01,3,4,5,3,8,7,15
10404,ALCALA,desnutricion global,desnutricion leve (l),2005-01-01,9,8,33,31,42,39,81
20202,ANCORAIMES,desnutricion global,desnutricion leve (l),2005-01-01,37,35,44,74,81,109,190
41201,ANDAMARCA,desnutricion global,desnutricion leve (l),2005-01-01,2,2,1,1,3,3,6
40603,ANTEQUERA,desnutricion global,desnutricion leve (l),2005-01-01,2,7,4,3,6,10,16
30402,ANZALDO,desnutricion global,desnutricion leve (l),2005-01-01,1,1,8,5,9,6,15
20701,APOLO,desnutricion global,desnutricion leve (l),2005-01-01,16,12,24,31,40,43,83
51301,ARAMPAMPA,desnutricion global,desnutricion leve (l),2005-01-01,13,12,21,26,34,38,72
30501,ARANI,desnutricion global,desnutricion leve (l),2005-01-01,19,8,4,2,23,10,33
30403,ARBIETO,desnutricion global,desnutricion leve (l),2005-01-01,5,7,8,8,13,15,28
30601,ARQUE,desnutricion global,desnutricion leve (l),2005-01-01,28,35,23,43,51,78,129
50802,ATOCHA,desnutricion global,desnutricion leve (l),2005-01-01,29,30,40,35,69,65,134
20503,AUCAPATA,desnutricion global,desnutricion leve (l),2005-01-01,11,3,2,7,13,10,23
20502,AYATA,desnutricion global,desnutricion leve (l),2005-01-01,25,17,12,19,37,36,73
21303,AYO AYO,desnutricion global,desnutricion leve (l),2005-01-01,7,8,14,6,21,14,35
30301,AYOPAYA (V. DE INDEPENDENCIA),desnutricion global,desnutricion leve (l),2005-01-01,29,30,26,27,55,57,112
10201,AZURDUY,desnutricion global,desnutricion leve (l),2005-01-01,39,57,73,90,112,147,259
21203,BATALLAS,desnutricion global,desnutricion leve (l),2005-01-01,22,11,15,11,37,22,59
80802,BAURES,desnutricion global,desnutricion leve (l),2005-01-01,17,0,17,0,34,0,34
41202,BELEN DE ANDAMARCA,desnutricion global,desnutricion leve (l),2005-01-01,1,1,1,0,2,1,3
50104,BELEN DE URMIRI,desnutricion global,desnutricion leve (l),2005-01-01,3,0,5,7,8,7,15
90104,BELLA FLOR,desnutricion global,desnutricion leve (l),2005-01-01,2,3,4,3,6,6,12
60202,BERMEJO,desnutricion global,desnutricion leve (l),2005-01-01,3,5,0,8,3,13,16
50301,BETANZOS,desnutricion global,desnutricion leve (l),2005-01-01,67,108,113,123,180,231,411
