codigo_municipio,municipio,grupo,variable,mes,< de 2 años-H,< de 2 años-M,2 a 4 años-H,2 a 4 años-M,TOTAL-H,TOTAL-M,TOTAL
51302,ACACIO,desnutricion global,desnutricion leve (l),2006-01-01,23,10,18,28,41,38,79
20201,ACHACACHI,desnutricion global,desnutricion leve (l),2006-01-01,38,38,47,65,85,103,188
20104,ACHOCALLA,desnutricion global,desnutricion leve (l),2006-01-01,6,4,4,8,10,12,22
30201,AIQUILE,desnutricion global,desnutricion leve (l),2006-01-01,31,28,13,29,44,57,101
31303,ALALAY,desnutricion global,desnutricion leve (l),2006-01-01,0,4,0,2,0,6,6
10404,ALCALA,desnutricion global,desnutricion leve (l),2006-01-01,12,13,32,24,44,37,81
20202,ANCORAIMES,desnutricion global,desnutricion leve (l),2006-01-01,31,36,46,71,77,107,184
41201,ANDAMARCA,desnutricion global,desnutricion leve (l),2006-01-01,3,0,5,2,8,2,10
30402,ANZALDO,desnutricion global,desnutricion leve (l),2006-01-01,9,5,11,9,20,14,34
20701,APOLO,desnutricion global,desnutricion leve (l),2006-01-01,19,23,17,15,36,38,74
51301,ARAMPAMPA,desnutricion global,desnutricion leve (l),2006-01-01,12,16,24,24,36,40,76
30501,ARANI,desnutricion global,desnutricion leve (l),2006-01-01,3,6,9,6,12,12,24
30403,ARBIETO,desnutricion global,desnutricion leve (l),2006-01-01,9,5,4,10,13,15,28
30601,ARQUE,desnutricion global,desnutricion leve (l),2006-01-01,29,30,23,25,52,55,107
50802,ATOCHA,desnutricion global,desnutricion leve (l),2006-01-01,30,30,33,24,63,54,117
20503,AUCAPATA,desnutricion global,desnutricion leve (l),2006-01-01,12,4,10,2,22,6,28
20502,AYATA,desnutricion global,desnutricion leve (l),2006-01-01,31,21,18,26,49,47,96
21303,AYO AYO,desnutricion global,desnutricion leve (l),2006-01-01,15,3,10,3,25,6,31
30301,AYOPAYA (V. DE INDEPENDENCIA),desnutricion global,desnutricion leve (l),2006-01-01,50,31,58,38,108,69,177
10201,AZURDUY,desnutricion global,desnutricion leve (l),2006-01-01,29,33,64,70,93,103,196
21203,BATALLAS,desnutricion global,desnutricion leve (l),2006-01-01,19,14,8,7,27,21,48
80802,BAURES,desnutricion global,desnutricion leve (l),2006-01-01,4,8,4,6,8,14,22
41202,BELEN DE ANDAMARCA,desnutricion global,desnutricion leve (l),2006-01-01,1,1,4,0,5,1,6
50104,BELEN DE URMIRI,desnutricion global,desnutricion leve (l),2006-01-01,2,2,4,5,6,7,13
90104,BELLA FLOR,desnutricion global,desnutricion leve (l),2006-01-01,5,5,1,5,6,10,16
60202,BERMEJO,desnutricion global,desnutricion leve (l),2006-01-01,10,9,6,4,16,13,29
50301,BETANZOS,desnutricion global,desnutricion leve (l),2006-01-01,64,78,126,133,190,211,401
31501,BOLIVAR,desnutricion global,desnutricion leve (l),2006-01-01,43,40,45,39,88,79,167
90103,BOLPEBRA,desnutricion global,desnutricion leve (l),2006-01-01,1,2,1,3,2,5,7
70707,BOYUIBE,desnutricion global,desnutricion leve (l),2006-01-01,5,8,4,7,9,15,24
70401,BUENA VISTA,desnutricion global,desnutricion leve (l),2006-01-01,19,8,11,21,30,29,59
70703,CABEZAS,desnutricion global,desnutricion leve (l),2006-01-01,21,23,38,14,59,37,96
20905,CAIROMA,desnutricion global,desnutricion leve (l),2006-01-01,41,47,36,43,77,90,167
51102,"CAIZA ""D""",desnutricion global,desnutricion leve (l),2006-01-01,10,13,30,24,40,37,77
21003,CAJUATA,desnutricion global,desnutricion leve (l),2006-01-01,16,14,15,23,31,37,68
20303,CALACOTO,desnutricion global,desnutricion leve (l),2006-01-01,8,7,4,14,12,21,33
21304,CALAMARCA,desnutricion global,desnutricion leve (l),2006-01-01,88,64,50,65,138,129,267
10701,CAMARGO,desnutricion global,desnutricion leve (l),2006-01-01,53,45,58,71,111,116,227
10901,CAMATAQUI (C. VILLA ABECIA),desnutricion global,desnutricion leve (l),2006-01-01,9,8,20,23,29,31,60
70706,CAMIRI,desnutricion global,desnutricion leve (l),2006-01-01,45,36,45,41,90,77,167
30701,CAPINOTA,desnutricion global,desnutricion leve (l),2006-01-01,27,33,18,20,45,53,98
20302,CAQUIAVIRI,desnutricion global,desnutricion leve (l),2006-01-01,4,6,5,6,9,12,21
40102,CARACOLLO,desnutricion global,desnutricion leve (l),2006-01-01,12,2,9,11,21,13,34
22001,CARANAVI,desnutricion global,desnutricion leve (l),2006-01-01,78,65,48,74,126,139,265
60302,CARAPARI,desnutricion global,desnutricion leve (l),2006-01-01,13,7,9,10,22,17,39
50702,CARIPUYO,desnutricion global,desnutricion leve (l),2006-01-01,32,37,64,59,96,96,192
71403,CARMEN RIVERO TORREZ,desnutricion global,desnutricion leve (l),2006-01-01,2,4,3,3,5,7,12
21902,CATACORA,desnutricion global,desnutricion leve (l),2006-01-01,0,0,2,0,2,0,2
21803,CHACARILLA,desnutricion global,desnutricion leve (l),2006-01-01,0,0,0,2,0,2,2
40201,CHALLAPATA,desnutricion global,desnutricion leve (l),2006-01-01,33,34,42,46,75,80,155
50302,CHAQUI,desnutricion global,desnutricion leve (l),2006-01-01,14,16,15,25,29,41,70
70702,CHARAGUA,desnutricion global,desnutricion leve (l),2006-01-01,55,42,35,51,90,93,183
