codigo_municipio,municipio,grupo,variable,mes,dentro_masculino,dentro-1_femenino,fuera_masculino,fuera-1_femenino,totales_total-m,totales-1_total-f,totales-2_total
30101,COCHABAMBA,mortalidad,muerte materna,2010-01-01,0,1,0,0,0,1,1
70704,CUEVO,mortalidad,muerte materna,2010-01-01,0,0,0,1,0,1,1
20105,EL ALTO,mortalidad,muerte materna,2010-01-01,0,1,0,1,0,2,2
50203,LLALLAGUA,mortalidad,muerte materna,2010-01-01,0,1,0,0,0,1,1
40101,ORURO,mortalidad,muerte materna,2010-01-01,0,1,0,0,0,1,1
50403,POCOATA,mortalidad,muerte materna,2010-01-01,0,0,0,1,0,1,1
21201,PUCARANI,mortalidad,muerte materna,2010-01-01,0,0,0,1,0,1,1
80301,REYES,mortalidad,muerte materna,2010-01-01,0,0,0,1,0,1,1
70301,SAN IGNACIO DE VELASCO,mortalidad,muerte materna,2010-01-01,0,0,0,1,0,1,1
70101,SANTA CRUZ DE LA SIERRA,mortalidad,muerte materna,2010-01-01,0,1,0,0,0,1,1
80101,TRINIDAD,mortalidad,muerte materna,2010-01-01,0,1,0,0,0,1,1
30101,COCHABAMBA,mortalidad,muerte materna,2010-02-01,0,3,0,0,0,3,3
20105,EL ALTO,mortalidad,muerte materna,2010-02-01,0,1,0,0,0,1,1
20405,ESCOMA,mortalidad,muerte materna,2010-02-01,0,1,0,0,0,1,1
80202,GUAYARAMERIN,mortalidad,muerte materna,2010-02-01,0,1,0,0,0,1,1
40101,ORURO,mortalidad,muerte materna,2010-02-01,0,2,0,0,0,2,2
50101,POTOSI,mortalidad,muerte materna,2010-02-01,0,1,0,0,0,1,1
70101,SANTA CRUZ DE LA SIERRA,mortalidad,muerte materna,2010-02-01,0,1,0,0,0,1,1
10101,SUCRE,mortalidad,muerte materna,2010-02-01,0,1,0,0,0,1,1
60101,TARIJA,mortalidad,muerte materna,2010-02-01,0,1,0,0,0,1,1
51201,UYUNI,mortalidad,muerte materna,2010-02-01,0,0,0,1,0,1,1
40201,CHALLAPATA,mortalidad,muerte materna,2010-03-01,0,0,0,2,0,2,2
30101,COCHABAMBA,mortalidad,muerte materna,2010-03-01,0,2,0,0,0,2,2
70105,EL TORNO,mortalidad,muerte materna,2010-03-01,0,0,0,1,0,1,1
20101,LA PAZ,mortalidad,muerte materna,2010-03-01,0,2,0,0,0,2,2
50404,OCURI,mortalidad,muerte materna,2010-03-01,0,0,0,2,0,2,2
30901,QUILLACOLLO,mortalidad,muerte materna,2010-03-01,0,0,0,1,0,1,1
80401,SANTA ANA,mortalidad,muerte materna,2010-03-01,0,1,0,0,0,1,1
70101,SANTA CRUZ DE LA SIERRA,mortalidad,muerte materna,2010-03-01,0,6,0,0,0,6,6
90303,SENA,mortalidad,muerte materna,2010-03-01,0,0,0,1,0,1,1
10403,SOPACHUY,mortalidad,muerte materna,2010-03-01,0,0,0,1,0,1,1
