codigo_municipio,municipio,grupo,variable,mes,dentro de establecimientos hombres,dentro de establecimientos mujeres,fuera de establecimientos hombres,fuera de establecimientos mujeres,hombres total,mujeres total,total
20503,AUCAPATA,mortalidad,muerte rn menor de 7 dias,2014-01-01,0.0,0.0,1.0,1.0,1.0,1.0,2.0
70706,CAMIRI,mortalidad,muerte rn menor de 7 dias,2014-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
30101,COCHABAMBA,mortalidad,muerte rn menor de 7 dias,2014-01-01,8.0,6.0,0.0,0.0,8.0,6.0,14.0
50401,COLQUECHACA,mortalidad,muerte rn menor de 7 dias,2014-01-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
10902,CULPINA,mortalidad,muerte rn menor de 7 dias,2014-01-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
20105,EL ALTO,mortalidad,muerte rn menor de 7 dias,2014-01-01,7.0,3.0,3.0,1.0,10.0,4.0,14.0
20405,ESCOMA,mortalidad,muerte rn menor de 7 dias,2014-01-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
80202,GUAYARAMERIN,mortalidad,muerte rn menor de 7 dias,2014-01-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
10703,INCAHUASI,mortalidad,muerte rn menor de 7 dias,2014-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
21102,IRUPANA (VILLA DE LANZA),mortalidad,muerte rn menor de 7 dias,2014-01-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
21501,IXIAMAS,mortalidad,muerte rn menor de 7 dias,2014-01-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
20101,LA PAZ,mortalidad,muerte rn menor de 7 dias,2014-01-01,22.0,2.0,4.0,0.0,26.0,2.0,28.0
20901,LURIBAY,mortalidad,muerte rn menor de 7 dias,2014-01-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
10303,MOJOCOYA,mortalidad,muerte rn menor de 7 dias,2014-01-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
10501,MONTEAGUDO,mortalidad,muerte rn menor de 7 dias,2014-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
71001,MONTERO,mortalidad,muerte rn menor de 7 dias,2014-01-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
40101,ORURO,mortalidad,muerte rn menor de 7 dias,2014-01-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
21104,PALOS BLANCOS,mortalidad,muerte rn menor de 7 dias,2014-01-01,0.0,1.0,0.0,1.0,0.0,2.0,2.0
50101,POTOSI,mortalidad,muerte rn menor de 7 dias,2014-01-01,1.0,4.0,2.0,3.0,3.0,7.0,10.0
31401,PUNATA,mortalidad,muerte rn menor de 7 dias,2014-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
80201,RIBERALTA,mortalidad,muerte rn menor de 7 dias,2014-01-01,5.0,4.0,0.0,0.0,5.0,4.0,9.0
70503,ROBORE,mortalidad,muerte rn menor de 7 dias,2014-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
50701,SACACA,mortalidad,muerte rn menor de 7 dias,2014-01-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
40801,SALINAS DE GARCI MENDOZA,mortalidad,muerte rn menor de 7 dias,2014-01-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
