codigo_municipio,municipio,grupo,variable,mes,< de 1 año,1 a 4 años,5 a 14 años,15 a 59 años,60 y más,TOTAL
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2005-02-01,0.0,0.0,0.0,1.0,0.0,1.0
60401,URIONDO (A. CONCEPCION),sospecha diagnostica,enfer. por hanta virus,2005-02-01,0.0,0.0,0.0,1.0,0.0,1.0
31204,CHIMORE,sospecha diagnostica,enfer. por hanta virus,2005-03-01,0.0,0.0,0.0,1.0,0.0,1.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2005-03-01,0.0,0.0,0.0,2.0,0.0,2.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2005-04-01,0.0,0.0,1.0,4.0,0.0,5.0
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2005-05-01,0.0,0.0,0.0,1.0,0.0,1.0
71005,SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2005-05-01,0.0,0.0,0.0,1.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2005-05-01,0.0,0.0,0.0,1.0,0.0,1.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2005-05-01,0.0,0.0,0.0,3.0,0.0,3.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2005-05-01,0.0,0.0,2.0,1.0,0.0,3.0
71005,SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2005-06-01,0.0,0.0,0.0,2.0,0.0,2.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2005-06-01,0.0,0.0,0.0,4.0,0.0,4.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2005-06-01,0.0,0.0,1.0,1.0,0.0,2.0
71001,MONTERO,sospecha diagnostica,enfer. por hanta virus,2005-07-01,0.0,0.0,0.0,1.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2005-07-01,0.0,1.0,0.0,0.0,0.0,1.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2005-07-01,0.0,0.0,0.0,2.0,0.0,2.0
71005,SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2005-08-01,0.0,0.0,0.0,1.0,0.0,1.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2005-08-01,0.0,0.0,0.0,0.0,1.0,1.0
71005,SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2005-09-01,0.0,0.0,1.0,0.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2005-09-01,0.0,0.0,0.0,2.0,0.0,2.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2005-09-01,0.0,0.0,0.0,2.0,0.0,2.0
71005,SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2005-10-01,0.0,0.0,0.0,3.0,0.0,3.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2005-10-01,0.0,0.0,0.0,1.0,0.0,1.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2005-10-01,0.0,0.0,1.0,0.0,0.0,1.0
71001,MONTERO,sospecha diagnostica,enfer. por hanta virus,2005-11-01,0.0,0.0,0.0,1.0,0.0,1.0
71005,SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2005-11-01,0.0,0.0,0.0,3.0,0.0,3.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2005-11-01,0.0,0.0,0.0,1.0,0.0,1.0
31601,TIRAQUE (CBBA),sospecha diagnostica,enfer. por hanta virus,2005-11-01,0.0,0.0,0.0,1.0,0.0,1.0
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2005-12-01,0.0,0.0,0.0,1.0,0.0,1.0
30101,COCHABAMBA,sospecha diagnostica,enfer. por hanta virus,2005-12-01,0.0,0.0,0.0,2.0,0.0,2.0
71005,SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2005-12-01,0.0,0.0,0.0,1.0,0.0,1.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2005-12-01,0.0,0.0,0.0,5.0,2.0,7.0
