codigo_municipio,municipio,grupo,variable,mes,de-1-ano_masculino,de-1-ano-1_femenino,1-a-4-anos_masculino,1-a-4-anos-1_femenino,5-a-9-anos_masculino,5-a-9-anos-1_femenino,10-a-20-anos_masculino,10-a-20-anos-1_femenino,21-a-59-anos_masculino,21-a-59-anos-1_femenino,60-y-mas_masculino,60-y-mas-1_femenino,totales_total-m,totales-1_total-f,totales-2_total
20201,ACHACACHI,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
71501,ASCENCION DE GUARAYOS,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,1,2,0,0,0,3,3,8,4,0,0,13,8,21
60202,BERMEJO,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,1,0,11,0,1,0,13,0,13
70707,BOYUIBE,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
70401,BUENA VISTA,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,1,1,1,3,1,0,0,4,3,7
70703,CABEZAS,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
21304,CALAMARCA,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,1,3,1,5,9,2,3,10,14,24
10701,CAMARGO,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
40201,CHALLAPATA,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
31204,CHIMORE,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,1,0,2,0,0,0,3,0,3
21101,CHULUMANI (V. DE LA LIBERTAD),"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
90101,COBIJA,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,0,0,3,2,0,0,3,2,5
30101,COCHABAMBA,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,1,3,0,7,4,3,1,13,6,19
31002,COLOMI,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,2,0,3,0,2,2,0,0,7,2,9
20304,COMANCHE,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
71301,COMARAPA,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,1,0,3,1,0,0,4,1,5
71101,CONCEPCION,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,2,0,2,0,1,0,4,3,0,0,9,3,12
21402,CORIPATA,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,1,0,2,0,0,0,3,0,3
21401,COROICO,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,2,0,0,0,5,3,6,4,0,0,13,7,20
70102,COTOCA,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,1,0,0,0,1,1,2,2,2,0,6,3,9
71106,CUATRO CAÑADAS,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,2,0,2,0,0,0,4,0,4
20804,DESAGUADERO,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
20105,EL ALTO,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,4,4,4,3,2,12,16,60,46,9,11,88,83,171
71503,EL PUENTE(STC),"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
60502,EL PUENTE(TJA),"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
70105,EL TORNO,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,2,0,3,1,0,0,5,1,6
60601,ENTRE RIOS TRJ,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,0,0,5,0,0,0,5,0,5
31206,ENTRE RIOS CBBA,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,2,5,1,4,0,0,0,9,3,12
20405,ESCOMA,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,1,1,0,4,5,4,0,0,6,9,15
41101,EUCALIPTUS,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
90503,EUREKA (SANTOS MERCADO),"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
71004,FERNANDEZ ALONSO,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,1,0,0,0,0,0,1,0,2,2,4,2,6
71002,GENERAL SAAVEDRA,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
40701,HUANUNI,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,1,0,1,11,4,0,0,11,6,17
21102,IRUPANA (VILLA DE LANZA),"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
20806,JESUS DE MACHACA,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
21105,LA ASUNTA,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2
