codigo_municipio,municipio,grupo,variable,mes,hombres de 1 año,mujeres de 1 año,hombres de 1 a 4 años,mujeres de 1 a 4 años,hombres de 5 a 9 años,mujeres de 5 a 9 años,hombres de 10 a 20 años,mujeres de 10 a 20 años,hombres de 21 a 59 años,mujeres de 21 a 59 años,hombres de 60 y más años,mujeres de 60 y más años,hombres total,mujeres total,total
20201,ACHACACHI,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,0,0,0,0,3,0,8,0,0,0,11,11
30201,AIQUILE,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
40603,ANTEQUERA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
30402,ANZALDO,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
30501,ARANI,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,0,0,0,0,1,1,4,0,0,1,5,6
71501,ASCENCION DE GUARAYOS,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
20502,AYATA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,0,0,0,0,0,1,2,0,0,1,2,3
10201,AZURDUY,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
60202,BERMEJO,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
50301,BETANZOS,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
21304,CALAMARCA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2
40102,CARACOLLO,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
71403,CARMEN RIVERO TORREZ,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
40201,CHALLAPATA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3
31204,CHIMORE,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
20501,CHUMA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,0,0,0,0,0,1,2,0,0,1,2,3
