codigo_municipio,municipio,grupo,variable,mes,< de 1 año,1 a 4 años,5 a 14 años,15 a 59 años,60 y más,TOTAL
20101,LA PAZ,sospecha diagnostica,tosferina,2002-01-01,5.0,3.0,0.0,0.0,0.0,8.0
71001,MONTERO,sospecha diagnostica,tosferina,2002-01-01,1.0,0.0,0.0,0.0,0.0,1.0
60201,PADCAYA,sospecha diagnostica,tosferina,2002-01-01,0.0,0.0,0.0,2.0,0.0,2.0
31205,PUERTO VILLARROEL,sospecha diagnostica,tosferina,2002-01-01,0.0,3.0,0.0,0.0,0.0,3.0
60101,TARIJA,sospecha diagnostica,tosferina,2002-01-01,0.0,1.0,0.0,0.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tosferina,2002-02-01,5.0,2.0,1.0,0.0,0.0,8.0
60201,PADCAYA,sospecha diagnostica,tosferina,2002-02-01,0.0,0.0,7.0,1.0,0.0,8.0
31205,PUERTO VILLARROEL,sospecha diagnostica,tosferina,2002-02-01,0.0,1.0,0.0,0.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tosferina,2002-03-01,5.0,2.0,0.0,0.0,0.0,7.0
21502,SAN BUENA VENTURA,sospecha diagnostica,tosferina,2002-03-01,1.0,0.0,0.0,0.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tosferina,2002-04-01,6.0,6.0,0.0,0.0,0.0,12.0
31001,SACABA,sospecha diagnostica,tosferina,2002-04-01,1.0,2.0,1.0,0.0,0.0,4.0
20101,LA PAZ,sospecha diagnostica,tosferina,2002-05-01,5.0,6.0,3.0,0.0,0.0,14.0
50101,POTOSI,sospecha diagnostica,tosferina,2002-05-01,1.0,0.0,0.0,0.0,0.0,1.0
31205,PUERTO VILLARROEL,sospecha diagnostica,tosferina,2002-05-01,0.0,1.0,0.0,0.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tosferina,2002-06-01,2.0,1.0,0.0,0.0,0.0,3.0
50101,POTOSI,sospecha diagnostica,tosferina,2002-06-01,0.0,0.0,1.0,0.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tosferina,2002-08-01,2.0,2.0,0.0,0.0,0.0,4.0
20101,LA PAZ,sospecha diagnostica,tosferina,2002-09-01,6.0,3.0,2.0,0.0,0.0,11.0
31001,SACABA,sospecha diagnostica,tosferina,2002-09-01,0.0,1.0,1.0,0.0,0.0,2.0
20101,LA PAZ,sospecha diagnostica,tosferina,2002-10-01,3.0,9.0,7.0,0.0,0.0,19.0
31001,SACABA,sospecha diagnostica,tosferina,2002-10-01,1.0,0.0,0.0,0.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tosferina,2002-11-01,7.0,7.0,4.0,0.0,0.0,18.0
20101,LA PAZ,sospecha diagnostica,tosferina,2002-12-01,0.0,0.0,1.0,0.0,0.0,1.0
