codigo_municipio,municipio,grupo,variable,mes,hombres menores a 1 año,mujeres menores a 1 año,hombres de 1 a 4 años,mujeres de 1 a 4 años,hombres de 5 a 14 años,mujeres de 5 a 14 años,hombres de 15 a 59 años,mujeres de 15 a 59 años,hombres de 60 y más años,mujeres de 60 y más años,hombres total,mujeres total,total
10201,AZURDUY,violencia  intrafamiliar,hombres,2005-01-01,0,0.0,0,0.0,0,0.0,2,,0,0.0,2,,
50301,BETANZOS,violencia  intrafamiliar,hombres,2005-01-01,0,0.0,0,0.0,0,0.0,2,,0,0.0,2,,
70703,CABEZAS,violencia  intrafamiliar,hombres,2005-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
51102,"CAIZA ""D""",violencia  intrafamiliar,hombres,2005-01-01,0,0.0,0,0.0,1,0.0,1,0.0,0,0.0,2,,
70706,CAMIRI,violencia  intrafamiliar,hombres,2005-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
30701,CAPINOTA,violencia  intrafamiliar,hombres,2005-01-01,0,0.0,0,0.0,0,0.0,3,,0,0.0,3,,
22001,CARANAVI,violencia  intrafamiliar,hombres,2005-01-01,0,0.0,0,0.0,0,0.0,5,,0,0.0,5,,
40201,CHALLAPATA,violencia  intrafamiliar,hombres,2005-01-01,0,0.0,0,0.0,1,0.0,3,0.0,0,0.0,4,,
30801,CLIZA,violencia  intrafamiliar,hombres,2005-01-01,0,0.0,0,0.0,0,0.0,0,0.0,1,,1,,
30101,COCHABAMBA,violencia  intrafamiliar,hombres,2005-01-01,0,0.0,0,0.0,0,0.0,3,0.0,2,0.0,5,,
10902,CULPINA,violencia  intrafamiliar,hombres,2005-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
20105,EL ALTO,violencia  intrafamiliar,hombres,2005-01-01,1,0.0,2,0.0,2,0.0,6,0.0,0,0.0,11,,
41101,EUCALIPTUS,violencia  intrafamiliar,hombres,2005-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
90402,INGAVI (HUMAITA),violencia  intrafamiliar,hombres,2005-01-01,0,0.0,1,,0,0.0,0,0.0,0,0.0,1,,
21105,LA ASUNTA,violencia  intrafamiliar,hombres,2005-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
20101,LA PAZ,violencia  intrafamiliar,hombres,2005-01-01,0,0.0,3,0.0,6,0.0,3,0.0,0,0.0,12,,
50203,LLALLAGUA,violencia  intrafamiliar,hombres,2005-01-01,0,0.0,0,0.0,0,0.0,4,,0,0.0,4,,
31301,MIZQUE,violencia  intrafamiliar,hombres,2005-01-01,0,0.0,0,0.0,0,0.0,3,,0,0.0,3,,
10501,MONTEAGUDO,violencia  intrafamiliar,hombres,2005-01-01,0,0.0,0,0.0,0,0.0,3,,0,0.0,3,,
40101,ORURO,violencia  intrafamiliar,hombres,2005-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
70502,PAILON,violencia  intrafamiliar,hombres,2005-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
21104,PALOS BLANCOS,violencia  intrafamiliar,hombres,2005-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
20401,PUERTO ACOSTA,violencia  intrafamiliar,hombres,2005-01-01,0,0.0,0,0.0,0,0.0,0,0.0,1,,1,,
90201,PUERTO RICO,violencia  intrafamiliar,hombres,2005-01-01,0,0.0,0,0.0,1,,0,0.0,0,0.0,1,,
31205,PUERTO VILLARROEL,violencia  intrafamiliar,hombres,2005-01-01,0,0.0,0,0.0,0,0.0,1,,0,0.0,1,,
51101,PUNA,violencia  intrafamiliar,hombres,2005-01-01,0,0.0,0,0.0,2,0.0,4,0.0,10,0.0,16,,
31401,PUNATA,violencia  intrafamiliar,hombres,2005-01-01,0,0.0,0,0.0,0,0.0,2,,0,0.0,2,,
41401,SANTIAGO DE HUARI,violencia  intrafamiliar,hombres,2005-01-01,0,0.0,0,0.0,1,,0,0.0,0,0.0,1,,
