codigo_municipio,municipio,grupo,variable,mes,TOTAL
10701,CAMARGO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-01-01,71
10901,CAMATAQUI (C. VILLA ABECIA),eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-01-01,61
10304,ICLA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-01-01,185
10903,LAS CARRERAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-01-01,281
10702,SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-01-01,65
20803,TIAWANACU,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-01-01,1
50102,TINGUIPAYA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-01-01,2
10402,TOMINA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-01-01,4
10704,VILLA CHARCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-01-01,257
10301,ZUDAÑEZ,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-01-01,220
10404,ALCALA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,565
21304,CALAMARCA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,102
20302,CAQUIAVIRI,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,737
20304,COMANCHE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,86
20301,CORO CORO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,153
20806,JESUS DE MACHACA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,1159
10501,MONTEAGUDO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,81
20307,NAZACARA DE PACAJES,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,21
50403,POCOATA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,1
21901,SANTIAGO DE MACHACA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,51
10403,SOPACHUY,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,7
10101,SUCRE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,6
20807,TARACO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,2
10704,VILLA CHARCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,125
10801,VILLA SERRANO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,3
51501,VILLAZON,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,205
10102,YOTALA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,61
10301,ZUDAÑEZ,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,197
10404,ALCALA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-03-01,1
30601,ARQUE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-03-01,92
50301,BETANZOS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-03-01,26
51102,"CAIZA ""D""",eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-03-01,157
10901,CAMATAQUI (C. VILLA ABECIA),eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-03-01,141
10103,POROMA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-03-01,52
10702,SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-03-01,145
10601,TARABUCO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-03-01,142
80101,TRINIDAD,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-03-01,1
50301,BETANZOS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-04-01,174
51103,CKOCHAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-04-01,35
51501,VILLAZON,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-04-01,43
10103,POROMA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-05-01,31
10702,SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-05-01,75
40401,CURAHUARA DE CARANGAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-06-01,1
70805,PUCARA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-06-01,1
50802,ATOCHA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-07-01,4
71301,COMARAPA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-07-01,169
40401,CURAHUARA DE CARANGAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-07-01,30
70701,LAGUNILLAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-07-01,501
70903,MAIRANA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-07-01,181
70803,MORO MORO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-07-01,1
70902,PAMPA GRANDE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-07-01,150
70805,PUCARA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-07-01,3
21002,QUIME,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-07-01,2
41301,TOTORA(ORR),eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-07-01,1
70802,TRIGAL,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-07-01,51
10404,ALCALA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-08-01,1
30402,ANZALDO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-08-01,1
51102,"CAIZA ""D""",eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-08-01,1
10304,ICLA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-08-01,33
20806,JESUS DE MACHACA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-08-01,1
70902,PAMPA GRANDE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-08-01,81
31202,POJO (CBBA),eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-08-01,1
10202,TARVITA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-08-01,1
50102,TINGUIPAYA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-08-01,163
70802,TRIGAL,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-08-01,51
70801,VALLEGRANDE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-08-01,1
31302,VILA VILA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-08-01,501
10701,CAMARGO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-09-01,37
70701,LAGUNILLAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-09-01,206
10501,MONTEAGUDO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-09-01,90
10401,PADILLA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-09-01,223
70902,PAMPA GRANDE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-09-01,102
70805,PUCARA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-09-01,2
10403,SOPACHUY,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-09-01,108
60101,TARIJA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-09-01,102
10202,TARVITA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-09-01,1
10402,TOMINA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-09-01,107
10301,ZUDAÑEZ,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-09-01,53
20201,ACHACACHI,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-10-01,101
31303,ALALAY,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-10-01,31
10701,CAMARGO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-10-01,455
60302,CARAPARI,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-10-01,19
70805,PUCARA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-10-01,1
10702,SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-10-01,26
51501,VILLAZON,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-10-01,9
10301,ZUDAÑEZ,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-10-01,236
20201,ACHACACHI,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-11-01,16
51103,CKOCHAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-11-01,103
10304,ICLA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-11-01,39
10303,MOJOCOYA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-11-01,54
10702,SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-11-01,41
41301,TOTORA(ORR),eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-11-01,6
50602,VITICHI,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-11-01,34
30601,ARQUE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-12-01,71
50901,"COLCHA ""K""",eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-12-01,10
50601,COTAGAITA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-12-01,101
10902,CULPINA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-12-01,21
10702,SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-12-01,1731
10101,SUCRE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-12-01,1
50102,TINGUIPAYA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-12-01,201
51501,VILLAZON,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-12-01,373
