codigo_municipio,municipio,grupo,variable,mes,número de eventos,número de afectados,número de fallecidos,total
70101,SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,riada,2011-01-01,0,0,0,0
30401,TARATA,registro de eventos de notificacion inmediata,riada,2011-01-01,1,0,0,1
60101,TARIJA,registro de eventos de notificacion inmediata,riada,2011-01-01,1,15,1,17
10202,TARVITA,registro de eventos de notificacion inmediata,riada,2011-01-01,1,47,28,76
51501,VILLAZON,registro de eventos de notificacion inmediata,riada,2011-01-01,1,37,0,38
60202,BERMEJO,registro de eventos de notificacion inmediata,riada,2011-02-01,2,2,0,4
50301,BETANZOS,registro de eventos de notificacion inmediata,riada,2011-02-01,1,15,0,16
20501,CHUMA,registro de eventos de notificacion inmediata,riada,2011-02-01,1,0,0,1
21401,COROICO,registro de eventos de notificacion inmediata,riada,2011-02-01,1,0,0,1
10304,ICLA,registro de eventos de notificacion inmediata,riada,2011-02-01,1,20,0,21
21001,INQUISIVI,registro de eventos de notificacion inmediata,riada,2011-02-01,1,0,0,1
20103,MECAPACA,registro de eventos de notificacion inmediata,riada,2011-02-01,1,40,0,41
10501,MONTEAGUDO,registro de eventos de notificacion inmediata,riada,2011-02-01,1,1,1,3
60201,PADCAYA,registro de eventos de notificacion inmediata,riada,2011-02-01,2,19,1,22
21002,QUIME,registro de eventos de notificacion inmediata,riada,2011-02-01,1,137,0,138
80304,RURRENABAQUE,registro de eventos de notificacion inmediata,riada,2011-02-01,1,200,0,201
31001,SACABA,registro de eventos de notificacion inmediata,riada,2011-02-01,1,1,1,3
70101,SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,riada,2011-02-01,0,0,0,0
31003,VILLA TUNARI,registro de eventos de notificacion inmediata,riada,2011-02-01,1,0,0,1
51501,VILLAZON,registro de eventos de notificacion inmediata,riada,2011-02-01,1,1,0,2
70101,SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,riada,2011-03-01,0,0,0,0
50102,TINGUIPAYA,registro de eventos de notificacion inmediata,riada,2011-03-01,2,2,0,4
70101,SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,riada,2011-04-01,0,0,0,0
70101,SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,riada,2011-05-01,0,0,0,0
70101,SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,riada,2011-06-01,0,0,0,0
70101,SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,riada,2011-07-01,0,0,0,0
70101,SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,riada,2011-08-01,0,0,0,0
70101,SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,riada,2011-09-01,0,0,0,0
70101,SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,riada,2011-10-01,0,0,0,0
70101,SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,riada,2011-11-01,0,0,0,0
70702,CHARAGUA,registro de eventos de notificacion inmediata,riada,2011-12-01,1,4,2,7
60502,EL PUENTE(TJA),registro de eventos de notificacion inmediata,riada,2011-12-01,1,0,0,1
21005,ICHOCA,registro de eventos de notificacion inmediata,riada,2011-12-01,4,19,0,23
70101,SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,riada,2011-12-01,0,0,0,0
