codigo_municipio,municipio,grupo,variable,mes,hombres total,mujeres total,hombres total.1,mujeres total.1,total
20201,ACHACACHI,violencia intrafamiliar,violencia contra la mujer,2003-01-01,3,0,3,0,3
30201,AIQUILE,violencia intrafamiliar,violencia contra la mujer,2003-01-01,2,0,2,0,2
20202,ANCORAIMES,violencia intrafamiliar,violencia contra la mujer,2003-01-01,1,0,1,0,1
20701,APOLO,violencia intrafamiliar,violencia contra la mujer,2003-01-01,3,0,3,0,3
71501,ASCENCION DE GUARAYOS,violencia intrafamiliar,violencia contra la mujer,2003-01-01,1,0,1,0,1
20503,AUCAPATA,violencia intrafamiliar,violencia contra la mujer,2003-01-01,1,0,1,0,1
60202,BERMEJO,violencia intrafamiliar,violencia contra la mujer,2003-01-01,3,0,3,0,3
70703,CABEZAS,violencia intrafamiliar,violencia contra la mujer,2003-01-01,1,0,1,0,1
20905,CAIROMA,violencia intrafamiliar,violencia contra la mujer,2003-01-01,1,0,1,0,1
21003,CAJUATA,violencia intrafamiliar,violencia contra la mujer,2003-01-01,1,0,1,0,1
10701,CAMARGO,violencia intrafamiliar,violencia contra la mujer,2003-01-01,4,0,4,0,4
70706,CAMIRI,violencia intrafamiliar,violencia contra la mujer,2003-01-01,2,0,2,0,2
22001,CARANAVI,violencia intrafamiliar,violencia contra la mujer,2003-01-01,1,0,1,0,1
40201,CHALLAPATA,violencia intrafamiliar,violencia contra la mujer,2003-01-01,18,0,18,0,18
50202,CHAYANTA,violencia intrafamiliar,violencia contra la mujer,2003-01-01,3,0,3,0,3
31204,CHIMORE,violencia intrafamiliar,violencia contra la mujer,2003-01-01,1,0,1,0,1
40302,CHOQUE COTA,violencia intrafamiliar,violencia contra la mujer,2003-01-01,1,0,1,0,1
20501,CHUMA,violencia intrafamiliar,violencia contra la mujer,2003-01-01,2,0,2,0,2
30101,COCHABAMBA,violencia intrafamiliar,violencia contra la mujer,2003-01-01,16,0,16,0,16
21307,COLLANA,violencia intrafamiliar,violencia contra la mujer,2003-01-01,1,0,1,0,1
31002,COLOMI,violencia intrafamiliar,violencia contra la mujer,2003-01-01,3,0,3,0,3
21401,COROICO,violencia intrafamiliar,violencia contra la mujer,2003-01-01,4,0,4,0,4
