codigo_municipio,municipio,grupo,variable,mes,hombres total,mujeres total,hombres total.1,mujeres total.1,total
80802,BAURES,violencia intrafamiliar,violencia contra la nina,2003-01-01,1,0,1,0,1
10701,CAMARGO,violencia intrafamiliar,violencia contra la nina,2003-01-01,3,0,3,0,3
70706,CAMIRI,violencia intrafamiliar,violencia contra la nina,2003-01-01,10,0,10,0,10
30101,COCHABAMBA,violencia intrafamiliar,violencia contra la nina,2003-01-01,1,0,1,0,1
21701,COPACABANA,violencia intrafamiliar,violencia contra la nina,2003-01-01,1,0,1,0,1
20105,EL ALTO,violencia intrafamiliar,violencia contra la nina,2003-01-01,9,0,9,0,9
41101,EUCALIPTUS,violencia intrafamiliar,violencia contra la nina,2003-01-01,1,0,1,0,1
20602,GUANAY,violencia intrafamiliar,violencia contra la nina,2003-01-01,1,0,1,0,1
40701,HUANUNI,violencia intrafamiliar,violencia contra la nina,2003-01-01,1,0,1,0,1
20101,LA PAZ,violencia intrafamiliar,violencia contra la nina,2003-01-01,3,0,3,0,3
50203,LLALLAGUA,violencia intrafamiliar,violencia contra la nina,2003-01-01,1,0,1,0,1
71001,MONTERO,violencia intrafamiliar,violencia contra la nina,2003-01-01,5,0,5,0,5
31205,PUERTO VILLARROEL,violencia intrafamiliar,violencia contra la nina,2003-01-01,7,0,7,0,7
30901,QUILLACOLLO,violencia intrafamiliar,violencia contra la nina,2003-01-01,1,0,1,0,1
71302,SAIPINA,violencia intrafamiliar,violencia contra la nina,2003-01-01,1,0,1,0,1
70301,SAN IGNACIO DE VELASCO,violencia intrafamiliar,violencia contra la nina,2003-01-01,1,0,1,0,1
30902,SIPE SIPE,violencia intrafamiliar,violencia contra la nina,2003-01-01,2,0,2,0,2
20601,SORATA,violencia intrafamiliar,violencia contra la nina,2003-01-01,1,0,1,0,1
30401,TARATA,violencia intrafamiliar,violencia contra la nina,2003-01-01,1,0,1,0,1
60101,TARIJA,violencia intrafamiliar,violencia contra la nina,2003-01-01,1,0,1,0,1
30903,TIQUIPAYA,violencia intrafamiliar,violencia contra la nina,2003-01-01,3,0,3,0,3
51201,UYUNI,violencia intrafamiliar,violencia contra la nina,2003-01-01,17,0,17,0,17
20801,VIACHA,violencia intrafamiliar,violencia contra la nina,2003-01-01,2,0,2,0,2
60303,VILLA MONTES,violencia intrafamiliar,violencia contra la nina,2003-01-01,2,0,2,0,2
