codigo_municipio,municipio,grupo,variable,mes,dentro_masculino,dentro-1_femenino,fuera_masculino,fuera-1_femenino,totales_total-m,totales-1_total-f,totales-2_total
21203,BATALLAS,mortalidad,muerte rn menor de 7 dias,2013-01-01,0,0,0,1,0,1,1
90101,COBIJA,mortalidad,muerte rn menor de 7 dias,2013-01-01,1,0,0,0,1,0,1
30101,COCHABAMBA,mortalidad,muerte rn menor de 7 dias,2013-01-01,2,10,0,0,2,10,12
70102,COTOCA,mortalidad,muerte rn menor de 7 dias,2013-01-01,0,0,2,0,2,0,2
20105,EL ALTO,mortalidad,muerte rn menor de 7 dias,2013-01-01,5,2,2,0,7,2,9
80202,GUAYARAMERIN,mortalidad,muerte rn menor de 7 dias,2013-01-01,1,1,0,0,1,1,2
70705,GUTIERREZ,mortalidad,muerte rn menor de 7 dias,2013-01-01,0,0,1,0,1,0,1
70104,LA GUARDIA,mortalidad,muerte rn menor de 7 dias,2013-01-01,0,1,0,0,0,1,1
20101,LA PAZ,mortalidad,muerte rn menor de 7 dias,2013-01-01,16,5,4,0,20,5,25
50203,LLALLAGUA,mortalidad,muerte rn menor de 7 dias,2013-01-01,0,0,1,2,1,2,3
11003,MACHARETI,mortalidad,muerte rn menor de 7 dias,2013-01-01,0,0,0,1,0,1,1
40101,ORURO,mortalidad,muerte rn menor de 7 dias,2013-01-01,2,1,0,0,2,1,3
50101,POTOSI,mortalidad,muerte rn menor de 7 dias,2013-01-01,1,15,0,0,1,15,16
31205,PUERTO VILLARROEL,mortalidad,muerte rn menor de 7 dias,2013-01-01,1,0,2,1,3,1,4
51101,PUNA,mortalidad,muerte rn menor de 7 dias,2013-01-01,1,0,0,0,1,0,1
31401,PUNATA,mortalidad,muerte rn menor de 7 dias,2013-01-01,0,0,0,1,0,1,1
20604,QUIABAYA,mortalidad,muerte rn menor de 7 dias,2013-01-01,0,0,1,0,1,0,1
80201,RIBERALTA,mortalidad,muerte rn menor de 7 dias,2013-01-01,0,1,0,0,0,1,1
70503,ROBORE,mortalidad,muerte rn menor de 7 dias,2013-01-01,1,0,0,0,1,0,1
50701,SACACA,mortalidad,muerte rn menor de 7 dias,2013-01-01,0,0,0,2,0,2,2
80302,SAN BORJA,mortalidad,muerte rn menor de 7 dias,2013-01-01,1,1,0,0,1,1,2
21502,SAN BUENA VENTURA,mortalidad,muerte rn menor de 7 dias,2013-01-01,1,0,0,0,1,0,1
70101,SANTA CRUZ DE LA SIERRA,mortalidad,muerte rn menor de 7 dias,2013-01-01,12,5,0,0,12,5,17
80303,SANTA ROSA,mortalidad,muerte rn menor de 7 dias,2013-01-01,0,2,0,0,0,2,2
10101,SUCRE,mortalidad,muerte rn menor de 7 dias,2013-01-01,2,1,0,0,2,1,3
80101,TRINIDAD,mortalidad,muerte rn menor de 7 dias,2013-01-01,0,1,0,0,0,1,1
50201,UNCIA,mortalidad,muerte rn menor de 7 dias,2013-01-01,0,0,0,1,0,1,1
51201,UYUNI,mortalidad,muerte rn menor de 7 dias,2013-01-01,1,0,0,0,1,0,1
60303,VILLA MONTES,mortalidad,muerte rn menor de 7 dias,2013-01-01,1,1,0,0,1,1,2
31003,VILLA TUNARI,mortalidad,muerte rn menor de 7 dias,2013-01-01,2,1,1,0,3,1,4
51501,VILLAZON,mortalidad,muerte rn menor de 7 dias,2013-01-01,0,0,0,2,0,2,2
70201,WARNES,mortalidad,muerte rn menor de 7 dias,2013-01-01,1,0,0,0,1,0,1
10602,YAMPARAEZ,mortalidad,muerte rn menor de 7 dias,2013-01-01,0,0,0,1,0,1,1
60302,CARAPARI,mortalidad,muerte rn menor de 7 dias,2013-02-01,0,0,0,1,0,1,1
40201,CHALLAPATA,mortalidad,muerte rn menor de 7 dias,2013-02-01,0,1,1,0,1,1,2
70702,CHARAGUA,mortalidad,muerte rn menor de 7 dias,2013-02-01,1,0,0,0,1,0,1
30101,COCHABAMBA,mortalidad,muerte rn menor de 7 dias,2013-02-01,2,2,0,1,2,3,5
50401,COLQUECHACA,mortalidad,muerte rn menor de 7 dias,2013-02-01,0,0,0,1,0,1,1
