codigo_municipio,municipio,grupo,variable,mes,dentro_masculino,dentro-1_femenino,fuera_masculino,fuera-1_femenino,totales_total-m,totales-1_total-f,totales-2_total
51301,ARAMPAMPA,mortalidad,muerte menor de 1 ano,2011-01-01,0,0,1,0,1,0,1
10201,AZURDUY,mortalidad,muerte menor de 1 ano,2011-01-01,0,0,0,1,0,1,1
60202,BERMEJO,mortalidad,muerte menor de 1 ano,2011-01-01,0,2,0,0,0,2,2
50301,BETANZOS,mortalidad,muerte menor de 1 ano,2011-01-01,0,0,0,1,0,1,1
40102,CARACOLLO,mortalidad,muerte menor de 1 ano,2011-01-01,0,0,0,1,0,1,1
22001,CARANAVI,mortalidad,muerte menor de 1 ano,2011-01-01,0,1,0,0,0,1,1
20305,CHARAÑA,mortalidad,muerte menor de 1 ano,2011-01-01,0,0,1,0,1,0,1
90101,COBIJA,mortalidad,muerte menor de 1 ano,2011-01-01,0,2,0,0,0,2,2
30101,COCHABAMBA,mortalidad,muerte menor de 1 ano,2011-01-01,3,2,0,0,3,2,5
50401,COLQUECHACA,mortalidad,muerte menor de 1 ano,2011-01-01,0,0,2,0,2,0,2
71101,CONCEPCION,mortalidad,muerte menor de 1 ano,2011-01-01,0,0,1,0,1,0,1
21401,COROICO,mortalidad,muerte menor de 1 ano,2011-01-01,1,0,0,0,1,0,1
20105,EL ALTO,mortalidad,muerte menor de 1 ano,2011-01-01,4,6,2,4,6,10,16
70105,EL TORNO,mortalidad,muerte menor de 1 ano,2011-01-01,0,0,0,1,0,1,1
40701,HUANUNI,mortalidad,muerte menor de 1 ano,2011-01-01,0,0,2,1,2,1,3
20101,LA PAZ,mortalidad,muerte menor de 1 ano,2011-01-01,14,6,2,2,16,8,24
70701,LAGUNILLAS,mortalidad,muerte menor de 1 ano,2011-01-01,0,0,0,1,0,1,1
50203,LLALLAGUA,mortalidad,muerte menor de 1 ano,2011-01-01,0,0,1,0,1,0,1
