codigo_municipio,municipio,grupo,variable,mes,dentro_masculino,dentro-1_femenino,fuera_masculino,fuera-1_femenino,totales_total-m,totales-1_total-f,totales-2_total
20701,APOLO,mortalidad,muerte menor de 1 ano,2012-01-01,0,1,0,0,0,1,1
20503,AUCAPATA,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,0,1,0,1,1
21303,AYO AYO,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,1,2,1,2,3
21304,CALAMARCA,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,1,0,1,0,1
22001,CARANAVI,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,0,1,0,1,1
50702,CARIPUYO,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,1,2,1,2,3
90101,COBIJA,mortalidad,muerte menor de 1 ano,2012-01-01,1,1,0,0,1,1,2
30101,COCHABAMBA,mortalidad,muerte menor de 1 ano,2012-01-01,2,9,0,0,2,9,11
50901,"COLCHA ""K""",mortalidad,muerte menor de 1 ano,2012-01-01,0,0,1,0,1,0,1
50401,COLQUECHACA,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,0,2,0,2,2
21306,COLQUENCHA,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,0,1,0,1,1
70102,COTOCA,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,1,0,1,0,1
71106,CUATRO CAÑADAS,mortalidad,muerte menor de 1 ano,2012-01-01,1,0,0,0,1,0,1
20105,EL ALTO,mortalidad,muerte menor de 1 ano,2012-01-01,5,5,3,4,8,9,17
20602,GUANAY,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,1,0,1,0,1
80202,GUAYARAMERIN,mortalidad,muerte menor de 1 ano,2012-01-01,1,0,0,0,1,0,1
70705,GUTIERREZ,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,0,1,0,1,1
40701,HUANUNI,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,0,1,0,1,1
21001,INQUISIVI,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,2,0,2,0,2
20101,LA PAZ,mortalidad,muerte menor de 1 ano,2012-01-01,15,12,2,2,17,14,31
