codigo_municipio,municipio,grupo,variable,mes,total
22001,CARANAVI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-01-01,160.0
50204,CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-01-01,6.0
10502,HUACARETA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-01-01,3.0
31205,PUERTO VILLARROEL,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-01-01,8.0
10101,SUCRE,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-01-01,2.0
21103,YANACACHI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-01-01,1.0
20503,AUCAPATA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-02-01,1.0
22001,CARANAVI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-02-01,5.0
50702,CARIPUYO,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-02-01,1.0
50204,CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-02-01,2.0
30101,COCHABAMBA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-02-01,22.0
20101,LA PAZ,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-02-01,1.0
40101,ORURO,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-02-01,22.0
21103,YANACACHI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-02-01,1.0
20502,AYATA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-03-01,1.0
10701,CAMARGO,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-03-01,1.0
70706,CAMIRI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-03-01,4.0
10501,MONTEAGUDO,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-03-01,629.0
20603,TACACOMA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-03-01,1.0
20502,AYATA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-04-01,2.0
21101,CHULUMANI (V. DE LA LIBERTAD),eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-04-01,1.0
50204,CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-04-01,3.0
20101,LA PAZ,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-04-01,26.0
70701,LAGUNILLAS,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-04-01,71.0
11001,VILLA VACA GUZMAN (MUYUPAMPA),eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-04-01,11.0
20502,AYATA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-09-01,3.0
50204,CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-11-01,5.0
50204,CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-12-01,6.0
21103,YANACACHI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2019-12-01,1.0
