codigo_municipio,municipio,grupo,variable,mes,hombres menores a 2 años,mujeres menores a 2 años,hombres de 2 a 4 años,mujeres de 2 a 4 años,hombres total,mujeres total,total
51302,ACACIO,desnutricion global,desnutricion grave (g),2006-01-01,1,1,1,0,2,1,3
20201,ACHACACHI,desnutricion global,desnutricion grave (g),2006-01-01,0,1,0,1,0,2,2
30201,AIQUILE,desnutricion global,desnutricion grave (g),2006-01-01,2,1,0,3,2,4,6
31303,ALALAY,desnutricion global,desnutricion grave (g),2006-01-01,0,0,0,2,0,2,2
10404,ALCALA,desnutricion global,desnutricion grave (g),2006-01-01,0,0,0,3,0,3,3
20202,ANCORAIMES,desnutricion global,desnutricion grave (g),2006-01-01,1,0,0,1,1,1,2
41201,ANDAMARCA,desnutricion global,desnutricion grave (g),2006-01-01,0,1,0,0,0,1,1
30402,ANZALDO,desnutricion global,desnutricion grave (g),2006-01-01,0,0,0,1,0,1,1
20701,APOLO,desnutricion global,desnutricion grave (g),2006-01-01,0,1,0,0,0,1,1
51301,ARAMPAMPA,desnutricion global,desnutricion grave (g),2006-01-01,0,0,6,6,6,6,12
30601,ARQUE,desnutricion global,desnutricion grave (g),2006-01-01,0,2,1,2,1,4,5
50802,ATOCHA,desnutricion global,desnutricion grave (g),2006-01-01,0,1,2,0,2,1,3
20503,AUCAPATA,desnutricion global,desnutricion grave (g),2006-01-01,0,2,2,0,2,2,4
20502,AYATA,desnutricion global,desnutricion grave (g),2006-01-01,1,2,0,0,1,2,3
30301,AYOPAYA (V. DE INDEPENDENCIA),desnutricion global,desnutricion grave (g),2006-01-01,1,1,0,1,1,2,3
10201,AZURDUY,desnutricion global,desnutricion grave (g),2006-01-01,2,4,0,0,2,4,6
50301,BETANZOS,desnutricion global,desnutricion grave (g),2006-01-01,6,6,4,1,10,7,17
31501,BOLIVAR,desnutricion global,desnutricion grave (g),2006-01-01,4,3,1,2,5,5,10
70703,CABEZAS,desnutricion global,desnutricion grave (g),2006-01-01,2,0,0,0,2,0,2
20905,CAIROMA,desnutricion global,desnutricion grave (g),2006-01-01,0,0,1,0,1,0,1
