codigo_municipio,municipio,grupo,variable,mes,hombres de 1 año,mujeres de 1 año,hombres de 1 a 2 años,mujeres de 1 a 2 años,hombres de 2 a 5 años,mujeres de 2 a 5 años,hombres total,mujeres total,total
50901,"COLCHA ""K""",talla para la edad (t/e),talla normal (t n),2008-01-01,5,3,1,6,16,4,22,13,35
21307,COLLANA,talla para la edad (t/e),talla normal (t n),2008-01-01,8,12,7,8,9,7,24,27,51
31002,COLOMI,talla para la edad (t/e),talla normal (t n),2008-01-01,101,95,40,24,38,39,179,158,337
21306,COLQUENCHA,talla para la edad (t/e),talla normal (t n),2008-01-01,21,21,24,15,26,23,71,59,130
21004,COLQUIRI,talla para la edad (t/e),talla normal (t n),2008-01-01,99,99,47,51,56,68,202,218,420
21701,COPACABANA,talla para la edad (t/e),talla normal (t n),2008-01-01,37,41,20,11,37,39,94,91,185
21402,CORIPATA,talla para la edad (t/e),talla normal (t n),2008-01-01,2,4,1,3,0,3,3,10,13
20301,CORO CORO,talla para la edad (t/e),talla normal (t n),2008-01-01,17,11,4,4,6,7,27,22,49
21401,COROICO,talla para la edad (t/e),talla normal (t n),2008-01-01,36,23,16,21,28,31,80,75,155
40301,CORQUE,talla para la edad (t/e),talla normal (t n),2008-01-01,12,11,8,7,12,10,32,28,60
50601,COTAGAITA,talla para la edad (t/e),talla normal (t n),2008-01-01,2,5,7,8,10,10,19,23,42
40401,CURAHUARA DE CARANGAS,talla para la edad (t/e),talla normal (t n),2008-01-01,32,23,14,25,8,18,54,66,120
21602,CURVA,talla para la edad (t/e),talla normal (t n),2008-01-01,18,10,7,7,13,11,38,28,66
20804,DESAGUADERO,talla para la edad (t/e),talla normal (t n),2008-01-01,30,20,15,14,14,12,59,46,105
20105,EL ALTO,talla para la edad (t/e),talla normal (t n),2008-01-01,1762,1735,1045,945,1059,1019,3866,3699,7565
40103,EL CHORO,talla para la edad (t/e),talla normal (t n),2008-01-01,29,21,19,13,36,38,84,72,156
60502,EL PUENTE(TJA),talla para la edad (t/e),talla normal (t n),2008-01-01,3,3,7,8,19,12,29,23,52
60601,ENTRE RIOS,talla para la edad (t/e),talla normal (t n),2008-01-01,68,53,47,57,67,88,182,198,380
40502,ESCARA,talla para la edad (t/e),talla normal (t n),2008-01-01,0,0,0,0,0,2,0,2,2
41101,EUCALIPTUS,talla para la edad (t/e),talla normal (t n),2008-01-01,26,25,24,18,33,20,83,63,146
21601,GRAL. J.J. PEREZ (CHARAZANI),talla para la edad (t/e),talla normal (t n),2008-01-01,49,57,21,21,49,44,119,122,241
20802,GUAQUI,talla para la edad (t/e),talla normal (t n),2008-01-01,9,16,14,2,8,10,31,28,59
70705,GUTIERREZ,talla para la edad (t/e),talla normal (t n),2008-01-01,0,0,29,16,23,34,52,50,102
40501,HUACHACALLA,talla para la edad (t/e),talla normal (t n),2008-01-01,5,1,2,0,3,1,10,2,12
40701,HUANUNI,talla para la edad (t/e),talla normal (t n),2008-01-01,17,28,9,8,1,1,27,37,64
80803,HUARACAJE,talla para la edad (t/e),talla normal (t n),2008-01-01,15,29,22,9,34,28,71,66,137
41601,HUAYLLAMARCA,talla para la edad (t/e),talla normal (t n),2008-01-01,28,22,19,18,19,23,66,63,129
21005,ICHOCA,talla para la edad (t/e),talla normal (t n),2008-01-01,6,20,6,17,17,12,29,49,78
10304,ICLA,talla para la edad (t/e),talla normal (t n),2008-01-01,50,66,50,54,126,118,226,238,464
10703,INCAHUASI,talla para la edad (t/e),talla normal (t n),2008-01-01,4,4,2,6,6,6,12,16,28
21001,INQUISIVI,talla para la edad (t/e),talla normal (t n),2008-01-01,34,27,24,20,29,24,87,71,158
21102,IRUPANA (VILLA DE LANZA),talla para la edad (t/e),talla normal (t n),2008-01-01,0,0,0,0,1,2,1,2,3
21501,IXIAMAS,talla para la edad (t/e),talla normal (t n),2008-01-01,26,24,9,11,17,13,52,48,100
20806,JESUS DE MACHACA,talla para la edad (t/e),talla normal (t n),2008-01-01,32,42,33,38,62,48,127,128,255
20101,LA PAZ,talla para la edad (t/e),talla normal (t n),2008-01-01,531,494,191,236,282,265,1004,995,1999
21202,LAJA,talla para la edad (t/e),talla normal (t n),2008-01-01,20,17,11,13,20,11,51,41,92
10903,LAS CARRERAS,talla para la edad (t/e),talla normal (t n),2008-01-01,5,3,5,1,8,3,18,7,25
21006,LICOMA PAMPA,talla para la edad (t/e),talla normal (t n),2008-01-01,17,22,9,24,14,22,40,68,108
50203,LLALLAGUA,talla para la edad (t/e),talla normal (t n),2008-01-01,1,3,0,0,0,0,1,3,4
51401,LLICA,talla para la edad (t/e),talla normal (t n),2008-01-01,2,7,8,4,12,6,22,17,39
80601,LORETO,talla para la edad (t/e),talla normal (t n),2008-01-01,0,1,0,0,0,0,0,1,1
20901,LURIBAY,talla para la edad (t/e),talla normal (t n),2008-01-01,0,0,10,4,4,8,14,12,26
40702,MACHACAMARCA,talla para la edad (t/e),talla normal (t n),2008-01-01,26,37,19,22,13,20,58,79,137
80801,MAGDALENA,talla para la edad (t/e),talla normal (t n),2008-01-01,55,61,27,28,38,36,120,125,245
31301,MIZQUE,talla para la edad (t/e),talla normal (t n),2008-01-01,6,5,4,2,14,8,24,15,39
51002,MOJINETE,talla para la edad (t/e),talla normal (t n),2008-01-01,3,3,1,2,1,3,5,8,13
70803,MORO MORO,talla para la edad (t/e),talla normal (t n),2008-01-01,13,11,10,12,12,11,35,34,69
30302,MOROCHATA,talla para la edad (t/e),talla normal (t n),2008-01-01,14,22,12,9,12,6,38,37,75
50404,OCURI,talla para la edad (t/e),talla normal (t n),2008-01-01,2,0,2,1,0,0,4,1,5
40101,ORURO,talla para la edad (t/e),talla normal (t n),2008-01-01,526,511,228,225,223,211,977,947,1924
60201,PADCAYA,talla para la edad (t/e),talla normal (t n),2008-01-01,24,16,16,13,22,21,62,50,112
10401,PADILLA,talla para la edad (t/e),talla normal (t n),2008-01-01,0,6,6,8,15,17,21,31,52
40802,PAMPA AULLAGAS,talla para la edad (t/e),talla normal (t n),2008-01-01,12,12,12,8,11,21,35,41,76
70902,PAMPA GRANDE,talla para la edad (t/e),talla normal (t n),2008-01-01,0,3,0,0,8,4,8,7,15
40602,PAZÑA,talla para la edad (t/e),talla normal (t n),2008-01-01,23,15,4,6,9,8,36,29,65
20702,PELECHUCO,talla para la edad (t/e),talla normal (t n),2008-01-01,7,7,4,4,6,4,17,15,32
50403,POCOATA,talla para la edad (t/e),talla normal (t n),2008-01-01,2,0,10,15,12,11,24,26,50
31203,POCONA,talla para la edad (t/e),talla normal (t n),2008-01-01,6,6,5,4,10,10,21,20,41
40601,POOPO,talla para la edad (t/e),talla normal (t n),2008-01-01,5,12,0,1,3,4,8,17,25
10103,POROMA,talla para la edad (t/e),talla normal (t n),2008-01-01,22,22,10,17,27,27,59,66,125
70601,PORTACHUELO,talla para la edad (t/e),talla normal (t n),2008-01-01,99,89,54,56,100,89,253,234,487
50101,POTOSI,talla para la edad (t/e),talla normal (t n),2008-01-01,33,48,20,35,43,42,96,125,221
70805,PUCARA,talla para la edad (t/e),talla normal (t n),2008-01-01,6,0,0,0,4,0,10,0,10
21201,PUCARANI,talla para la edad (t/e),talla normal (t n),2008-01-01,20,11,1,0,5,3,26,14,40
20403,PUERTO CARABUCO,talla para la edad (t/e),talla normal (t n),2008-01-01,60,39,24,24,57,50,141,113,254
31205,PUERTO VILLARROEL,talla para la edad (t/e),talla normal (t n),2008-01-01,616,186,162,146,95,101,873,433,1306
31401,PUNATA,talla para la edad (t/e),talla normal (t n),2008-01-01,6,4,3,2,8,5,17,11,28
30901,QUILLACOLLO,talla para la edad (t/e),talla normal (t n),2008-01-01,68,45,32,20,27,19,127,84,211
21002,QUIME,talla para la edad (t/e),talla normal (t n),2008-01-01,50,41,24,28,37,40,111,109,220
80201,RIBERALTA,talla para la edad (t/e),talla normal (t n),2008-01-01,103,79,52,53,42,25,197,157,354
80304,RURRENABAQUE,talla para la edad (t/e),talla normal (t n),2008-01-01,4,7,0,0,0,0,4,7,11
40901,SABAYA,talla para la edad (t/e),talla normal (t n),2008-01-01,1,0,1,0,2,0,4,0,4
31001,SACABA,talla para la edad (t/e),talla normal (t n),2008-01-01,62,64,40,29,59,39,161,132,293
30404,SACABAMBA,talla para la edad (t/e),talla normal (t n),2008-01-01,5,4,4,0,11,3,20,7,27
50701,SACACA,talla para la edad (t/e),talla normal (t n),2008-01-01,14,14,15,25,43,32,72,71,143
40801,SALINAS DE GARCI MENDOZA,talla para la edad (t/e),talla normal (t n),2008-01-01,15,14,16,11,13,10,44,35,79
51003,SAN ANTONIO DE ESMORUCO,talla para la edad (t/e),talla normal (t n),2008-01-01,4,2,4,6,4,3,12,11,23
80302,SAN BORJA,talla para la edad (t/e),talla normal (t n),2008-01-01,188,200,93,115,139,110,420,425,845
80501,SAN IGNACIO,talla para la edad (t/e),talla normal (t n),2008-01-01,5,5,1,1,0,1,6,7,13
70301,SAN IGNACIO DE VELASCO,talla para la edad (t/e),talla normal (t n),2008-01-01,7,9,8,13,35,23,50,45,95
70501,SAN JOSE DE CHIQUITOS,talla para la edad (t/e),talla normal (t n),2008-01-01,1,0,0,0,0,0,1,0,1
60501,SAN LORENZO(TJA),talla para la edad (t/e),talla normal (t n),2008-01-01,29,22,17,15,17,14,63,51,114
10702,SAN LUCAS,talla para la edad (t/e),talla normal (t n),2008-01-01,9,11,7,10,27,21,43,42,85
70302,SAN MIGUEL DE VELASCO,talla para la edad (t/e),talla normal (t n),2008-01-01,4,10,6,3,2,3,12,16,28
51001,SAN PABLO DE LIPEZ,talla para la edad (t/e),talla normal (t n),2008-01-01,6,3,2,2,5,3,13,8,21
21702,SAN PEDRO DE TIQUINA,talla para la edad (t/e),talla normal (t n),2008-01-01,5,6,4,4,10,12,19,22,41
70303,SAN RAFAEL,talla para la edad (t/e),talla normal (t n),2008-01-01,11,5,2,5,7,8,20,18,38
80401,SANTA ANA,talla para la edad (t/e),talla normal (t n),2008-01-01,4,2,143,156,18,31,165,189,354
70101,SANTA CRUZ DE LA SIERRA,talla para la edad (t/e),talla normal (t n),2008-01-01,0,0,0,0,0,0,0,0,0
41401,SANTIAGO DE HUARI,talla para la edad (t/e),talla normal (t n),2008-01-01,4,3,1,4,2,1,7,8,15
21901,SANTIAGO DE MACHACA,talla para la edad (t/e),talla normal (t n),2008-01-01,9,12,5,6,6,5,20,23,43
20902,SAPAHAQUI,talla para la edad (t/e),talla normal (t n),2008-01-01,7,13,3,9,6,11,16,33,49
40104,SORACACHI,talla para la edad (t/e),talla normal (t n),2008-01-01,38,39,21,20,31,39,90,98,188
10101,SUCRE,talla para la edad (t/e),talla normal (t n),2008-01-01,52,54,29,38,51,49,132,141,273
31404,TACACHI,talla para la edad (t/e),talla normal (t n),2008-01-01,5,2,4,1,1,3,10,6,16
30602,TACOPAYA,talla para la edad (t/e),talla normal (t n),2008-01-01,3,5,2,2,5,0,10,7,17
31101,TAPACARI,talla para la edad (t/e),talla normal (t n),2008-01-01,0,0,9,0,0,0,9,0,9
20807,TARACO,talla para la edad (t/e),talla normal (t n),2008-01-01,13,7,8,13,11,8,32,28,60
30401,TARATA,talla para la edad (t/e),talla normal (t n),2008-01-01,17,11,9,10,5,13,31,34,65
60101,TARIJA,talla para la edad (t/e),talla normal (t n),2008-01-01,0,0,0,0,0,3,0,3,3
10202,TARVITA,talla para la edad (t/e),talla normal (t n),2008-01-01,58,52,34,50,79,47,171,149,320
20803,TIAWANACU,talla para la edad (t/e),talla normal (t n),2008-01-01,50,33,37,26,23,25,110,84,194
50102,TINGUIPAYA,talla para la edad (t/e),talla normal (t n),2008-01-01,8,7,0,2,3,5,11,14,25
30903,TIQUIPAYA,talla para la edad (t/e),talla normal (t n),2008-01-01,1,5,1,0,7,4,9,9,18
31601,TIRAQUE (CBBA),talla para la edad (t/e),talla normal (t n),2008-01-01,86,98,45,49,74,84,205,231,436
21703,TITO YUPANQUI (PARQUIPUJIO),talla para la edad (t/e),talla normal (t n),2008-01-01,2,5,1,6,5,10,8,21,29
30802,TOCO,talla para la edad (t/e),talla normal (t n),2008-01-01,29,16,21,20,28,33,78,69,147
41502,TODOS SANTOS,talla para la edad (t/e),talla normal (t n),2008-01-01,3,1,1,0,2,0,6,1,7
30803,TOLATA,talla para la edad (t/e),talla normal (t n),2008-01-01,0,0,1,0,0,0,1,0,1
41001,TOLEDO,talla para la edad (t/e),talla normal (t n),2008-01-01,4,4,0,0,4,0,8,4,12
50502,TORO TORO,talla para la edad (t/e),talla normal (t n),2008-01-01,20,23,19,132,29,35,68,190,258
31201,TOTORA(CBBA),talla para la edad (t/e),talla normal (t n),2008-01-01,0,0,1,0,0,0,1,0,1
41301,TOTORA(ORR),talla para la edad (t/e),talla normal (t n),2008-01-01,30,18,13,18,32,22,75,58,133
70802,TRIGAL,talla para la edad (t/e),talla normal (t n),2008-01-01,2,1,3,0,12,4,17,5,22
80101,TRINIDAD,talla para la edad (t/e),talla normal (t n),2008-01-01,43,29,14,16,41,21,98,66,164
50801,TUPIZA,talla para la edad (t/e),talla normal (t n),2008-01-01,77,81,54,39,99,97,230,217,447
40402,TURCO,talla para la edad (t/e),talla normal (t n),2008-01-01,4,1,2,3,2,1,8,5,13
51201,UYUNI,talla para la edad (t/e),talla normal (t n),2008-01-01,1,2,2,3,3,5,6,10,16
70801,VALLEGRANDE,talla para la edad (t/e),talla normal (t n),2008-01-01,2,0,2,2,9,3,13,5,18
20801,VIACHA,talla para la edad (t/e),talla normal (t n),2008-01-01,28,24,15,4,10,8,53,36,89
31003,VILLA TUNARI,talla para la edad (t/e),talla normal (t n),2008-01-01,80,95,58,55,72,84,210,234,444
50602,VITICHI,talla para la edad (t/e),talla normal (t n),2008-01-01,6,14,9,4,19,19,34,37,71
20903,YACO,talla para la edad (t/e),talla normal (t n),2008-01-01,0,0,0,2,0,0,0,2,2
60301,YACUIBA,talla para la edad (t/e),talla normal (t n),2008-01-01,57,38,33,35,41,31,131,104,235
10602,YAMPARAEZ,talla para la edad (t/e),talla normal (t n),2008-01-01,35,26,33,32,108,106,176,164,340
21103,YANACACHI,talla para la edad (t/e),talla normal (t n),2008-01-01,0,2,0,0,0,0,0,2,2
70403,YAPACANI,talla para la edad (t/e),talla normal (t n),2008-01-01,1,12,11,7,1,4,13,23,36
60402,YUNCHARA,talla para la edad (t/e),talla normal (t n),2008-01-01,6,6,7,11,17,22,30,39,69
20201,ACHACACHI,talla para la edad (t/e),talla normal (t n),2008-02-01,85,97,35,31,60,66,180,194,374
20104,ACHOCALLA,talla para la edad (t/e),talla normal (t n),2008-02-01,36,29,12,13,18,24,66,66,132
41201,ANDAMARCA,talla para la edad (t/e),talla normal (t n),2008-02-01,15,16,12,3,12,14,39,33,72
40603,ANTEQUERA,talla para la edad (t/e),talla normal (t n),2008-02-01,3,1,2,2,11,16,16,19,35
30402,ANZALDO,talla para la edad (t/e),talla normal (t n),2008-02-01,7,6,8,7,21,14,36,27,63
20701,APOLO,talla para la edad (t/e),talla normal (t n),2008-02-01,103,91,61,50,90,70,254,211,465
30501,ARANI,talla para la edad (t/e),talla normal (t n),2008-02-01,12,6,6,4,16,14,34,24,58
30403,ARBIETO,talla para la edad (t/e),talla normal (t n),2008-02-01,33,33,27,22,16,32,76,87,163
71501,ASCENCION DE GUARAYOS,talla para la edad (t/e),talla normal (t n),2008-02-01,0,0,19,10,0,0,19,10,29
50802,ATOCHA,talla para la edad (t/e),talla normal (t n),2008-02-01,63,63,40,32,59,52,162,147,309
20503,AUCAPATA,talla para la edad (t/e),talla normal (t n),2008-02-01,3,1,3,2,1,7,7,10,17
20502,AYATA,talla para la edad (t/e),talla normal (t n),2008-02-01,36,29,18,22,18,8,72,59,131
30301,AYOPAYA (V. DE INDEPENDENCIA),talla para la edad (t/e),talla normal (t n),2008-02-01,1,1,3,8,8,13,12,22,34
21203,BATALLAS,talla para la edad (t/e),talla normal (t n),2008-02-01,68,54,41,40,69,47,178,141,319
80802,BAURES,talla para la edad (t/e),talla normal (t n),2008-02-01,30,23,20,24,32,41,82,88,170
41202,BELEN DE ANDAMARCA,talla para la edad (t/e),talla normal (t n),2008-02-01,5,3,4,1,1,1,10,5,15
60202,BERMEJO,talla para la edad (t/e),talla normal (t n),2008-02-01,14,13,7,7,3,5,24,25,49
50301,BETANZOS,talla para la edad (t/e),talla normal (t n),2008-02-01,8,6,4,8,19,9,31,23,54
20905,CAIROMA,talla para la edad (t/e),talla normal (t n),2008-02-01,46,55,24,26,64,55,134,136,270
20303,CALACOTO,talla para la edad (t/e),talla normal (t n),2008-02-01,2,0,1,1,0,2,3,3,6
21304,CALAMARCA,talla para la edad (t/e),talla normal (t n),2008-02-01,39,62,41,45,47,37,127,144,271
10701,CAMARGO,talla para la edad (t/e),talla normal (t n),2008-02-01,60,70,54,42,77,76,191,188,379
10901,CAMATAQUI (C. VILLA ABECIA),talla para la edad (t/e),talla normal (t n),2008-02-01,2,6,1,3,4,1,7,10,17
40102,CARACOLLO,talla para la edad (t/e),talla normal (t n),2008-02-01,85,90,33,54,20,19,138,163,301
60302,CARAPARI,talla para la edad (t/e),talla normal (t n),2008-02-01,0,1,2,1,6,5,8,7,15
50702,CARIPUYO,talla para la edad (t/e),talla normal (t n),2008-02-01,25,34,8,28,31,38,64,100,164
71403,CARMEN RIVERO TORREZ,talla para la edad (t/e),talla normal (t n),2008-02-01,0,0,7,7,1,4,8,11,19
21902,CATACORA,talla para la edad (t/e),talla normal (t n),2008-02-01,5,2,5,3,12,6,22,11,33
40201,CHALLAPATA,talla para la edad (t/e),talla normal (t n),2008-02-01,42,32,17,27,42,35,101,94,195
50302,CHAQUI,talla para la edad (t/e),talla normal (t n),2008-02-01,5,9,4,4,10,10,19,23,42
50202,CHAYANTA,talla para la edad (t/e),talla normal (t n),2008-02-01,7,9,8,8,7,9,22,26,48
40903,CHIPAYA,talla para la edad (t/e),talla normal (t n),2008-02-01,2,1,0,0,0,0,2,1,3
40302,CHOQUE COTA,talla para la edad (t/e),talla normal (t n),2008-02-01,1,1,4,2,1,0,6,3,9
21101,CHULUMANI (V. DE LA LIBERTAD),talla para la edad (t/e),talla normal (t n),2008-02-01,3,2,9,11,12,7,24,20,44
20501,CHUMA,talla para la edad (t/e),talla normal (t n),2008-02-01,32,39,24,27,24,25,80,91,171
30801,CLIZA,talla para la edad (t/e),talla normal (t n),2008-02-01,62,51,32,48,22,30,116,129,245
90101,COBIJA,talla para la edad (t/e),talla normal (t n),2008-02-01,52,41,23,27,33,46,108,114,222
40902,COIPASA,talla para la edad (t/e),talla normal (t n),2008-02-01,2,3,3,6,1,3,6,12,18
50901,"COLCHA ""K""",talla para la edad (t/e),talla normal (t n),2008-02-01,3,2,3,1,8,4,14,7,21
21307,COLLANA,talla para la edad (t/e),talla normal (t n),2008-02-01,6,8,4,5,7,0,17,13,30
31002,COLOMI,talla para la edad (t/e),talla normal (t n),2008-02-01,81,77,30,31,66,41,177,149,326
21306,COLQUENCHA,talla para la edad (t/e),talla normal (t n),2008-02-01,6,4,0,2,4,1,10,7,17
21004,COLQUIRI,talla para la edad (t/e),talla normal (t n),2008-02-01,39,23,11,11,16,11,66,45,111
20605,COMBAYA,talla para la edad (t/e),talla normal (t n),2008-02-01,9,10,10,10,22,17,41,37,78
21701,COPACABANA,talla para la edad (t/e),talla normal (t n),2008-02-01,42,35,17,26,18,24,77,85,162
21402,CORIPATA,talla para la edad (t/e),talla normal (t n),2008-02-01,51,50,23,21,38,31,112,102,214
20301,CORO CORO,talla para la edad (t/e),talla normal (t n),2008-02-01,12,13,6,7,10,6,28,26,54
21401,COROICO,talla para la edad (t/e),talla normal (t n),2008-02-01,55,63,25,27,33,29,113,119,232
40301,CORQUE,talla para la edad (t/e),talla normal (t n),2008-02-01,9,14,4,5,5,7,18,26,44
50601,COTAGAITA,talla para la edad (t/e),talla normal (t n),2008-02-01,11,10,7,9,15,16,33,35,68
40401,CURAHUARA DE CARANGAS,talla para la edad (t/e),talla normal (t n),2008-02-01,35,25,28,15,15,20,78,60,138
21602,CURVA,talla para la edad (t/e),talla normal (t n),2008-02-01,12,9,7,4,5,10,24,23,47
20804,DESAGUADERO,talla para la edad (t/e),talla normal (t n),2008-02-01,30,31,15,13,13,8,58,52,110
20105,EL ALTO,talla para la edad (t/e),talla normal (t n),2008-02-01,2088,1943,954,921,1173,1110,4215,3974,8189
40103,EL CHORO,talla para la edad (t/e),talla normal (t n),2008-02-01,25,26,26,23,13,13,64,62,126
60502,EL PUENTE(TJA),talla para la edad (t/e),talla normal (t n),2008-02-01,4,1,3,3,5,9,12,13,25
60601,ENTRE RIOS,talla para la edad (t/e),talla normal (t n),2008-02-01,57,60,27,35,70,56,154,151,305
60601,ENTRE RIOS,talla para la edad (t/e),talla normal (t n),2008-02-01,30,28,29,19,0,0,59,47,106
40502,ESCARA,talla para la edad (t/e),talla normal (t n),2008-02-01,1,1,1,0,0,0,2,1,3
41101,EUCALIPTUS,talla para la edad (t/e),talla normal (t n),2008-02-01,41,36,25,20,55,50,121,106,227
21601,GRAL. J.J. PEREZ (CHARAZANI),talla para la edad (t/e),talla normal (t n),2008-02-01,49,47,26,23,45,55,120,125,245
20802,GUAQUI,talla para la edad (t/e),talla normal (t n),2008-02-01,20,17,13,23,19,18,52,58,110
10502,HUACARETA,talla para la edad (t/e),talla normal (t n),2008-02-01,3,2,0,0,0,0,3,2,5
40501,HUACHACALLA,talla para la edad (t/e),talla normal (t n),2008-02-01,1,1,0,1,1,0,2,2,4
40701,HUANUNI,talla para la edad (t/e),talla normal (t n),2008-02-01,6,8,3,8,0,2,9,18,27
80803,HUARACAJE,talla para la edad (t/e),talla normal (t n),2008-02-01,16,21,16,10,21,16,53,47,100
41601,HUAYLLAMARCA,talla para la edad (t/e),talla normal (t n),2008-02-01,41,18,23,20,11,15,75,53,128
21005,ICHOCA,talla para la edad (t/e),talla normal (t n),2008-02-01,5,6,3,4,7,8,15,18,33
10304,ICLA,talla para la edad (t/e),talla normal (t n),2008-02-01,71,70,50,46,143,160,264,276,540
10703,INCAHUASI,talla para la edad (t/e),talla normal (t n),2008-02-01,185,180,107,102,192,212,484,494,978
21001,INQUISIVI,talla para la edad (t/e),talla normal (t n),2008-02-01,44,37,25,27,33,26,102,90,192
21102,IRUPANA (VILLA DE LANZA),talla para la edad (t/e),talla normal (t n),2008-02-01,1,4,3,3,7,3,11,10,21
21501,IXIAMAS,talla para la edad (t/e),talla normal (t n),2008-02-01,36,25,19,15,21,20,76,60,136
20806,JESUS DE MACHACA,talla para la edad (t/e),talla normal (t n),2008-02-01,39,50,32,30,75,75,146,155,301
20101,LA PAZ,talla para la edad (t/e),talla normal (t n),2008-02-01,505,526,210,240,289,346,1004,1112,2116
21202,LAJA,talla para la edad (t/e),talla normal (t n),2008-02-01,16,20,9,10,16,20,41,50,91
10903,LAS CARRERAS,talla para la edad (t/e),talla normal (t n),2008-02-01,5,10,6,1,24,11,35,22,57
21006,LICOMA PAMPA,talla para la edad (t/e),talla normal (t n),2008-02-01,9,19,6,13,16,14,31,46,77
50203,LLALLAGUA,talla para la edad (t/e),talla normal (t n),2008-02-01,3,9,3,6,11,11,17,26,43
51401,LLICA,talla para la edad (t/e),talla normal (t n),2008-02-01,9,6,9,5,14,6,32,17,49
20901,LURIBAY,talla para la edad (t/e),talla normal (t n),2008-02-01,15,8,9,14,11,13,35,35,70
