codigo_municipio,municipio,grupo,variable,mes,< de 1 año-H,< de 1 año-M,1 a 4 años-H,1 a 4 años-M,5 a 14 años-H,5 a 14 años-M,15 a 59 años-H,15 a 59 años-M,60 y más-H,60 y más-M,TOTAL-H,TOTAL-M,TOTAL
60202,BERMEJO,violencia  intrafamiliar,hombres,2004-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
50301,BETANZOS,violencia  intrafamiliar,hombres,2004-01-01,1,0,0,0,0,0,0,0,0,0,1,0,1
90103,BOLPEBRA,violencia  intrafamiliar,hombres,2004-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
70707,BOYUIBE,violencia  intrafamiliar,hombres,2004-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
70706,CAMIRI,violencia  intrafamiliar,hombres,2004-01-01,0,0,1,0,0,0,6,0,0,0,7,0,7
30701,CAPINOTA,violencia  intrafamiliar,hombres,2004-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
40102,CARACOLLO,violencia  intrafamiliar,hombres,2004-01-01,0,0,0,0,0,0,3,0,0,0,3,0,3
22001,CARANAVI,violencia  intrafamiliar,hombres,2004-01-01,0,0,0,0,0,0,4,0,0,0,4,0,4
40201,CHALLAPATA,violencia  intrafamiliar,hombres,2004-01-01,0,0,0,0,0,0,7,0,0,0,7,0,7
50202,CHAYANTA,violencia  intrafamiliar,hombres,2004-01-01,0,0,0,0,0,0,2,0,0,0,2,0,2
50401,COLQUECHACA,violencia  intrafamiliar,hombres,2004-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
21306,COLQUENCHA,violencia  intrafamiliar,hombres,2004-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
21402,CORIPATA,violencia  intrafamiliar,hombres,2004-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
20105,EL ALTO,violencia  intrafamiliar,hombres,2004-01-01,0,0,3,0,1,0,12,0,0,0,16,0,16
21601,GRAL. J.J. PEREZ (CHARAZANI),violencia  intrafamiliar,hombres,2004-01-01,0,0,0,0,0,0,0,0,1,0,1,0,1
40701,HUANUNI,violencia  intrafamiliar,hombres,2004-01-01,0,0,0,0,0,0,2,0,1,0,3,0,3
21102,IRUPANA (VILLA DE LANZA),violencia  intrafamiliar,hombres,2004-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
20101,LA PAZ,violencia  intrafamiliar,hombres,2004-01-01,0,0,7,0,3,0,7,0,0,0,17,0,17
50203,LLALLAGUA,violencia  intrafamiliar,hombres,2004-01-01,0,0,0,0,0,0,17,0,0,0,17,0,17
71003,MINEROS,violencia  intrafamiliar,hombres,2004-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
10501,MONTEAGUDO,violencia  intrafamiliar,hombres,2004-01-01,0,0,0,0,0,0,3,0,0,0,3,0,3
71001,MONTERO,violencia  intrafamiliar,hombres,2004-01-01,0,0,0,0,0,0,7,0,0,0,7,0,7
30302,MOROCHATA,violencia  intrafamiliar,hombres,2004-01-01,0,0,3,0,0,0,2,0,0,0,5,0,5
50404,OCURI,violencia  intrafamiliar,hombres,2004-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
40101,ORURO,violencia  intrafamiliar,hombres,2004-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
70502,PAILON,violencia  intrafamiliar,hombres,2004-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
21305,PATACAMAYA,violencia  intrafamiliar,hombres,2004-01-01,0,0,0,0,0,0,2,0,0,0,2,0,2
