codigo_municipio,municipio,grupo,variable,mes,total-H,total-M,TOTAL-H1,TOTAL-M1,TOTAL
20201,ACHACACHI,violencia intrafamiliar,violencia contra la mujer,2002-01-01,1,0,1,0,1
30201,AIQUILE,violencia intrafamiliar,violencia contra la mujer,2002-01-01,1,0,1,0,1
20202,ANCORAIMES,violencia intrafamiliar,violencia contra la mujer,2002-01-01,2,0,2,0,2
41201,ANDAMARCA,violencia intrafamiliar,violencia contra la mujer,2002-01-01,1,0,1,0,1
50802,ATOCHA,violencia intrafamiliar,violencia contra la mujer,2002-01-01,1,0,1,0,1
60202,BERMEJO,violencia intrafamiliar,violencia contra la mujer,2002-01-01,2,0,2,0,2
10701,CAMARGO,violencia intrafamiliar,violencia contra la mujer,2002-01-01,1,0,1,0,1
70706,CAMIRI,violencia intrafamiliar,violencia contra la mujer,2002-01-01,3,0,3,0,3
22001,CARANAVI,violencia intrafamiliar,violencia contra la mujer,2002-01-01,5,0,5,0,5
40201,CHALLAPATA,violencia intrafamiliar,violencia contra la mujer,2002-01-01,1,0,1,0,1
50302,CHAQUI,violencia intrafamiliar,violencia contra la mujer,2002-01-01,1,0,1,0,1
20501,CHUMA,violencia intrafamiliar,violencia contra la mujer,2002-01-01,1,0,1,0,1
30801,CLIZA,violencia intrafamiliar,violencia contra la mujer,2002-01-01,13,0,13,0,13
30101,COCHABAMBA,violencia intrafamiliar,violencia contra la mujer,2002-01-01,11,0,11,0,11
30905,COLCAPIRHUA,violencia intrafamiliar,violencia contra la mujer,2002-01-01,2,0,2,0,2
31002,COLOMI,violencia intrafamiliar,violencia contra la mujer,2002-01-01,3,0,3,0,3
71301,COMARAPA,violencia intrafamiliar,violencia contra la mujer,2002-01-01,1,0,1,0,1
21701,COPACABANA,violencia intrafamiliar,violencia contra la mujer,2002-01-01,3,0,3,0,3
21402,CORIPATA,violencia intrafamiliar,violencia contra la mujer,2002-01-01,1,0,1,0,1
70102,COTOCA,violencia intrafamiliar,violencia contra la mujer,2002-01-01,1,0,1,0,1
10902,CULPINA,violencia intrafamiliar,violencia contra la mujer,2002-01-01,5,0,5,0,5
20105,EL ALTO,violencia intrafamiliar,violencia contra la mujer,2002-01-01,23,0,23,0,23
60601,ENTRE RIOS,violencia intrafamiliar,violencia contra la mujer,2002-01-01,5,0,5,0,5
41101,EUCALIPTUS,violencia intrafamiliar,violencia contra la mujer,2002-01-01,1,0,1,0,1
71002,GENERAL SAAVEDRA,violencia intrafamiliar,violencia contra la mujer,2002-01-01,1,0,1,0,1
21601,GRAL. J.J. PEREZ (CHARAZANI),violencia intrafamiliar,violencia contra la mujer,2002-01-01,1,0,1,0,1
10502,HUACARETA,violencia intrafamiliar,violencia contra la mujer,2002-01-01,2,0,2,0,2
40701,HUANUNI,violencia intrafamiliar,violencia contra la mujer,2002-01-01,2,0,2,0,2
10304,ICLA,violencia intrafamiliar,violencia contra la mujer,2002-01-01,1,0,1,0,1
70104,LA GUARDIA,violencia intrafamiliar,violencia contra la mujer,2002-01-01,1,0,1,0,1
20101,LA PAZ,violencia intrafamiliar,violencia contra la mujer,2002-01-01,37,0,37,0,37
80601,LORETO,violencia intrafamiliar,violencia contra la mujer,2002-01-01,1,0,1,0,1
70903,MAIRANA,violencia intrafamiliar,violencia contra la mujer,2002-01-01,1,0,1,0,1
71003,MINEROS,violencia intrafamiliar,violencia contra la mujer,2002-01-01,6,0,6,0,6
31301,MIZQUE,violencia intrafamiliar,violencia contra la mujer,2002-01-01,9,0,9,0,9
10501,MONTEAGUDO,violencia intrafamiliar,violencia contra la mujer,2002-01-01,1,0,1,0,1
71001,MONTERO,violencia intrafamiliar,violencia contra la mujer,2002-01-01,31,0,31,0,31
40101,ORURO,violencia intrafamiliar,violencia contra la mujer,2002-01-01,1,0,1,0,1
60201,PADCAYA,violencia intrafamiliar,violencia contra la mujer,2002-01-01,1,0,1,0,1
21104,PALOS BLANCOS,violencia intrafamiliar,violencia contra la mujer,2002-01-01,1,0,1,0,1
40802,PAMPA AULLAGAS,violencia intrafamiliar,violencia contra la mujer,2002-01-01,3,0,3,0,3
40602,PAZÑA,violencia intrafamiliar,violencia contra la mujer,2002-01-01,4,0,4,0,4
50403,POCOATA,violencia intrafamiliar,violencia contra la mujer,2002-01-01,1,0,1,0,1
40601,POOPO,violencia intrafamiliar,violencia contra la mujer,2002-01-01,4,0,4,0,4
70103,PORONGO,violencia intrafamiliar,violencia contra la mujer,2002-01-01,1,0,1,0,1
90102,PORVENIR,violencia intrafamiliar,violencia contra la mujer,2002-01-01,1,0,1,0,1
70804,POSTRER VALLE,violencia intrafamiliar,violencia contra la mujer,2002-01-01,1,0,1,0,1
50101,POTOSI,violencia intrafamiliar,violencia contra la mujer,2002-01-01,7,0,7,0,7
21201,PUCARANI,violencia intrafamiliar,violencia contra la mujer,2002-01-01,2,0,2,0,2
20401,PUERTO ACOSTA,violencia intrafamiliar,violencia contra la mujer,2002-01-01,6,0,6,0,6
71402,PUERTO QUIJARRO,violencia intrafamiliar,violencia contra la mujer,2002-01-01,3,0,3,0,3
71401,PUERTO SUAREZ,violencia intrafamiliar,violencia contra la mujer,2002-01-01,1,0,1,0,1
31205,PUERTO VILLARROEL,violencia intrafamiliar,violencia contra la mujer,2002-01-01,3,0,3,0,3
30901,QUILLACOLLO,violencia intrafamiliar,violencia contra la mujer,2002-01-01,10,0,10,0,10
21002,QUIME,violencia intrafamiliar,violencia contra la mujer,2002-01-01,2,0,2,0,2
80201,RIBERALTA,violencia intrafamiliar,violencia contra la mujer,2002-01-01,7,0,7,0,7
31001,SACABA,violencia intrafamiliar,violencia contra la mujer,2002-01-01,4,0,4,0,4
30404,SACABAMBA,violencia intrafamiliar,violencia contra la mujer,2002-01-01,2,0,2,0,2
