codigo_municipio,municipio,grupo,variable,mes,total-H,total-M,TOTAL-H1,TOTAL-M1,TOTAL
70706,CAMIRI,violencia intrafamiliar,violencia contra el nino,2003-01-01,4,0,4,0,4
40201,CHALLAPATA,violencia intrafamiliar,violencia contra el nino,2003-01-01,1,0,1,0,1
30101,COCHABAMBA,violencia intrafamiliar,violencia contra el nino,2003-01-01,1,0,1,0,1
21401,COROICO,violencia intrafamiliar,violencia contra el nino,2003-01-01,3,0,3,0,3
20105,EL ALTO,violencia intrafamiliar,violencia contra el nino,2003-01-01,4,0,4,0,4
20602,GUANAY,violencia intrafamiliar,violencia contra el nino,2003-01-01,2,0,2,0,2
20101,LA PAZ,violencia intrafamiliar,violencia contra el nino,2003-01-01,8,0,8,0,8
50203,LLALLAGUA,violencia intrafamiliar,violencia contra el nino,2003-01-01,3,0,3,0,3
71003,MINEROS,violencia intrafamiliar,violencia contra el nino,2003-01-01,2,0,2,0,2
10501,MONTEAGUDO,violencia intrafamiliar,violencia contra el nino,2003-01-01,1,0,1,0,1
71001,MONTERO,violencia intrafamiliar,violencia contra el nino,2003-01-01,1,0,1,0,1
50101,POTOSI,violencia intrafamiliar,violencia contra el nino,2003-01-01,2,0,2,0,2
70901,SAMAIPATA,violencia intrafamiliar,violencia contra el nino,2003-01-01,1,0,1,0,1
80302,SAN BORJA,violencia intrafamiliar,violencia contra el nino,2003-01-01,1,0,1,0,1
70301,SAN IGNACIO DE VELASCO,violencia intrafamiliar,violencia contra el nino,2003-01-01,4,0,4,0,4
70302,SAN MIGUEL DE VELASCO,violencia intrafamiliar,violencia contra el nino,2003-01-01,1,0,1,0,1
30903,TIQUIPAYA,violencia intrafamiliar,violencia contra el nino,2003-01-01,8,0,8,0,8
50801,TUPIZA,violencia intrafamiliar,violencia contra el nino,2003-01-01,1,0,1,0,1
51201,UYUNI,violencia intrafamiliar,violencia contra el nino,2003-01-01,4,0,4,0,4
60303,VILLA MONTES,violencia intrafamiliar,violencia contra el nino,2003-01-01,2,0,2,0,2
60301,YACUIBA,violencia intrafamiliar,violencia contra el nino,2003-01-01,1,0,1,0,1
20201,ACHACACHI,violencia intrafamiliar,violencia contra el nino,2003-02-01,2,0,2,0,2
20202,ANCORAIMES,violencia intrafamiliar,violencia contra el nino,2003-02-01,1,0,1,0,1
60202,BERMEJO,violencia intrafamiliar,violencia contra el nino,2003-02-01,1,0,1,0,1
22001,CARANAVI,violencia intrafamiliar,violencia contra el nino,2003-02-01,1,0,1,0,1
31204,CHIMORE,violencia intrafamiliar,violencia contra el nino,2003-02-01,1,0,1,0,1
21402,CORIPATA,violencia intrafamiliar,violencia contra el nino,2003-02-01,1,0,1,0,1
21401,COROICO,violencia intrafamiliar,violencia contra el nino,2003-02-01,1,0,1,0,1
20105,EL ALTO,violencia intrafamiliar,violencia contra el nino,2003-02-01,3,0,3,0,3
21102,IRUPANA (VILLA DE LANZA),violencia intrafamiliar,violencia contra el nino,2003-02-01,1,0,1,0,1
20101,LA PAZ,violencia intrafamiliar,violencia contra el nino,2003-02-01,7,0,7,0,7
50203,LLALLAGUA,violencia intrafamiliar,violencia contra el nino,2003-02-01,1,0,1,0,1
21305,PATACAMAYA,violencia intrafamiliar,violencia contra el nino,2003-02-01,2,0,2,0,2
31205,PUERTO VILLARROEL,violencia intrafamiliar,violencia contra el nino,2003-02-01,2,0,2,0,2
70301,SAN IGNACIO DE VELASCO,violencia intrafamiliar,violencia contra el nino,2003-02-01,3,0,3,0,3
10101,SUCRE,violencia intrafamiliar,violencia contra el nino,2003-02-01,1,0,1,0,1
30903,TIQUIPAYA,violencia intrafamiliar,violencia contra el nino,2003-02-01,3,0,3,0,3
30802,TOCO,violencia intrafamiliar,violencia contra el nino,2003-02-01,1,0,1,0,1
51201,UYUNI,violencia intrafamiliar,violencia contra el nino,2003-02-01,5,0,5,0,5
60303,VILLA MONTES,violencia intrafamiliar,violencia contra el nino,2003-02-01,1,0,1,0,1
31003,VILLA TUNARI,violencia intrafamiliar,violencia contra el nino,2003-02-01,1,0,1,0,1
51501,VILLAZON,violencia intrafamiliar,violencia contra el nino,2003-02-01,1,0,1,0,1
70403,YAPACANI,violencia intrafamiliar,violencia contra el nino,2003-02-01,3,0,3,0,3
20202,ANCORAIMES,violencia intrafamiliar,violencia contra el nino,2003-03-01,1,0,1,0,1
71501,ASCENCION DE GUARAYOS,violencia intrafamiliar,violencia contra el nino,2003-03-01,1,0,1,0,1
21203,BATALLAS,violencia intrafamiliar,violencia contra el nino,2003-03-01,1,0,1,0,1
10701,CAMARGO,violencia intrafamiliar,violencia contra el nino,2003-03-01,1,0,1,0,1
22001,CARANAVI,violencia intrafamiliar,violencia contra el nino,2003-03-01,1,0,1,0,1
70702,CHARAGUA,violencia intrafamiliar,violencia contra el nino,2003-03-01,1,0,1,0,1
20804,DESAGUADERO,violencia intrafamiliar,violencia contra el nino,2003-03-01,3,0,3,0,3
20105,EL ALTO,violencia intrafamiliar,violencia contra el nino,2003-03-01,3,0,3,0,3
20101,LA PAZ,violencia intrafamiliar,violencia contra el nino,2003-03-01,11,0,11,0,11
11003,MACHARETI,violencia intrafamiliar,violencia contra el nino,2003-03-01,1,0,1,0,1
71001,MONTERO,violencia intrafamiliar,violencia contra el nino,2003-03-01,4,0,4,0,4
40101,ORURO,violencia intrafamiliar,violencia contra el nino,2003-03-01,1,0,1,0,1
40602,PAZÑA,violencia intrafamiliar,violencia contra el nino,2003-03-01,4,0,4,0,4
31202,POJO (CBBA),violencia intrafamiliar,violencia contra el nino,2003-03-01,1,0,1,0,1
50101,POTOSI,violencia intrafamiliar,violencia contra el nino,2003-03-01,1,0,1,0,1
20403,PUERTO CARABUCO,violencia intrafamiliar,violencia contra el nino,2003-03-01,1,0,1,0,1
80602,SAN ANDRES,violencia intrafamiliar,violencia contra el nino,2003-03-01,1,0,1,0,1
90302,SAN LORENZO(PND),violencia intrafamiliar,violencia contra el nino,2003-03-01,1,0,1,0,1
50501,SAN PEDRO DE BUENA VISTA,violencia intrafamiliar,violencia contra el nino,2003-03-01,1,0,1,0,1
10101,SUCRE,violencia intrafamiliar,violencia contra el nino,2003-03-01,3,0,3,0,3
60101,TARIJA,violencia intrafamiliar,violencia contra el nino,2003-03-01,2,0,2,0,2
10202,TARVITA,violencia intrafamiliar,violencia contra el nino,2003-03-01,1,0,1,0,1
51201,UYUNI,violencia intrafamiliar,violencia contra el nino,2003-03-01,5,0,5,0,5
60303,VILLA MONTES,violencia intrafamiliar,violencia contra el nino,2003-03-01,2,0,2,0,2
31003,VILLA TUNARI,violencia intrafamiliar,violencia contra el nino,2003-03-01,1,0,1,0,1
30904,VINTO,violencia intrafamiliar,violencia contra el nino,2003-03-01,1,0,1,0,1
10102,YOTALA,violencia intrafamiliar,violencia contra el nino,2003-03-01,1,0,1,0,1
