codigo_municipio,municipio,grupo,variable,mes,hombres total,mujeres total,hombres total.1,mujeres total.1,total
30201,AIQUILE,violencia intrafamiliar,violencia contra el hombre,2003-01-01,1,0,1,0,1
30402,ANZALDO,violencia intrafamiliar,violencia contra el hombre,2003-01-01,1,0,1,0,1
30601,ARQUE,violencia intrafamiliar,violencia contra el hombre,2003-01-01,1,0,1,0,1
20503,AUCAPATA,violencia intrafamiliar,violencia contra el hombre,2003-01-01,1,0,1,0,1
40201,CHALLAPATA,violencia intrafamiliar,violencia contra el hombre,2003-01-01,2,0,2,0,2
50202,CHAYANTA,violencia intrafamiliar,violencia contra el hombre,2003-01-01,2,0,2,0,2
31204,CHIMORE,violencia intrafamiliar,violencia contra el hombre,2003-01-01,2,0,2,0,2
20501,CHUMA,violencia intrafamiliar,violencia contra el hombre,2003-01-01,1,0,1,0,1
30101,COCHABAMBA,violencia intrafamiliar,violencia contra el hombre,2003-01-01,1,0,1,0,1
31002,COLOMI,violencia intrafamiliar,violencia contra el hombre,2003-01-01,1,0,1,0,1
71301,COMARAPA,violencia intrafamiliar,violencia contra el hombre,2003-01-01,1,0,1,0,1
21401,COROICO,violencia intrafamiliar,violencia contra el hombre,2003-01-01,4,0,4,0,4
20804,DESAGUADERO,violencia intrafamiliar,violencia contra el hombre,2003-01-01,1,0,1,0,1
20105,EL ALTO,violencia intrafamiliar,violencia contra el hombre,2003-01-01,13,0,13,0,13
41101,EUCALIPTUS,violencia intrafamiliar,violencia contra el hombre,2003-01-01,2,0,2,0,2
21601,GRAL. J.J. PEREZ (CHARAZANI),violencia intrafamiliar,violencia contra el hombre,2003-01-01,1,0,1,0,1
40701,HUANUNI,violencia intrafamiliar,violencia contra el hombre,2003-01-01,1,0,1,0,1
41601,HUAYLLAMARCA,violencia intrafamiliar,violencia contra el hombre,2003-01-01,1,0,1,0,1
20101,LA PAZ,violencia intrafamiliar,violencia contra el hombre,2003-01-01,4,0,4,0,4
50203,LLALLAGUA,violencia intrafamiliar,violencia contra el hombre,2003-01-01,8,0,8,0,8
71003,MINEROS,violencia intrafamiliar,violencia contra el hombre,2003-01-01,1,0,1,0,1
31301,MIZQUE,violencia intrafamiliar,violencia contra el hombre,2003-01-01,3,0,3,0,3
10501,MONTEAGUDO,violencia intrafamiliar,violencia contra el hombre,2003-01-01,4,0,4,0,4
71001,MONTERO,violencia intrafamiliar,violencia contra el hombre,2003-01-01,12,0,12,0,12
30302,MOROCHATA,violencia intrafamiliar,violencia contra el hombre,2003-01-01,1,0,1,0,1
40101,ORURO,violencia intrafamiliar,violencia contra el hombre,2003-01-01,1,0,1,0,1
10401,PADILLA,violencia intrafamiliar,violencia contra el hombre,2003-01-01,1,0,1,0,1
21305,PATACAMAYA,violencia intrafamiliar,violencia contra el hombre,2003-01-01,4,0,4,0,4
31203,POCONA,violencia intrafamiliar,violencia contra el hombre,2003-01-01,2,0,2,0,2
10103,POROMA,violencia intrafamiliar,violencia contra el hombre,2003-01-01,2,0,2,0,2
70601,PORTACHUELO,violencia intrafamiliar,violencia contra el hombre,2003-01-01,1,0,1,0,1
20401,PUERTO ACOSTA,violencia intrafamiliar,violencia contra el hombre,2003-01-01,1,0,1,0,1
70301,SAN IGNACIO DE VELASCO,violencia intrafamiliar,violencia contra el hombre,2003-01-01,4,0,4,0,4
30902,SIPE SIPE,violencia intrafamiliar,violencia contra el hombre,2003-01-01,1,0,1,0,1
10101,SUCRE,violencia intrafamiliar,violencia contra el hombre,2003-01-01,1,0,1,0,1
30602,TACOPAYA,violencia intrafamiliar,violencia contra el hombre,2003-01-01,1,0,1,0,1
60101,TARIJA,violencia intrafamiliar,violencia contra el hombre,2003-01-01,1,0,1,0,1
70802,TRIGAL,violencia intrafamiliar,violencia contra el hombre,2003-01-01,1,0,1,0,1
51201,UYUNI,violencia intrafamiliar,violencia contra el hombre,2003-01-01,3,0,3,0,3
70801,VALLEGRANDE,violencia intrafamiliar,violencia contra el hombre,2003-01-01,4,0,4,0,4
20801,VIACHA,violencia intrafamiliar,violencia contra el hombre,2003-01-01,1,0,1,0,1
