codigo_municipio,municipio,grupo,variable,mes,total
70706,CAMIRI,eventos - notificacion inmediata parte i,incendio,2019-04-01,4.0
70102,COTOCA,eventos - notificacion inmediata parte i,incendio,2019-04-01,1.0
60201,PADCAYA,eventos - notificacion inmediata parte i,incendio,2019-05-01,1.0
50601,COTAGAITA,eventos - notificacion inmediata parte i,incendio,2019-06-01,23.0
70503,ROBORE,eventos - notificacion inmediata parte i,incendio,2019-07-01,16.0
60202,BERMEJO,eventos - notificacion inmediata parte i,incendio,2019-08-01,2.0
22001,CARANAVI,eventos - notificacion inmediata parte i,incendio,2019-08-01,1.0
71101,CONCEPCION,eventos - notificacion inmediata parte i,incendio,2019-08-01,207.0
60601,ENTRE RIOS TRJ,eventos - notificacion inmediata parte i,incendio,2019-08-01,1.0
70502,PAILON,eventos - notificacion inmediata parte i,incendio,2019-08-01,114.0
70503,ROBORE,eventos - notificacion inmediata parte i,incendio,2019-08-01,1782.0
31001,SACABA,eventos - notificacion inmediata parte i,incendio,2019-08-01,11.0
70301,SAN IGNACIO DE VELASCO,eventos - notificacion inmediata parte i,incendio,2019-08-01,39.0
70501,SAN JOSE DE CHIQUITOS,eventos - notificacion inmediata parte i,incendio,2019-08-01,1838.0
71201,SAN MATIAS,eventos - notificacion inmediata parte i,incendio,2019-08-01,1.0
70302,SAN MIGUEL DE VELASCO,eventos - notificacion inmediata parte i,incendio,2019-08-01,54.0
70303,SAN RAFAEL,eventos - notificacion inmediata parte i,incendio,2019-08-01,14.0
10601,TARABUCO,eventos - notificacion inmediata parte i,incendio,2019-08-01,1.0
10801,VILLA SERRANO,eventos - notificacion inmediata parte i,incendio,2019-08-01,51.0
20701,APOLO,eventos - notificacion inmediata parte i,incendio,2019-09-01,1.0
71403,CARMEN RIVERO TORREZ,eventos - notificacion inmediata parte i,incendio,2019-09-01,2.0
70603,COLPA BELGICA,eventos - notificacion inmediata parte i,incendio,2019-09-01,1.0
71101,CONCEPCION,eventos - notificacion inmediata parte i,incendio,2019-09-01,296.0
70103,PORONGO,eventos - notificacion inmediata parte i,incendio,2019-09-01,1.0
70503,ROBORE,eventos - notificacion inmediata parte i,incendio,2019-09-01,99.0
71105,SAN ANTONIO DE LOMERIO,eventos - notificacion inmediata parte i,incendio,2019-09-01,941.0
70301,SAN IGNACIO DE VELASCO,eventos - notificacion inmediata parte i,incendio,2019-09-01,20.0
70501,SAN JOSE DE CHIQUITOS,eventos - notificacion inmediata parte i,incendio,2019-09-01,3.0
71201,SAN MATIAS,eventos - notificacion inmediata parte i,incendio,2019-09-01,1.0
70302,SAN MIGUEL DE VELASCO,eventos - notificacion inmediata parte i,incendio,2019-09-01,3.0
70303,SAN RAFAEL,eventos - notificacion inmediata parte i,incendio,2019-09-01,8.0
70602,SANTA ROSA DEL SARA,eventos - notificacion inmediata parte i,incendio,2019-09-01,1.0
60101,TARIJA,eventos - notificacion inmediata parte i,incendio,2019-09-01,291.0
71502,URUBICHA,eventos - notificacion inmediata parte i,incendio,2019-09-01,5.0
10301,ZUDAÑEZ,eventos - notificacion inmediata parte i,incendio,2019-09-01,16.0
50601,COTAGAITA,eventos - notificacion inmediata parte i,incendio,2019-10-01,3.0
31205,PUERTO VILLARROEL,eventos - notificacion inmediata parte i,incendio,2019-11-01,1.0
