codigo_municipio,municipio,grupo,variable,mes,número de eventos,número de afectados,número de fallecidos,total
10304,ICLA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-01-01,1.0,13.0,0.0,14.0
51501,VILLAZON,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-01-01,1.0,200.0,0.0,201.0
30402,ANZALDO,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-02-01,0.0,20.0,0.0,20.0
10402,TOMINA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-02-01,1.0,0.0,0.0,1.0
50801,TUPIZA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-02-01,1.0,2.0,0.0,3.0
10102,YOTALA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-02-01,1.0,26.0,0.0,27.0
21301,SICA SICA (VILLA AROMA),registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-03-01,0.0,1.0,1.0,2.0
31101,TAPACARI,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-03-01,1.0,5.0,0.0,6.0
10101,SUCRE,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-04-01,1.0,7.0,0.0,8.0
60202,BERMEJO,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-07-01,1.0,0.0,0.0,1.0
60601,ENTRE RIOS TRJ,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-07-01,2.0,400.0,0.0,402.0
11003,MACHARETI,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-07-01,4.0,2444.0,0.0,2448.0
10501,MONTEAGUDO,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-07-01,2.0,0.0,0.0,2.0
21002,QUIME,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-07-01,0.0,6.0,2.0,8.0
10101,SUCRE,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-07-01,0.0,6.0,0.0,6.0
10202,TARVITA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-07-01,1.0,40.0,0.0,41.0
60303,VILLA MONTES,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-07-01,1.0,23.0,0.0,24.0
70701,LAGUNILLAS,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-08-01,7.0,1351.0,0.0,1358.0
70805,PUCARA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-08-01,1.0,0.0,0.0,1.0
30101,COCHABAMBA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-09-01,0.0,0.0,1.0,1.0
70701,LAGUNILLAS,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-09-01,0.0,16.0,0.0,16.0
21002,QUIME,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-09-01,1.0,0.0,0.0,1.0
71101,CONCEPCION,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-10-01,1.0,0.0,0.0,1.0
60401,URIONDO (A. CONCEPCION),registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-10-01,1.0,0.0,0.0,1.0
20204,HUARINA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-11-01,2.0,0.0,0.0,2.0
50401,COLQUECHACA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-12-01,1.0,2000.0,0.0,2001.0
21005,ICHOCA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-12-01,1.0,60.0,0.0,61.0
10202,TARVITA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-12-01,2.0,0.0,0.0,2.0
10402,TOMINA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-12-01,1.0,0.0,0.0,1.0
31003,VILLA TUNARI,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-12-01,0.0,1.0,0.0,1.0
