codigo_municipio,municipio,grupo,variable,mes,< de 2 años-H,< de 2 años-M,2 a 4 años-H,2 a 4 años-M,TOTAL-H,TOTAL-M,TOTAL
51302,ACACIO,desnutricion global,desnutricion grave (g),2005-01-01,2,1,0,0,2,1,3
20201,ACHACACHI,desnutricion global,desnutricion grave (g),2005-01-01,5,0,0,2,5,2,7
20104,ACHOCALLA,desnutricion global,desnutricion grave (g),2005-01-01,0,3,0,1,0,4,4
30201,AIQUILE,desnutricion global,desnutricion grave (g),2005-01-01,3,4,2,0,5,4,9
31303,ALALAY,desnutricion global,desnutricion grave (g),2005-01-01,1,0,0,1,1,1,2
10404,ALCALA,desnutricion global,desnutricion grave (g),2005-01-01,0,1,0,3,0,4,4
20202,ANCORAIMES,desnutricion global,desnutricion grave (g),2005-01-01,2,1,0,1,2,2,4
40603,ANTEQUERA,desnutricion global,desnutricion grave (g),2005-01-01,1,0,1,0,2,0,2
30402,ANZALDO,desnutricion global,desnutricion grave (g),2005-01-01,3,3,0,2,3,5,8
20701,APOLO,desnutricion global,desnutricion grave (g),2005-01-01,0,1,1,1,1,2,3
30501,ARANI,desnutricion global,desnutricion grave (g),2005-01-01,1,1,0,0,1,1,2
30601,ARQUE,desnutricion global,desnutricion grave (g),2005-01-01,0,1,0,0,0,1,1
50802,ATOCHA,desnutricion global,desnutricion grave (g),2005-01-01,3,5,0,1,3,6,9
20503,AUCAPATA,desnutricion global,desnutricion grave (g),2005-01-01,2,0,0,0,2,0,2
20502,AYATA,desnutricion global,desnutricion grave (g),2005-01-01,2,2,1,3,3,5,8
30301,AYOPAYA (V. DE INDEPENDENCIA),desnutricion global,desnutricion grave (g),2005-01-01,0,0,1,0,1,0,1
10201,AZURDUY,desnutricion global,desnutricion grave (g),2005-01-01,7,4,1,2,8,6,14
80802,BAURES,desnutricion global,desnutricion grave (g),2005-01-01,1,0,0,0,1,0,1
60202,BERMEJO,desnutricion global,desnutricion grave (g),2005-01-01,2,1,0,1,2,2,4
50301,BETANZOS,desnutricion global,desnutricion grave (g),2005-01-01,2,2,1,2,3,4,7
31501,BOLIVAR,desnutricion global,desnutricion grave (g),2005-01-01,2,9,0,1,2,10,12
70401,BUENA VISTA,desnutricion global,desnutricion grave (g),2005-01-01,1,0,0,0,1,0,1
70703,CABEZAS,desnutricion global,desnutricion grave (g),2005-01-01,3,2,1,0,4,2,6
20905,CAIROMA,desnutricion global,desnutricion grave (g),2005-01-01,1,1,1,1,2,2,4
51102,"CAIZA ""D""",desnutricion global,desnutricion grave (g),2005-01-01,0,1,0,0,0,1,1
21003,CAJUATA,desnutricion global,desnutricion grave (g),2005-01-01,2,0,0,0,2,0,2
21304,CALAMARCA,desnutricion global,desnutricion grave (g),2005-01-01,0,1,0,2,0,3,3
70706,CAMIRI,desnutricion global,desnutricion grave (g),2005-01-01,5,12,5,10,10,22,32
30701,CAPINOTA,desnutricion global,desnutricion grave (g),2005-01-01,3,0,1,0,4,0,4
20302,CAQUIAVIRI,desnutricion global,desnutricion grave (g),2005-01-01,1,0,0,0,1,0,1
22001,CARANAVI,desnutricion global,desnutricion grave (g),2005-01-01,8,6,5,4,13,10,23
60302,CARAPARI,desnutricion global,desnutricion grave (g),2005-01-01,1,0,0,0,1,0,1
40201,CHALLAPATA,desnutricion global,desnutricion grave (g),2005-01-01,2,3,0,0,2,3,5
70702,CHARAGUA,desnutricion global,desnutricion grave (g),2005-01-01,7,4,2,2,9,6,15
50202,CHAYANTA,desnutricion global,desnutricion grave (g),2005-01-01,3,3,1,1,4,4,8
31204,CHIMORE,desnutricion global,desnutricion grave (g),2005-01-01,0,0,0,1,0,1,1
20501,CHUMA,desnutricion global,desnutricion grave (g),2005-01-01,0,2,0,0,0,2,2
30801,CLIZA,desnutricion global,desnutricion grave (g),2005-01-01,4,2,0,0,4,2,6
90101,COBIJA,desnutricion global,desnutricion grave (g),2005-01-01,2,1,0,1,2,2,4
30101,COCHABAMBA,desnutricion global,desnutricion grave (g),2005-01-01,14,12,3,0,17,12,29
30905,COLCAPIRHUA,desnutricion global,desnutricion grave (g),2005-01-01,3,0,0,0,3,0,3
31002,COLOMI,desnutricion global,desnutricion grave (g),2005-01-01,2,2,1,1,3,3,6
70603,COLPA BELGICA,desnutricion global,desnutricion grave (g),2005-01-01,0,1,0,0,0,1,1
50401,COLQUECHACA,desnutricion global,desnutricion grave (g),2005-01-01,6,1,3,0,9,1,10
21004,COLQUIRI,desnutricion global,desnutricion grave (g),2005-01-01,1,0,0,2,1,2,3
71301,COMARAPA,desnutricion global,desnutricion grave (g),2005-01-01,2,3,0,0,2,3,5
