codigo_municipio,municipio,grupo,variable,mes,a-menor-de-6-meses_masculino,a-menor-de-6-meses-1_femenino,b-6-m-a-menor-de-1-ano_masculino,b-6-m-a-menor-de-1-ano-1_femenino,c-1-4-anos_masculino,c-1-4-anos-1_femenino,d-5-9-anos_masculino,d-5-9-anos-1_femenino,e-10-14-anos_masculino,e-10-14-anos-1_femenino,f-15-19-anos_masculino,f-15-19-anos-1_femenino,g-20-39-anos_masculino,g-20-39-anos-1_femenino,h-40-49-anos_masculino,h-40-49-anos-1_femenino,i-50-59-anos_masculino,i-50-59-anos-1_femenino,j-60-anos-y-mas_masculino,j-60-anos-y-mas-1_femenino,totales_dentro,totales-1_fuera,totales-2_total
30201,AIQUILE,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
30501,ARANI,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
71501,ASCENCION DE GUARAYOS,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
60202,BERMEJO,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
51102,"CAIZA ""D""","violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
21003,CAJUATA,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
70706,CAMIRI,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,3,4
22001,CARANAVI,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,5,0,0,0,0,0,20,20
21101,CHULUMANI (V. DE LA LIBERTAD),"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,1,0,1,0,2,8,10
51103,CKOCHAS,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
30801,CLIZA,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5,9,1,0,1,0,1,0,8,9,17
90101,COBIJA,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
30101,COCHABAMBA,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,1,0,0,0,0,0,1,1,3,0,4,0,0,0,0,1,9,10
31002,COLOMI,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,3,4
70603,COLPA BELGICA,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
21402,CORIPATA,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,5,5
70102,COTOCA,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
10902,CULPINA,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
20105,EL ALTO,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,2,1,26,0,0,0,0,0,1,1,29,30
40701,HUANUNI,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,2,2,4
20204,HUARINA,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
10304,ICLA,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
10703,INCAHUASI,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,3
21102,IRUPANA (VILLA DE LANZA),"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,3
21105,LA ASUNTA,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,3
20101,LA PAZ,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,1,0,0,1,1,2,1,4,0,1,4,2,14,5,11,0,1,6,13,21,46,67
10903,LAS CARRERAS,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
50203,LLALLAGUA,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
11003,MACHARETI,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
70903,MAIRANA,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
20607,MAPIRI,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,3
31301,MIZQUE,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2
90401,NACEBE (SANTA ROSA DEL ABUNA),"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
40101,ORURO,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
51203,PORCO,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
90102,PORVENIR,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
50101,POTOSI,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,1,2,5,1,7,4,18,0,0,0,0,0,0,7,31,38
21201,PUCARANI,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2
20403,PUERTO CARABUCO,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,2,3
31205,PUERTO VILLARROEL,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
30901,QUILLACOLLO,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
70503,ROBORE,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
31001,SACABA,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
50701,SACACA,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
80602,SAN ANDRES,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
80302,SAN BORJA,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
80501,SAN IGNACIO,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
70301,SAN IGNACIO DE VELASCO,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
60501,SAN LORENZO(TJA),"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
70302,SAN MIGUEL DE VELASCO,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
70101,SANTA CRUZ DE LA SIERRA,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,23,0,23,3,20,0,15,0,8,0,1,3,90,93
70602,SANTA ROSA DEL SARA,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
90303,SENA,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
10101,SUCRE,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,5,5
60101,TARIJA,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,8,0,13,0,31,0,0,0,0,0,52,52
31601,TIRAQUE (CBBA),"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,1,4,5
10402,TOMINA,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2
50801,TUPIZA,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2
51201,UYUNI,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
20801,VIACHA,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
10704,VILLA CHARCAS,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,1,4,5
60303,VILLA MONTES,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,5,5
90502,VILLA NUEVA (LOMA ALTA),"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
10801,VILLA SERRANO,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
31003,VILLA TUNARI,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
11001,VILLA VACA GUZMAN (MUYUPAMPA),"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
30904,VINTO,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
70201,WARNES,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
21103,YANACACHI,"violencia, hechos de transito y accidentes",violencia en la familia,2019-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,1,4,5
30501,ARANI,"violencia, hechos de transito y accidentes",violencia en la familia,2019-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
60202,BERMEJO,"violencia, hechos de transito y accidentes",violencia en la familia,2019-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
21304,CALAMARCA,"violencia, hechos de transito y accidentes",violencia en la familia,2019-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
70706,CAMIRI,"violencia, hechos de transito y accidentes",violencia en la familia,2019-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
22001,CARANAVI,"violencia, hechos de transito y accidentes",violencia en la familia,2019-02-01,0,0,0,0,0,0,0,0,0,1,0,1,2,7,1,2,0,2,0,1,3,14,17
70702,CHARAGUA,"violencia, hechos de transito y accidentes",violencia en la familia,2019-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
31204,CHIMORE,"violencia, hechos de transito y accidentes",violencia en la familia,2019-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
21101,CHULUMANI (V. DE LA LIBERTAD),"violencia, hechos de transito y accidentes",violencia en la familia,2019-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
30801,CLIZA,"violencia, hechos de transito y accidentes",violencia en la familia,2019-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,4,4
90101,COBIJA,"violencia, hechos de transito y accidentes",violencia en la familia,2019-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,2,2,4
