codigo_municipio,municipio,grupo,variable,mes,a-menor-de-6-meses_masculino,a-menor-de-6-meses-1_femenino,b-6-m-a-menor-de-1-ano_masculino,b-6-m-a-menor-de-1-ano-1_femenino,c-1-4-anos_masculino,c-1-4-anos-1_femenino,d-5-9-anos_masculino,d-5-9-anos-1_femenino,e-10-14-anos_masculino,e-10-14-anos-1_femenino,f-15-19-anos_masculino,f-15-19-anos-1_femenino,g-20-39-anos_masculino,g-20-39-anos-1_femenino,h-40-49-anos_masculino,h-40-49-anos-1_femenino,i-50-59-anos_masculino,i-50-59-anos-1_femenino,j-60-anos-y-mas_masculino,j-60-anos-y-mas-1_femenino,totales_total-m,totales-1_total-f,totales-2_total
30201,AIQUILE,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,2,0,3,0,1,1,11,12
50802,ATOCHA,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
51102,"CAIZA ""D""","violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
10701,CAMARGO,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
22001,CARANAVI,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,5,5
50702,CARIPUYO,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
40201,CHALLAPATA,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
70702,CHARAGUA,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
31204,CHIMORE,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
30801,CLIZA,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
90101,COBIJA,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
30101,COCHABAMBA,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,1,0,0,0,0,0,9,9
71101,CONCEPCION,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
40401,CURAHUARA DE CARANGAS,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2
20105,EL ALTO,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,1,0,0,0,0,1,1,1,0,5,3,7,0,2,0,2,0,0,5,18,23
60601,ENTRE RIOS TRJ,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
90203,FILADELFIA,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
10502,HUACARETA,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,3
40701,HUANUNI,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
20806,JESUS DE MACHACA,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
21105,LA ASUNTA,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,5,5
20101,LA PAZ,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,1,0,1,0,0,0,1,0,0,1,2,24,0,1,0,0,3,3,8,29,37
20901,LURIBAY,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
40702,MACHACAMARCA,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,3
70903,MAIRANA,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,3
31301,MIZQUE,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,0,0,0,1,5,6
20402,MOCOMOCO,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
30302,MOROCHATA,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
40101,ORURO,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,11,1,12
40602,PAZÑA,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2
50101,POTOSI,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,1,0,1,1,1,0,1,1,2,0,1,0,0,0,0,2,7,9
21201,PUCARANI,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
31205,PUERTO VILLARROEL,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
31401,PUNATA,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,2,0,1,2,6,8
30901,QUILLACOLLO,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
50402,RAVELO,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,4,4
80201,RIBERALTA,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
80304,RURRENABAQUE,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
31001,SACABA,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,2,3
70901,SAMAIPATA,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
80501,SAN IGNACIO,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
70301,SAN IGNACIO DE VELASCO,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
71104,SAN JULIAN,"violencia, hechos de transito y accidentes",violencia en la familia,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
