codigo_municipio,municipio,grupo,variable,mes,total
30402,ANZALDO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-01-01,62.0
10701,CAMARGO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-01-01,36.0
10304,ICLA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-01-01,48.0
50404,OCURI,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-01-01,76.0
10103,POROMA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-01-01,21.0
10302,PRESTO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-01-01,39.0
51101,PUNA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-01-01,91.0
10702,SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-01-01,231.0
10202,TARVITA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-01-01,2.0
10402,TOMINA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-01-01,161.0
10301,ZUDAÑEZ,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-01-01,492.0
20503,AUCAPATA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-02-01,1.0
51102,"CAIZA ""D""",eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-02-01,59.0
10901,CAMATAQUI (C. VILLA ABECIA),eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-02-01,348.0
51103,CKOCHAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-02-01,22.0
10902,CULPINA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-02-01,62.0
20204,HUARINA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-02-01,1.0
20402,MOCOMOCO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-02-01,51.0
21802,PAPEL PAMPA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-02-01,1.0
10702,SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-02-01,68.0
10704,VILLA CHARCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-02-01,1.0
10301,ZUDAÑEZ,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-02-01,16.0
30402,ANZALDO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-03-01,61.0
50301,BETANZOS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-03-01,767.0
