codigo_municipio,municipio,grupo,variable,mes,hombres menores a 1 año,mujeres menores a 1 año,hombres de 1 a 4 años,mujeres de 1 a 4 años,hombres de 5 a 14 años,mujeres de 5 a 14 años,hombres de 15 a 59 años,mujeres de 15 a 59 años,hombres de 60 y más años,mujeres de 60 y más años,hombres total,mujeres total,total
20201,ACHACACHI,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
30201,AIQUILE,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
20202,ANCORAIMES,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
30402,ANZALDO,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
10701,CAMARGO,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,1,2,0,0,1,2,3
22001,CARANAVI,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,0,1,1,0,1,1,2
60302,CARAPARI,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
40201,CHALLAPATA,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,5,10,4,1,9,11,20
30101,COCHABAMBA,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
10902,CULPINA,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
20105,EL ALTO,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,1,1,1,4,0,0,2,5,7
20101,LA PAZ,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,3,0,0,1,51,16,13,2,67,19,86
50203,LLALLAGUA,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,8,7,0,0,8,7,15
71003,MINEROS,violencia  intrafamiliar,otras violencias (causas externas),2007-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
