codigo_municipio,municipio,grupo,variable,mes,total-H,total-M,TOTAL-H1,TOTAL-M1,TOTAL
30201,AIQUILE,violencia intrafamiliar,violencia contra el hombre,2002-01-01,1,0,1,0,1
90104,BELLA FLOR,violencia intrafamiliar,violencia contra el hombre,2002-01-01,1,0,1,0,1
70706,CAMIRI,violencia intrafamiliar,violencia contra el hombre,2002-01-01,7,0,7,0,7
60302,CARAPARI,violencia intrafamiliar,violencia contra el hombre,2002-01-01,1,0,1,0,1
30801,CLIZA,violencia intrafamiliar,violencia contra el hombre,2002-01-01,1,0,1,0,1
30101,COCHABAMBA,violencia intrafamiliar,violencia contra el hombre,2002-01-01,1,0,1,0,1
70102,COTOCA,violencia intrafamiliar,violencia contra el hombre,2002-01-01,1,0,1,0,1
20804,DESAGUADERO,violencia intrafamiliar,violencia contra el hombre,2002-01-01,1,0,1,0,1
20105,EL ALTO,violencia intrafamiliar,violencia contra el hombre,2002-01-01,1,0,1,0,1
90203,FILADELFIA,violencia intrafamiliar,violencia contra el hombre,2002-01-01,1,0,1,0,1
21601,GRAL. J.J. PEREZ (CHARAZANI),violencia intrafamiliar,violencia contra el hombre,2002-01-01,1,0,1,0,1
20602,GUANAY,violencia intrafamiliar,violencia contra el hombre,2002-01-01,1,0,1,0,1
10304,ICLA,violencia intrafamiliar,violencia contra el hombre,2002-01-01,1,0,1,0,1
20101,LA PAZ,violencia intrafamiliar,violencia contra el hombre,2002-01-01,8,0,8,0,8
71003,MINEROS,violencia intrafamiliar,violencia contra el hombre,2002-01-01,2,0,2,0,2
31301,MIZQUE,violencia intrafamiliar,violencia contra el hombre,2002-01-01,4,0,4,0,4
10501,MONTEAGUDO,violencia intrafamiliar,violencia contra el hombre,2002-01-01,1,0,1,0,1
71001,MONTERO,violencia intrafamiliar,violencia contra el hombre,2002-01-01,28,0,28,0,28
60201,PADCAYA,violencia intrafamiliar,violencia contra el hombre,2002-01-01,1,0,1,0,1
71402,PUERTO QUIJARRO,violencia intrafamiliar,violencia contra el hombre,2002-01-01,1,0,1,0,1
31205,PUERTO VILLARROEL,violencia intrafamiliar,violencia contra el hombre,2002-01-01,1,0,1,0,1
30901,QUILLACOLLO,violencia intrafamiliar,violencia contra el hombre,2002-01-01,7,0,7,0,7
