codigo_municipio,municipio,grupo,variable,mes,dentro_masculino,dentro-1_femenino,fuera_masculino,fuera-1_femenino,totales_total-m,totales-1_total-f,totales-2_total
20201,ACHACACHI,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,1,1,1,1,2
20104,ACHOCALLA,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,2,3,2,3,5
30201,AIQUILE,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,1,0,0,0,1,1
10404,ALCALA,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,0,1,0,1,1
20202,ANCORAIMES,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,2,1,2,1,3
41201,ANDAMARCA,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,0,1,0,1,1
51301,ARAMPAMPA,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,1,0,1,0,1
30501,ARANI,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,0,2,0,2,2
80802,BAURES,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,1,0,1,0,1
90104,BELLA FLOR,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,0,1,0,1,1
60202,BERMEJO,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,4,0,3,2,7,2,9
50301,BETANZOS,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,4,3,4,3,7
70707,BOYUIBE,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,2,0,2,0,2
70401,BUENA VISTA,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,0,1,0,1,1
20905,CAIROMA,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,1,0,0,0,1,0,1
21304,CALAMARCA,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,1,3,1,3,4
70706,CAMIRI,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,2,1,11,3,13,4,17
22001,CARANAVI,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,1,3,1,3,2,5
60302,CARAPARI,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,0,1,0,1,1
50702,CARIPUYO,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,0,1,0,1,1
71403,CARMEN RIVERO TORREZ,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,1,0,1,0,1
40201,CHALLAPATA,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,1,0,6,5,7,5,12
70702,CHARAGUA,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,2,0,2,0,4,0,4
50202,CHAYANTA,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,0,1,0,1,1
21101,CHULUMANI (V. DE LA LIBERTAD),mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,1,0,0,0,1,1
51103,CKOCHAS,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,1,1,1,1,2
90101,COBIJA,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,1,3,0,0,1,3,4
30101,COCHABAMBA,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,34,42,7,5,41,47,88
40902,COIPASA,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,1,0,1,0,1
31002,COLOMI,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,1,2,1,2,2,4
50401,COLQUECHACA,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,1,0,1,0,1
21306,COLQUENCHA,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,1,1,1,1,2
21004,COLQUIRI,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,1,1,1,1,2
71101,CONCEPCION,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,1,0,0,0,1,0,1
21701,COPACABANA,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,1,0,1,0,2,0,2
21402,CORIPATA,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,1,0,1,0,1
40301,CORQUE,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,0,1,0,1,1
70102,COTOCA,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,1,2,1,2,2,4
10902,CULPINA,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,0,1,0,1,1
40401,CURAHUARA DE CARANGAS,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,0,1,0,1,1
20105,EL ALTO,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,6,8,27,39,33,47,80
71503,EL PUENTE(STC),mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,3,0,3,0,3
60502,EL PUENTE(TJA),mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,1,1,1,1,2
70105,EL TORNO,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,1,0,3,2,4,2,6
60601,ENTRE RIOS TRJ,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,1,0,2,2,3,2,5
80402,EXALTACION,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,0,1,0,1,1
71004,FERNANDEZ ALONSO,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,0,1,0,1,1
20602,GUANAY,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,2,1,2,1,3
20802,GUAQUI,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,1,0,1,0,1
80202,GUAYARAMERIN,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,1,3,1,3,2,5
20204,HUARINA,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,1,0,1,0,1
21105,LA ASUNTA,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,1,0,8,6,9,6,15
70104,LA GUARDIA,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,1,0,1,0,1
20101,LA PAZ,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,82,81,27,27,109,108,217
70701,LAGUNILLAS,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,0,2,0,2,2
21202,LAJA,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,1,2,1,2,3
50203,LLALLAGUA,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,1,4,1,4,5
70903,MAIRANA,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,4,0,4,0,4
20904,MALLA,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,1,0,1,0,1
71003,MINEROS,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,1,0,1,0,1
31301,MIZQUE,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,0,2,0,2,2
20402,MOCOMOCO,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,1,0,1,0,1
51002,MOJINETE,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,1,0,1,0,1
10501,MONTEAGUDO,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,1,1,1,1,2,2,4
71001,MONTERO,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,5,2,5,2,7
20307,NAZACARA DE PACAJES,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,0,1,0,1,1
50404,OCURI,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,0,0,0,1,0,1,1
40101,ORURO,mortalidad,otras muertes en mayores de 5 anos,2010-01-01,16,19,3,6,19,25,44
