codigo_municipio,municipio,grupo,variable,mes,hombres menores a 2 años,mujeres menores a 2 años,hombres de 2 a 4 años,mujeres de 2 a 4 años,hombres total,mujeres total,total
51302,ACACIO,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,2,1,3,2,5,7
30201,AIQUILE,desnutricion aguda,desnutricion moderada (m),2007-01-01,4,9,3,6,7,15,22
31303,ALALAY,desnutricion aguda,desnutricion moderada (m),2007-01-01,2,0,0,0,2,0,2
10404,ALCALA,desnutricion aguda,desnutricion moderada (m),2007-01-01,3,2,1,5,4,7,11
41201,ANDAMARCA,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,0,0,0,1,0,1
30402,ANZALDO,desnutricion aguda,desnutricion moderada (m),2007-01-01,3,1,1,1,4,2,6
51301,ARAMPAMPA,desnutricion aguda,desnutricion moderada (m),2007-01-01,4,5,6,5,10,10,20
30501,ARANI,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,3,1,4,2,7,9
30403,ARBIETO,desnutricion aguda,desnutricion moderada (m),2007-01-01,4,5,2,7,6,12,18
30601,ARQUE,desnutricion aguda,desnutricion moderada (m),2007-01-01,9,11,41,11,50,22,72
50802,ATOCHA,desnutricion aguda,desnutricion moderada (m),2007-01-01,3,2,4,3,7,5,12
30301,AYOPAYA (V. DE INDEPENDENCIA),desnutricion aguda,desnutricion moderada (m),2007-01-01,3,4,2,3,5,7,12
10201,AZURDUY,desnutricion aguda,desnutricion moderada (m),2007-01-01,11,14,8,15,19,29,48
80802,BAURES,desnutricion aguda,desnutricion moderada (m),2007-01-01,2,2,0,3,2,5,7
50104,BELEN DE URMIRI,desnutricion aguda,desnutricion moderada (m),2007-01-01,0,1,1,1,1,2,3
90104,BELLA FLOR,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,1,0,2,1,3,4
60202,BERMEJO,desnutricion aguda,desnutricion moderada (m),2007-01-01,0,0,1,0,1,0,1
50301,BETANZOS,desnutricion aguda,desnutricion moderada (m),2007-01-01,13,21,17,15,30,36,66
31501,BOLIVAR,desnutricion aguda,desnutricion moderada (m),2007-01-01,18,8,4,5,22,13,35
70707,BOYUIBE,desnutricion aguda,desnutricion moderada (m),2007-01-01,2,0,3,1,5,1,6
70401,BUENA VISTA,desnutricion aguda,desnutricion moderada (m),2007-01-01,0,1,0,0,0,1,1
70703,CABEZAS,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,5,5,10,6,15,21
51102,"CAIZA ""D""",desnutricion aguda,desnutricion moderada (m),2007-01-01,2,0,1,2,3,2,5
21003,CAJUATA,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,4,1,2,2,6,8
10701,CAMARGO,desnutricion aguda,desnutricion moderada (m),2007-01-01,7,11,4,14,11,25,36
10901,CAMATAQUI (C. VILLA ABECIA),desnutricion aguda,desnutricion moderada (m),2007-01-01,3,0,3,1,6,1,7
70706,CAMIRI,desnutricion aguda,desnutricion moderada (m),2007-01-01,6,3,5,12,11,15,26
30701,CAPINOTA,desnutricion aguda,desnutricion moderada (m),2007-01-01,19,9,11,16,30,25,55
40102,CARACOLLO,desnutricion aguda,desnutricion moderada (m),2007-01-01,2,2,3,3,5,5,10
60302,CARAPARI,desnutricion aguda,desnutricion moderada (m),2007-01-01,0,3,4,3,4,6,10
50702,CARIPUYO,desnutricion aguda,desnutricion moderada (m),2007-01-01,6,7,11,11,17,18,35
71403,CARMEN RIVERO TORREZ,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,1,0,0,1,1,2
40201,CHALLAPATA,desnutricion aguda,desnutricion moderada (m),2007-01-01,20,9,7,12,27,21,48
50302,CHAQUI,desnutricion aguda,desnutricion moderada (m),2007-01-01,4,0,3,2,7,2,9
70702,CHARAGUA,desnutricion aguda,desnutricion moderada (m),2007-01-01,6,5,0,10,6,15,21
50202,CHAYANTA,desnutricion aguda,desnutricion moderada (m),2007-01-01,6,8,13,12,19,20,39
31204,CHIMORE,desnutricion aguda,desnutricion moderada (m),2007-01-01,15,13,7,4,22,17,39
40903,CHIPAYA,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,2,0,1,1,3,4
90101,COBIJA,desnutricion aguda,desnutricion moderada (m),2007-01-01,8,3,3,4,11,7,18
30101,COCHABAMBA,desnutricion aguda,desnutricion moderada (m),2007-01-01,116,104,80,60,196,164,360
40902,COIPASA,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,1,0,0,1,1,2
30905,COLCAPIRHUA,desnutricion aguda,desnutricion moderada (m),2007-01-01,4,7,0,4,4,11,15
50901,"COLCHA ""K""",desnutricion aguda,desnutricion moderada (m),2007-01-01,1,1,1,0,2,1,3
31002,COLOMI,desnutricion aguda,desnutricion moderada (m),2007-01-01,8,14,8,2,16,16,32
70603,COLPA BELGICA,desnutricion aguda,desnutricion moderada (m),2007-01-01,4,0,4,3,8,3,11
50401,COLQUECHACA,desnutricion aguda,desnutricion moderada (m),2007-01-01,17,20,8,11,25,31,56
21004,COLQUIRI,desnutricion aguda,desnutricion moderada (m),2007-01-01,2,1,0,2,2,3,5
71301,COMARAPA,desnutricion aguda,desnutricion moderada (m),2007-01-01,3,6,5,5,8,11,19
71101,CONCEPCION,desnutricion aguda,desnutricion moderada (m),2007-01-01,3,5,2,4,5,9,14
40301,CORQUE,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,0,1,1,2,1,3
50601,COTAGAITA,desnutricion aguda,desnutricion moderada (m),2007-01-01,10,14,11,7,21,21,42
71106,CUATRO CAÑADAS,desnutricion aguda,desnutricion moderada (m),2007-01-01,1,0,1,0,2,0,2
31405,CUCHUMUELA (V. G. VILLARROEL),desnutricion aguda,desnutricion moderada (m),2007-01-01,0,0,0,1,0,1,1
70704,CUEVO,desnutricion aguda,desnutricion moderada (m),2007-01-01,2,3,2,2,4,5,9
10902,CULPINA,desnutricion aguda,desnutricion moderada (m),2007-01-01,9,17,11,14,20,31,51
40401,CURAHUARA DE CARANGAS,desnutricion aguda,desnutricion moderada (m),2007-01-01,2,1,2,2,4,3,7
71503,EL PUENTE(STC),desnutricion aguda,desnutricion moderada (m),2007-01-01,7,3,1,3,8,6,14
