codigo_municipio,municipio,grupo,variable,mes,menores a 1 año,de 1 a 4 años,de 5 a 9 años,de 10 a 20 años,de 21 a 59 años,de 60 y más años,total
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2008-04-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
60303,VILLA MONTES,sospecha diagnostica,enfer. por hanta virus,2008-04-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2008-04-01,0.0,0.0,0.0,1.0,2.0,0.0,3.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2008-06-01,0.0,0.0,1.0,0.0,0.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2008-06-01,0.0,0.0,0.0,1.0,0.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2008-07-01,0.0,0.0,0.0,1.0,0.0,0.0,1.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2008-07-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2008-08-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2008-08-01,0.0,0.0,0.0,0.0,4.0,0.0,4.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2008-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2008-10-01,0.0,0.0,0.0,1.0,0.0,0.0,1.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2008-10-01,0.0,0.0,0.0,0.0,4.0,0.0,4.0
60201,PADCAYA,sospecha diagnostica,enfer. por hanta virus,2008-11-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2009-01-01,0.0,0.0,0.0,0.0,2.0,0.0,2.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2009-01-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
