codigo_municipio,municipio,grupo,variable,mes,< de 2 años-H,< de 2 años-M,2 a 4 años-H,2 a 4 años-M,TOTAL-H,TOTAL-M,TOTAL
51302,ACACIO,desnutricion global,desnutricion moderada (m),2005-01-01,9,10,7,11,16,21,37
20201,ACHACACHI,desnutricion global,desnutricion moderada (m),2005-01-01,5,5,7,12,12,17,29
20104,ACHOCALLA,desnutricion global,desnutricion moderada (m),2005-01-01,6,10,4,3,10,13,23
30201,AIQUILE,desnutricion global,desnutricion moderada (m),2005-01-01,11,2,7,5,18,7,25
10404,ALCALA,desnutricion global,desnutricion moderada (m),2005-01-01,8,4,8,7,16,11,27
20202,ANCORAIMES,desnutricion global,desnutricion moderada (m),2005-01-01,7,5,2,8,9,13,22
41201,ANDAMARCA,desnutricion global,desnutricion moderada (m),2005-01-01,1,0,0,0,1,0,1
40603,ANTEQUERA,desnutricion global,desnutricion moderada (m),2005-01-01,3,2,2,1,5,3,8
30402,ANZALDO,desnutricion global,desnutricion moderada (m),2005-01-01,2,3,1,2,3,5,8
20701,APOLO,desnutricion global,desnutricion moderada (m),2005-01-01,7,5,4,7,11,12,23
51301,ARAMPAMPA,desnutricion global,desnutricion moderada (m),2005-01-01,3,1,0,2,3,3,6
30501,ARANI,desnutricion global,desnutricion moderada (m),2005-01-01,2,6,2,0,4,6,10
30403,ARBIETO,desnutricion global,desnutricion moderada (m),2005-01-01,1,0,0,1,1,1,2
30601,ARQUE,desnutricion global,desnutricion moderada (m),2005-01-01,7,7,5,7,12,14,26
50802,ATOCHA,desnutricion global,desnutricion moderada (m),2005-01-01,6,6,6,13,12,19,31
20503,AUCAPATA,desnutricion global,desnutricion moderada (m),2005-01-01,0,1,4,3,4,4,8
20502,AYATA,desnutricion global,desnutricion moderada (m),2005-01-01,8,3,4,0,12,3,15
30301,AYOPAYA (V. DE INDEPENDENCIA),desnutricion global,desnutricion moderada (m),2005-01-01,9,18,5,13,14,31,45
10201,AZURDUY,desnutricion global,desnutricion moderada (m),2005-01-01,10,20,13,18,23,38,61
21203,BATALLAS,desnutricion global,desnutricion moderada (m),2005-01-01,2,3,1,0,3,3,6
80802,BAURES,desnutricion global,desnutricion moderada (m),2005-01-01,4,0,1,0,5,0,5
50104,BELEN DE URMIRI,desnutricion global,desnutricion moderada (m),2005-01-01,0,1,1,0,1,1,2
60202,BERMEJO,desnutricion global,desnutricion moderada (m),2005-01-01,0,0,1,0,1,0,1
50301,BETANZOS,desnutricion global,desnutricion moderada (m),2005-01-01,31,29,29,24,60,53,113
31501,BOLIVAR,desnutricion global,desnutricion moderada (m),2005-01-01,10,9,24,19,34,28,62
70707,BOYUIBE,desnutricion global,desnutricion moderada (m),2005-01-01,1,0,0,4,1,4,5
70401,BUENA VISTA,desnutricion global,desnutricion moderada (m),2005-01-01,1,0,0,1,1,1,2
70703,CABEZAS,desnutricion global,desnutricion moderada (m),2005-01-01,6,6,2,1,8,7,15
20905,CAIROMA,desnutricion global,desnutricion moderada (m),2005-01-01,11,8,13,10,24,18,42
51102,"CAIZA ""D""",desnutricion global,desnutricion moderada (m),2005-01-01,4,1,10,5,14,6,20
21003,CAJUATA,desnutricion global,desnutricion moderada (m),2005-01-01,2,1,7,1,9,2,11
21304,CALAMARCA,desnutricion global,desnutricion moderada (m),2005-01-01,22,14,20,21,42,35,77
10701,CAMARGO,desnutricion global,desnutricion moderada (m),2005-01-01,7,10,9,7,16,17,33
10901,CAMATAQUI (C. VILLA ABECIA),desnutricion global,desnutricion moderada (m),2005-01-01,3,1,0,1,3,2,5
70706,CAMIRI,desnutricion global,desnutricion moderada (m),2005-01-01,11,25,14,26,25,51,76
30701,CAPINOTA,desnutricion global,desnutricion moderada (m),2005-01-01,14,4,0,9,14,13,27
20302,CAQUIAVIRI,desnutricion global,desnutricion moderada (m),2005-01-01,0,3,2,1,2,4,6
40102,CARACOLLO,desnutricion global,desnutricion moderada (m),2005-01-01,10,6,0,4,10,10,20
22001,CARANAVI,desnutricion global,desnutricion moderada (m),2005-01-01,10,18,10,14,20,32,52
60302,CARAPARI,desnutricion global,desnutricion moderada (m),2005-01-01,2,4,4,0,6,4,10
40201,CHALLAPATA,desnutricion global,desnutricion moderada (m),2005-01-01,7,8,6,8,13,16,29
50302,CHAQUI,desnutricion global,desnutricion moderada (m),2005-01-01,1,1,4,0,5,1,6
70702,CHARAGUA,desnutricion global,desnutricion moderada (m),2005-01-01,16,17,7,13,23,30,53
