codigo_municipio,municipio,grupo,variable,mes,< de 2 años-H,< de 2 años-M,2 a 4 años-H,2 a 4 años-M,TOTAL-H,TOTAL-M,TOTAL
30403,ARBIETO,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,2,0,0,0,2,0,2
41202,BELEN DE ANDAMARCA,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,1,0,0,0,1,0,1
40201,CHALLAPATA,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,17,23,18,7,35,30,65
40302,CHOQUE COTA,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,1,4,2,3,3,7,10
21004,COLQUIRI,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,15,15,7,2,22,17,39
40301,CORQUE,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,2,1,3,7,5,8,13
40401,CURAHUARA DE CARANGAS,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,3,1,5,1,8,2,10
41101,EUCALIPTUS,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,4,2,5,1,9,3,12
21005,ICHOCA,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,0,2,0,1,0,3,3
21001,INQUISIVI,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,12,2,15,14,27,16,43
70104,LA GUARDIA,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,9,11,3,4,12,15,27
50203,LLALLAGUA,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,5,2,1,0,6,2,8
30302,MOROCHATA,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,9,0,0,0,9,0,9
40101,ORURO,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,41,37,13,19,54,56,110
40601,POOPO,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,3,3,7,3,10,6,16
80301,REYES,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,2,4,4,2,6,6,12
80304,RURRENABAQUE,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,0,0,0,1,0,1,1
40901,SABAYA,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,2,3,1,0,3,3,6
40801,SALINAS DE GARCI MENDOZA,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,4,1,9,5,13,6,19
80602,SAN ANDRES,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,3,10,4,2,7,12,19
80102,SAN JAVIER(BNI),desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,0,0,1,1,1,1,2
60501,SAN LORENZO(TJA),desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,0,2,0,0,0,2,2
70101,SANTA CRUZ DE LA SIERRA,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,13,11,3,3,16,14,30
40104,SORACACHI,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,1,1,2,1,3,2,5
10101,SUCRE,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,1,0,0,1,1,1,2
30401,TARATA,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,1,0,0,0,1,0,1
60101,TARIJA,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,11,20,31,25,42,45,87
30803,TOLATA,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,0,0,1,0,1,0,1
50502,TORO TORO,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,2,0,0,0,2,0,2
41301,TOTORA(ORR),desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,4,6,10,3,14,9,23
80101,TRINIDAD,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,8,9,2,3,10,12,22
40402,TURCO,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,10,7,3,2,13,9,22
31003,VILLA TUNARI,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,1,0,0,0,1,0,1
60301,YACUIBA,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,6,3,3,5,9,8,17
41201,ANDAMARCA,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,4,2,3,0,7,2,9
30402,ANZALDO,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,4,1,2,1,6,2,8
71501,ASCENCION DE GUARAYOS,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,5,4,1,2,6,6,12
41202,BELEN DE ANDAMARCA,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,1,0,0,0,1,0,1
40201,CHALLAPATA,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,11,16,10,8,21,24,45
40903,CHIPAYA,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,0,0,0,1,0,1,1
40302,CHOQUE COTA,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,1,0,1,0,2,0,2
40902,COIPASA,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,1,0,0,0,1,0,1
50401,COLQUECHACA,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,0,0,0,2,0,2,2
21004,COLQUIRI,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,14,9,4,1,18,10,28
40301,CORQUE,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,1,1,4,3,5,4,9
40401,CURAHUARA DE CARANGAS,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,0,2,0,1,0,3,3
40103,EL CHORO,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,1,0,0,2,1,2,3
41101,EUCALIPTUS,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,0,1,0,0,0,1,1
40701,HUANUNI,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,0,2,0,1,0,3,3
21005,ICHOCA,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,3,4,0,2,3,6,9
21001,INQUISIVI,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,13,1,8,6,21,7,28
50203,LLALLAGUA,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,1,2,1,0,2,2,4
40702,MACHACAMARCA,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,3,0,4,2,7,2,9
40101,ORURO,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,45,26,15,17,60,43,103
40601,POOPO,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,1,2,2,4,3,6,9
90301,PUERTO GONZALO MORENO,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,2,0,0,0,2,0,2
40901,SABAYA,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,1,2,1,1,2,3,5
30404,SACABAMBA,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,1,1,0,0,1,1,2
