codigo_municipio,municipio,grupo,variable,mes,hombres cantidad,mujeres cantidad,hombres total,mujeres total,total
20201,ACHACACHI,mortalidad institucional,muerte materna,2004-01-01,0,1,0,1,1
70702,CHARAGUA,mortalidad institucional,muerte materna,2004-01-01,0,1,0,1,1
10902,CULPINA,mortalidad institucional,muerte materna,2004-01-01,0,1,0,1,1
20105,EL ALTO,mortalidad institucional,muerte materna,2004-01-01,1,0,1,0,1
10703,INCAHUASI,mortalidad institucional,muerte materna,2004-01-01,0,1,0,1,1
40101,ORURO,mortalidad institucional,muerte materna,2004-01-01,1,0,1,0,1
10401,PADILLA,mortalidad institucional,muerte materna,2004-01-01,0,1,0,1,1
80501,SAN IGNACIO,mortalidad institucional,muerte materna,2004-01-01,1,0,1,0,1
20803,TIAWANACU,mortalidad institucional,muerte materna,2004-01-01,0,1,0,1,1
50102,TINGUIPAYA,mortalidad institucional,muerte materna,2004-01-01,0,1,0,1,1
50801,TUPIZA,mortalidad institucional,muerte materna,2004-01-01,0,4,0,4,4
50201,UNCIA,mortalidad institucional,muerte materna,2004-01-01,0,1,0,1,1
10801,VILLA SERRANO,mortalidad institucional,muerte materna,2004-01-01,0,1,0,1,1
21104,PALOS BLANCOS,mortalidad institucional,muerte materna,2004-02-01,0,1,0,1,1
50101,POTOSI,mortalidad institucional,muerte materna,2004-02-01,1,0,1,0,1
20403,PUERTO CARABUCO,mortalidad institucional,muerte materna,2004-02-01,0,1,0,1,1
80201,RIBERALTA,mortalidad institucional,muerte materna,2004-02-01,1,2,1,2,3
71104,SAN JULIAN,mortalidad institucional,muerte materna,2004-02-01,0,1,0,1,1
10702,SAN LUCAS,mortalidad institucional,muerte materna,2004-02-01,1,0,1,0,1
70101,SANTA CRUZ DE LA SIERRA,mortalidad institucional,muerte materna,2004-02-01,2,0,2,0,2
21301,SICA SICA (VILLA AROMA),mortalidad institucional,muerte materna,2004-02-01,0,1,0,1,1
60101,TARIJA,mortalidad institucional,muerte materna,2004-02-01,1,0,1,0,1
10202,TARVITA,mortalidad institucional,muerte materna,2004-02-01,0,1,0,1,1
70706,CAMIRI,mortalidad institucional,muerte materna,2004-03-01,1,0,1,0,1
22001,CARANAVI,mortalidad institucional,muerte materna,2004-03-01,0,1,0,1,1
30101,COCHABAMBA,mortalidad institucional,muerte materna,2004-03-01,1,0,1,0,1
20105,EL ALTO,mortalidad institucional,muerte materna,2004-03-01,1,1,1,1,2
20101,LA PAZ,mortalidad institucional,muerte materna,2004-03-01,1,0,1,0,1
70202,OKINAWA,mortalidad institucional,muerte materna,2004-03-01,0,1,0,1,1
50403,POCOATA,mortalidad institucional,muerte materna,2004-03-01,0,1,0,1,1
10103,POROMA,mortalidad institucional,muerte materna,2004-03-01,0,1,0,1,1
70501,SAN JOSE DE CHIQUITOS,mortalidad institucional,muerte materna,2004-03-01,0,1,0,1,1
10101,SUCRE,mortalidad institucional,muerte materna,2004-03-01,1,0,1,0,1
10202,TARVITA,mortalidad institucional,muerte materna,2004-03-01,0,1,0,1,1
50102,TINGUIPAYA,mortalidad institucional,muerte materna,2004-03-01,0,1,0,1,1
50502,TORO TORO,mortalidad institucional,muerte materna,2004-03-01,0,1,0,1,1
80101,TRINIDAD,mortalidad institucional,muerte materna,2004-03-01,1,0,1,0,1
