codigo_municipio,municipio,grupo,variable,mes,Nro.,Nro. Afectados,Nro. Fallecidos,TOTAL
31204,CHIMORE,registro de eventos de notificacion inmediata,inundacion,2010-01-01,5.0,1480.0,0.0,1485.0
20105,EL ALTO,registro de eventos de notificacion inmediata,inundacion,2010-01-01,2.0,835.0,0.0,837.0
40103,EL CHORO,registro de eventos de notificacion inmediata,inundacion,2010-01-01,36.0,110.0,0.0,146.0
71002,GENERAL SAAVEDRA,registro de eventos de notificacion inmediata,inundacion,2010-01-01,2.0,158.0,0.0,160.0
71003,MINEROS,registro de eventos de notificacion inmediata,inundacion,2010-01-01,1.0,20.0,0.0,21.0
70202,OKINAWA,registro de eventos de notificacion inmediata,inundacion,2010-01-01,2.0,40.0,0.0,42.0
10103,POROMA,registro de eventos de notificacion inmediata,inundacion,2010-01-01,1.0,2.0,1.0,4.0
31205,PUERTO VILLARROEL,registro de eventos de notificacion inmediata,inundacion,2010-01-01,6.0,1931.0,0.0,1937.0
71005,SAN PEDRO,registro de eventos de notificacion inmediata,inundacion,2010-01-01,1.0,31.0,0.0,32.0
70602,SANTA ROSA DEL SARA,registro de eventos de notificacion inmediata,inundacion,2010-01-01,3.0,420.0,0.0,423.0
31003,VILLA TUNARI,registro de eventos de notificacion inmediata,inundacion,2010-01-01,3.0,500.0,0.0,503.0
70201,WARNES,registro de eventos de notificacion inmediata,inundacion,2010-01-01,4.0,1284.0,0.0,1288.0
71002,GENERAL SAAVEDRA,registro de eventos de notificacion inmediata,inundacion,2010-02-01,5.0,1032.0,0.0,1037.0
31205,PUERTO VILLARROEL,registro de eventos de notificacion inmediata,inundacion,2010-02-01,9.0,2749.0,0.0,2758.0
80304,RURRENABAQUE,registro de eventos de notificacion inmediata,inundacion,2010-02-01,2.0,130.0,0.0,132.0
80401,SANTA ANA,registro de eventos de notificacion inmediata,inundacion,2010-02-01,2.0,1435.0,0.0,1437.0
70403,YAPACANI,registro de eventos de notificacion inmediata,inundacion,2010-02-01,6.0,371.0,0.0,377.0
20602,GUANAY,registro de eventos de notificacion inmediata,inundacion,2010-03-01,1.0,225.0,0.0,226.0
70202,OKINAWA,registro de eventos de notificacion inmediata,inundacion,2010-03-01,1.0,53.0,0.0,54.0
80703,PUERTO SILES,registro de eventos de notificacion inmediata,inundacion,2010-03-01,8.0,41.0,0.0,49.0
31205,PUERTO VILLARROEL,registro de eventos de notificacion inmediata,inundacion,2010-03-01,1.0,100.0,0.0,101.0
80304,RURRENABAQUE,registro de eventos de notificacion inmediata,inundacion,2010-03-01,1.0,44.0,0.0,45.0
80303,SANTA ROSA,registro de eventos de notificacion inmediata,inundacion,2010-03-01,0.0,1036.0,0.0,1036.0
31205,PUERTO VILLARROEL,registro de eventos de notificacion inmediata,inundacion,2010-10-01,1.0,180.0,0.0,181.0
31003,VILLA TUNARI,registro de eventos de notificacion inmediata,inundacion,2010-12-01,0.0,1.0,4.0,5.0
70101,SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,inundacion,2011-01-01,0.0,0.0,0.0,0.0
22002,ALTO BENI,registro de eventos de notificacion inmediata,inundacion,2011-02-01,1.0,144.0,0.0,145.0
60202,BERMEJO,registro de eventos de notificacion inmediata,inundacion,2011-02-01,1.0,30.0,0.0,31.0
31204,CHIMORE,registro de eventos de notificacion inmediata,inundacion,2011-02-01,2.0,180.0,0.0,182.0
20602,GUANAY,registro de eventos de notificacion inmediata,inundacion,2011-02-01,1.0,1016.0,0.0,1017.0
21001,INQUISIVI,registro de eventos de notificacion inmediata,inundacion,2011-02-01,1.0,0.0,0.0,1.0
80601,LORETO,registro de eventos de notificacion inmediata,inundacion,2011-02-01,2.0,350.0,0.0,352.0
31205,PUERTO VILLARROEL,registro de eventos de notificacion inmediata,inundacion,2011-02-01,3.0,555.0,0.0,558.0
80301,REYES,registro de eventos de notificacion inmediata,inundacion,2011-02-01,18.0,8691.0,0.0,8709.0
80201,RIBERALTA,registro de eventos de notificacion inmediata,inundacion,2011-02-01,1.0,80.0,0.0,81.0
80304,RURRENABAQUE,registro de eventos de notificacion inmediata,inundacion,2011-02-01,2.0,3700.0,12.0,3714.0
31001,SACABA,registro de eventos de notificacion inmediata,inundacion,2011-02-01,1.0,6.0,0.0,7.0
80302,SAN BORJA,registro de eventos de notificacion inmediata,inundacion,2011-02-01,3.0,4972.0,0.0,4975.0
80501,SAN IGNACIO,registro de eventos de notificacion inmediata,inundacion,2011-02-01,8.0,500.0,0.0,508.0
70101,SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,inundacion,2011-02-01,0.0,0.0,0.0,0.0
80303,SANTA ROSA,registro de eventos de notificacion inmediata,inundacion,2011-02-01,15.0,142.0,0.0,157.0
30903,TIQUIPAYA,registro de eventos de notificacion inmediata,inundacion,2011-02-01,1.0,121.0,0.0,122.0
31003,VILLA TUNARI,registro de eventos de notificacion inmediata,inundacion,2011-02-01,3.0,2086.0,0.0,2089.0
