codigo_municipio,municipio,grupo,variable,mes,< de 2 años-H,< de 2 años-M,2 a 4 años-H,2 a 4 años-M,TOTAL-H,TOTAL-M,TOTAL
51302,ACACIO,desnutricion global,sobrepeso (s),2005-01-01,1,5,0,0,1,5,6
20201,ACHACACHI,desnutricion global,sobrepeso (s),2005-01-01,22,25,6,229,28,254,282
30201,AIQUILE,desnutricion global,sobrepeso (s),2005-01-01,6,5,0,1,6,6,12
31303,ALALAY,desnutricion global,sobrepeso (s),2005-01-01,5,9,15,3,20,12,32
10404,ALCALA,desnutricion global,sobrepeso (s),2005-01-01,9,6,1,2,10,8,18
20202,ANCORAIMES,desnutricion global,sobrepeso (s),2005-01-01,2,4,2,3,4,7,11
41201,ANDAMARCA,desnutricion global,sobrepeso (s),2005-01-01,2,0,1,1,3,1,4
40603,ANTEQUERA,desnutricion global,sobrepeso (s),2005-01-01,0,2,0,0,0,2,2
20701,APOLO,desnutricion global,sobrepeso (s),2005-01-01,13,3,1,2,14,5,19
51301,ARAMPAMPA,desnutricion global,sobrepeso (s),2005-01-01,0,1,0,0,0,1,1
30501,ARANI,desnutricion global,sobrepeso (s),2005-01-01,6,3,1,1,7,4,11
30403,ARBIETO,desnutricion global,sobrepeso (s),2005-01-01,2,3,0,0,2,3,5
30601,ARQUE,desnutricion global,sobrepeso (s),2005-01-01,0,1,0,0,0,1,1
50802,ATOCHA,desnutricion global,sobrepeso (s),2005-01-01,33,26,3,4,36,30,66
20503,AUCAPATA,desnutricion global,sobrepeso (s),2005-01-01,6,4,1,1,7,5,12
20502,AYATA,desnutricion global,sobrepeso (s),2005-01-01,7,3,3,0,10,3,13
21303,AYO AYO,desnutricion global,sobrepeso (s),2005-01-01,10,9,0,2,10,11,21
30301,AYOPAYA (V. DE INDEPENDENCIA),desnutricion global,sobrepeso (s),2005-01-01,6,14,2,7,8,21,29
10201,AZURDUY,desnutricion global,sobrepeso (s),2005-01-01,18,4,3,0,21,4,25
21203,BATALLAS,desnutricion global,sobrepeso (s),2005-01-01,11,8,4,2,15,10,25
80802,BAURES,desnutricion global,sobrepeso (s),2005-01-01,17,0,8,0,25,0,25
41202,BELEN DE ANDAMARCA,desnutricion global,sobrepeso (s),2005-01-01,0,0,1,0,1,0,1
50104,BELEN DE URMIRI,desnutricion global,sobrepeso (s),2005-01-01,0,1,0,1,0,2,2
90104,BELLA FLOR,desnutricion global,sobrepeso (s),2005-01-01,1,0,1,1,2,1,3
60202,BERMEJO,desnutricion global,sobrepeso (s),2005-01-01,19,9,7,0,26,9,35
50301,BETANZOS,desnutricion global,sobrepeso (s),2005-01-01,17,9,1,1,18,10,28
31501,BOLIVAR,desnutricion global,sobrepeso (s),2005-01-01,3,7,1,1,4,8,12
70707,BOYUIBE,desnutricion global,sobrepeso (s),2005-01-01,6,3,0,1,6,4,10
70401,BUENA VISTA,desnutricion global,sobrepeso (s),2005-01-01,43,31,10,6,53,37,90
70703,CABEZAS,desnutricion global,sobrepeso (s),2005-01-01,29,14,11,5,40,19,59
20905,CAIROMA,desnutricion global,sobrepeso (s),2005-01-01,3,4,0,1,3,5,8
51102,"CAIZA ""D""",desnutricion global,sobrepeso (s),2005-01-01,10,7,1,6,11,13,24
21003,CAJUATA,desnutricion global,sobrepeso (s),2005-01-01,24,12,0,0,24,12,36
20303,CALACOTO,desnutricion global,sobrepeso (s),2005-01-01,3,1,0,0,3,1,4
21304,CALAMARCA,desnutricion global,sobrepeso (s),2005-01-01,5,4,0,0,5,4,9
10701,CAMARGO,desnutricion global,sobrepeso (s),2005-01-01,7,7,2,1,9,8,17
10901,CAMATAQUI (C. VILLA ABECIA),desnutricion global,sobrepeso (s),2005-01-01,7,3,0,1,7,4,11
70706,CAMIRI,desnutricion global,sobrepeso (s),2005-01-01,71,54,20,7,91,61,152
30701,CAPINOTA,desnutricion global,sobrepeso (s),2005-01-01,16,22,4,7,20,29,49
20302,CAQUIAVIRI,desnutricion global,sobrepeso (s),2005-01-01,3,7,2,2,5,9,14
40102,CARACOLLO,desnutricion global,sobrepeso (s),2005-01-01,11,16,0,0,11,16,27
22001,CARANAVI,desnutricion global,sobrepeso (s),2005-01-01,93,21,6,0,99,21,120
60302,CARAPARI,desnutricion global,sobrepeso (s),2005-01-01,22,27,3,2,25,29,54
21902,CATACORA,desnutricion global,sobrepeso (s),2005-01-01,1,1,0,0,1,1,2
40201,CHALLAPATA,desnutricion global,sobrepeso (s),2005-01-01,7,6,1,0,8,6,14
50302,CHAQUI,desnutricion global,sobrepeso (s),2005-01-01,1,1,0,0,1,1,2
70702,CHARAGUA,desnutricion global,sobrepeso (s),2005-01-01,30,34,19,10,49,44,93
20305,CHARAÑA,desnutricion global,sobrepeso (s),2005-01-01,1,0,0,0,1,0,1
50202,CHAYANTA,desnutricion global,sobrepeso (s),2005-01-01,28,7,1,4,29,11,40
31204,CHIMORE,desnutricion global,sobrepeso (s),2005-01-01,22,18,6,3,28,21,49
40903,CHIPAYA,desnutricion global,sobrepeso (s),2005-01-01,4,5,0,0,4,5,9
21101,CHULUMANI (V. DE LA LIBERTAD),desnutricion global,sobrepeso (s),2005-01-01,5,10,8,1,13,11,24
20501,CHUMA,desnutricion global,sobrepeso (s),2005-01-01,4,4,0,0,4,4,8
30801,CLIZA,desnutricion global,sobrepeso (s),2005-01-01,30,34,3,9,33,43,76
90101,COBIJA,desnutricion global,sobrepeso (s),2005-01-01,84,45,9,2,93,47,140
30101,COCHABAMBA,desnutricion global,sobrepeso (s),2005-01-01,371,291,58,62,429,353,782
40902,COIPASA,desnutricion global,sobrepeso (s),2005-01-01,1,0,0,0,1,0,1
30905,COLCAPIRHUA,desnutricion global,sobrepeso (s),2005-01-01,15,16,2,1,17,17,34
50901,"COLCHA ""K""",desnutricion global,sobrepeso (s),2005-01-01,2,2,0,2,2,4,6
31002,COLOMI,desnutricion global,sobrepeso (s),2005-01-01,11,14,1,1,12,15,27
70603,COLPA BELGICA,desnutricion global,sobrepeso (s),2005-01-01,17,4,0,2,17,6,23
50401,COLQUECHACA,desnutricion global,sobrepeso (s),2005-01-01,10,4,1,1,11,5,16
21306,COLQUENCHA,desnutricion global,sobrepeso (s),2005-01-01,2,4,3,2,5,6,11
21004,COLQUIRI,desnutricion global,sobrepeso (s),2005-01-01,14,15,6,8,20,23,43
71301,COMARAPA,desnutricion global,sobrepeso (s),2005-01-01,44,44,17,17,61,61,122
20605,COMBAYA,desnutricion global,sobrepeso (s),2005-01-01,0,2,1,0,1,2,3
71101,CONCEPCION,desnutricion global,sobrepeso (s),2005-01-01,28,0,1,0,29,0,29
21701,COPACABANA,desnutricion global,sobrepeso (s),2005-01-01,19,11,3,1,22,12,34
21402,CORIPATA,desnutricion global,sobrepeso (s),2005-01-01,14,11,0,0,14,11,25
20301,CORO CORO,desnutricion global,sobrepeso (s),2005-01-01,0,5,0,0,0,5,5
21401,COROICO,desnutricion global,sobrepeso (s),2005-01-01,4,2,0,1,4,3,7
40301,CORQUE,desnutricion global,sobrepeso (s),2005-01-01,5,2,0,0,5,2,7
50601,COTAGAITA,desnutricion global,sobrepeso (s),2005-01-01,7,4,6,0,13,4,17
70102,COTOCA,desnutricion global,sobrepeso (s),2005-01-01,57,33,0,3,57,36,93
71106,CUATRO CAÑADAS,desnutricion global,sobrepeso (s),2005-01-01,15,0,15,0,30,0,30
