codigo_municipio,municipio,grupo,variable,mes,total-H,total-M,TOTAL-H1,TOTAL-M1,TOTAL
20201,ACHACACHI,violencia intrafamiliar,violencia contra la mujer,2001-01-01,18,0,18,0,18
30201,AIQUILE,violencia intrafamiliar,violencia contra la mujer,2001-01-01,9,0,9,0,9
20202,ANCORAIMES,violencia intrafamiliar,violencia contra la mujer,2001-01-01,1,0,1,0,1
30501,ARANI,violencia intrafamiliar,violencia contra la mujer,2001-01-01,1,0,1,0,1
50301,BETANZOS,violencia intrafamiliar,violencia contra la mujer,2001-01-01,1,0,1,0,1
20905,CAIROMA,violencia intrafamiliar,violencia contra la mujer,2001-01-01,3,0,3,0,3
21003,CAJUATA,violencia intrafamiliar,violencia contra la mujer,2001-01-01,1,0,1,0,1
10701,CAMARGO,violencia intrafamiliar,violencia contra la mujer,2001-01-01,1,0,1,0,1
22001,CARANAVI,violencia intrafamiliar,violencia contra la mujer,2001-01-01,2,0,2,0,2
50702,CARIPUYO,violencia intrafamiliar,violencia contra la mujer,2001-01-01,2,0,2,0,2
70702,CHARAGUA,violencia intrafamiliar,violencia contra la mujer,2001-01-01,2,0,2,0,2
90101,COBIJA,violencia intrafamiliar,violencia contra la mujer,2001-01-01,2,0,2,0,2
20605,COMBAYA,violencia intrafamiliar,violencia contra la mujer,2001-01-01,2,0,2,0,2
21701,COPACABANA,violencia intrafamiliar,violencia contra la mujer,2001-01-01,1,0,1,0,1
21402,CORIPATA,violencia intrafamiliar,violencia contra la mujer,2001-01-01,1,0,1,0,1
50601,COTAGAITA,violencia intrafamiliar,violencia contra la mujer,2001-01-01,2,0,2,0,2
10902,CULPINA,violencia intrafamiliar,violencia contra la mujer,2001-01-01,1,0,1,0,1
20804,DESAGUADERO,violencia intrafamiliar,violencia contra la mujer,2001-01-01,1,0,1,0,1
20105,EL ALTO,violencia intrafamiliar,violencia contra la mujer,2001-01-01,21,0,21,0,21
60502,EL PUENTE(TJA),violencia intrafamiliar,violencia contra la mujer,2001-01-01,1,0,1,0,1
10405,EL VILLAR,violencia intrafamiliar,violencia contra la mujer,2001-01-01,4,0,4,0,4
70705,GUTIERREZ,violencia intrafamiliar,violencia contra la mujer,2001-01-01,1,0,1,0,1
10502,HUACARETA,violencia intrafamiliar,violencia contra la mujer,2001-01-01,1,0,1,0,1
10703,INCAHUASI,violencia intrafamiliar,violencia contra la mujer,2001-01-01,2,0,2,0,2
70104,LA GUARDIA,violencia intrafamiliar,violencia contra la mujer,2001-01-01,2,0,2,0,2
20101,LA PAZ,violencia intrafamiliar,violencia contra la mujer,2001-01-01,5,0,5,0,5
70701,LAGUNILLAS,violencia intrafamiliar,violencia contra la mujer,2001-01-01,1,0,1,0,1
50203,LLALLAGUA,violencia intrafamiliar,violencia contra la mujer,2001-01-01,1,0,1,0,1
80601,LORETO,violencia intrafamiliar,violencia contra la mujer,2001-01-01,1,0,1,0,1
71003,MINEROS,violencia intrafamiliar,violencia contra la mujer,2001-01-01,1,0,1,0,1
31301,MIZQUE,violencia intrafamiliar,violencia contra la mujer,2001-01-01,1,0,1,0,1
20402,MOCOMOCO,violencia intrafamiliar,violencia contra la mujer,2001-01-01,1,0,1,0,1
10501,MONTEAGUDO,violencia intrafamiliar,violencia contra la mujer,2001-01-01,5,0,5,0,5
40101,ORURO,violencia intrafamiliar,violencia contra la mujer,2001-01-01,2,0,2,0,2
21104,PALOS BLANCOS,violencia intrafamiliar,violencia contra la mujer,2001-01-01,1,0,1,0,1
31203,POCONA,violencia intrafamiliar,violencia contra la mujer,2001-01-01,3,0,3,0,3
31202,POJO (CBBA),violencia intrafamiliar,violencia contra la mujer,2001-01-01,2,0,2,0,2
40601,POOPO,violencia intrafamiliar,violencia contra la mujer,2001-01-01,1,0,1,0,1
10103,POROMA,violencia intrafamiliar,violencia contra la mujer,2001-01-01,2,0,2,0,2
71402,PUERTO QUIJARRO,violencia intrafamiliar,violencia contra la mujer,2001-01-01,2,0,2,0,2
31401,PUNATA,violencia intrafamiliar,violencia contra la mujer,2001-01-01,4,0,4,0,4
31001,SACABA,violencia intrafamiliar,violencia contra la mujer,2001-01-01,2,0,2,0,2
31403,SAN BENITO,violencia intrafamiliar,violencia contra la mujer,2001-01-01,1,0,1,0,1
71104,SAN JULIAN,violencia intrafamiliar,violencia contra la mujer,2001-01-01,1,0,1,0,1
10702,SAN LUCAS,violencia intrafamiliar,violencia contra la mujer,2001-01-01,2,0,2,0,2
70101,SANTA CRUZ DE LA SIERRA,violencia intrafamiliar,violencia contra la mujer,2001-01-01,2,0,2,0,2
70602,SANTA ROSA DEL SARA,violencia intrafamiliar,violencia contra la mujer,2001-01-01,1,0,1,0,1
30703,SICAYA,violencia intrafamiliar,violencia contra la mujer,2001-01-01,1,0,1,0,1
10403,SOPACHUY,violencia intrafamiliar,violencia contra la mujer,2001-01-01,1,0,1,0,1
20601,SORATA,violencia intrafamiliar,violencia contra la mujer,2001-01-01,3,0,3,0,3
10101,SUCRE,violencia intrafamiliar,violencia contra la mujer,2001-01-01,2,0,2,0,2
20603,TACACOMA,violencia intrafamiliar,violencia contra la mujer,2001-01-01,1,0,1,0,1
30401,TARATA,violencia intrafamiliar,violencia contra la mujer,2001-01-01,4,0,4,0,4
60101,TARIJA,violencia intrafamiliar,violencia contra la mujer,2001-01-01,1,0,1,0,1
30903,TIQUIPAYA,violencia intrafamiliar,violencia contra la mujer,2001-01-01,5,0,5,0,5
31601,TIRAQUE (CBBA),violencia intrafamiliar,violencia contra la mujer,2001-01-01,4,0,4,0,4
41001,TOLEDO,violencia intrafamiliar,violencia contra la mujer,2001-01-01,2,0,2,0,2
31201,TOTORA(CBBA),violencia intrafamiliar,violencia contra la mujer,2001-01-01,1,0,1,0,1
50801,TUPIZA,violencia intrafamiliar,violencia contra la mujer,2001-01-01,3,0,3,0,3
31402,VILLA RIVERO,violencia intrafamiliar,violencia contra la mujer,2001-01-01,1,0,1,0,1
10801,VILLA SERRANO,violencia intrafamiliar,violencia contra la mujer,2001-01-01,1,0,1,0,1
11001,VILLA VACA GUZMAN (MUYUPAMPA),violencia intrafamiliar,violencia contra la mujer,2001-01-01,2,0,2,0,2
10602,YAMPARAEZ,violencia intrafamiliar,violencia contra la mujer,2001-01-01,3,0,3,0,3
10102,YOTALA,violencia intrafamiliar,violencia contra la mujer,2001-01-01,3,0,3,0,3
20104,ACHOCALLA,violencia intrafamiliar,violencia contra la mujer,2001-02-01,1,0,1,0,1
30201,AIQUILE,violencia intrafamiliar,violencia contra la mujer,2001-02-01,3,0,3,0,3
10404,ALCALA,violencia intrafamiliar,violencia contra la mujer,2001-02-01,3,0,3,0,3
30403,ARBIETO,violencia intrafamiliar,violencia contra la mujer,2001-02-01,1,0,1,0,1
30601,ARQUE,violencia intrafamiliar,violencia contra la mujer,2001-02-01,5,0,5,0,5
30301,AYOPAYA (V. DE INDEPENDENCIA),violencia intrafamiliar,violencia contra la mujer,2001-02-01,1,0,1,0,1
60202,BERMEJO,violencia intrafamiliar,violencia contra la mujer,2001-02-01,2,0,2,0,2
20905,CAIROMA,violencia intrafamiliar,violencia contra la mujer,2001-02-01,2,0,2,0,2
51102,"CAIZA ""D""",violencia intrafamiliar,violencia contra la mujer,2001-02-01,1,0,1,0,1
21003,CAJUATA,violencia intrafamiliar,violencia contra la mujer,2001-02-01,3,0,3,0,3
10701,CAMARGO,violencia intrafamiliar,violencia contra la mujer,2001-02-01,3,0,3,0,3
10901,CAMATAQUI (C. VILLA ABECIA),violencia intrafamiliar,violencia contra la mujer,2001-02-01,1,0,1,0,1
60302,CARAPARI,violencia intrafamiliar,violencia contra la mujer,2001-02-01,1,0,1,0,1
50702,CARIPUYO,violencia intrafamiliar,violencia contra la mujer,2001-02-01,1,0,1,0,1
71301,COMARAPA,violencia intrafamiliar,violencia contra la mujer,2001-02-01,1,0,1,0,1
20605,COMBAYA,violencia intrafamiliar,violencia contra la mujer,2001-02-01,1,0,1,0,1
20301,CORO CORO,violencia intrafamiliar,violencia contra la mujer,2001-02-01,1,0,1,0,1
21401,COROICO,violencia intrafamiliar,violencia contra la mujer,2001-02-01,1,0,1,0,1
40301,CORQUE,violencia intrafamiliar,violencia contra la mujer,2001-02-01,1,0,1,0,1
10902,CULPINA,violencia intrafamiliar,violencia contra la mujer,2001-02-01,2,0,2,0,2
20804,DESAGUADERO,violencia intrafamiliar,violencia contra la mujer,2001-02-01,1,0,1,0,1
20105,EL ALTO,violencia intrafamiliar,violencia contra la mujer,2001-02-01,21,0,21,0,21
