codigo_municipio,municipio,grupo,variable,mes,hombres de 1 año,mujeres de 1 año,hombres de 1 a 4 años,mujeres de 1 a 4 años,hombres de 5 a 9 años,mujeres de 5 a 9 años,hombres de 10 a 20 años,mujeres de 10 a 20 años,hombres de 21 a 59 años,mujeres de 21 a 59 años,hombres de 60 y más años,mujeres de 60 y más años,hombres total,mujeres total,total
60202,BERMEJO,otras infecciones,chagas agudo,2010-01-01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0
21401,COROICO,otras infecciones,chagas agudo,2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
20101,LA PAZ,otras infecciones,chagas agudo,2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,4.0,4.0,8.0
10501,MONTEAGUDO,otras infecciones,chagas agudo,2010-01-01,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
51003,SAN ANTONIO DE ESMORUCO,otras infecciones,chagas agudo,2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
70301,SAN IGNACIO DE VELASCO,otras infecciones,chagas agudo,2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,otras infecciones,chagas agudo,2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,5.0,2.0,0.0,18.0,5.0,23.0
10101,SUCRE,otras infecciones,chagas agudo,2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,43.0,2.0,0.0,4.0,58.0,62.0
60101,TARIJA,otras infecciones,chagas agudo,2010-01-01,0.0,0.0,3.0,1.0,0.0,0.0,0.0,9.0,11.0,41.0,1.0,3.0,15.0,54.0,69.0
60301,YACUIBA,otras infecciones,chagas agudo,2010-01-01,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0
30403,ARBIETO,otras infecciones,chagas agudo,2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
50802,ATOCHA,otras infecciones,chagas agudo,2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0
60302,CARAPARI,otras infecciones,chagas agudo,2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
20101,LA PAZ,otras infecciones,chagas agudo,2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
71003,MINEROS,otras infecciones,chagas agudo,2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
31001,SACABA,otras infecciones,chagas agudo,2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
60501,SAN LORENZO(TJA),otras infecciones,chagas agudo,2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0
70101,SANTA CRUZ DE LA SIERRA,otras infecciones,chagas agudo,2010-02-01,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,26.0,1.0,0.0,28.0,27.0,55.0
10101,SUCRE,otras infecciones,chagas agudo,2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,42.0,0.0,2.0,0.0,60.0,60.0
60101,TARIJA,otras infecciones,chagas agudo,2010-02-01,1.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,22.0,53.0,2.0,1.0,29.0,59.0,88.0
60301,YACUIBA,otras infecciones,chagas agudo,2010-02-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
70403,YAPACANI,otras infecciones,chagas agudo,2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,6.0
30905,COLCAPIRHUA,otras infecciones,chagas agudo,2010-03-01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
71301,COMARAPA,otras infecciones,chagas agudo,2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
21402,CORIPATA,otras infecciones,chagas agudo,2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
70102,COTOCA,otras infecciones,chagas agudo,2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
20101,LA PAZ,otras infecciones,chagas agudo,2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0
10303,MOJOCOYA,otras infecciones,chagas agudo,2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
71001,MONTERO,otras infecciones,chagas agudo,2010-03-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
70601,PORTACHUELO,otras infecciones,chagas agudo,2010-03-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,otras infecciones,chagas agudo,2010-03-01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,4.0,7.0
10101,SUCRE,otras infecciones,chagas agudo,2010-03-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,30.0,0.0,2.0,1.0,46.0,47.0
60101,TARIJA,otras infecciones,chagas agudo,2010-03-01,2.0,0.0,0.0,2.0,1.0,1.0,2.0,9.0,33.0,74.0,0.0,2.0,38.0,88.0,126.0
31003,VILLA TUNARI,otras infecciones,chagas agudo,2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0
60301,YACUIBA,otras infecciones,chagas agudo,2010-03-01,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,2.0,7.0
30101,COCHABAMBA,otras infecciones,chagas agudo,2010-04-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,3.0,6.0
71301,COMARAPA,otras infecciones,chagas agudo,2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
20101,LA PAZ,otras infecciones,chagas agudo,2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
10501,MONTEAGUDO,otras infecciones,chagas agudo,2010-04-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
60501,SAN LORENZO(TJA),otras infecciones,chagas agudo,2010-04-01,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0
70101,SANTA CRUZ DE LA SIERRA,otras infecciones,chagas agudo,2010-04-01,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,8.0,11.0,19.0
10101,SUCRE,otras infecciones,chagas agudo,2010-04-01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,58.0,0.0,0.0,4.0,73.0,77.0
30401,TARATA,otras infecciones,chagas agudo,2010-04-01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
60101,TARIJA,otras infecciones,chagas agudo,2010-04-01,1.0,1.0,0.0,1.0,0.0,0.0,4.0,9.0,18.0,21.0,0.0,2.0,23.0,34.0,57.0
50801,TUPIZA,otras infecciones,chagas agudo,2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
31003,VILLA TUNARI,otras infecciones,chagas agudo,2010-04-01,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,7.0,0.0,0.0,7.0,9.0,16.0
51501,VILLAZON,otras infecciones,chagas agudo,2010-04-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,5.0
60301,YACUIBA,otras infecciones,chagas agudo,2010-04-01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
70403,YAPACANI,otras infecciones,chagas agudo,2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0
30501,ARANI,otras infecciones,chagas agudo,2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,4.0,5.0,9.0
50301,BETANZOS,otras infecciones,chagas agudo,2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
21101,CHULUMANI (V. DE LA LIBERTAD),otras infecciones,chagas agudo,2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
30101,COCHABAMBA,otras infecciones,chagas agudo,2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
71301,COMARAPA,otras infecciones,chagas agudo,2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0
21401,COROICO,otras infecciones,chagas agudo,2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0
70104,LA GUARDIA,otras infecciones,chagas agudo,2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,5.0,7.0
20101,LA PAZ,otras infecciones,chagas agudo,2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,4.0
10501,MONTEAGUDO,otras infecciones,chagas agudo,2010-05-01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
31403,SAN BENITO,otras infecciones,chagas agudo,2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
70101,SANTA CRUZ DE LA SIERRA,otras infecciones,chagas agudo,2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,5.0,3.0,8.0
10101,SUCRE,otras infecciones,chagas agudo,2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,53.0,0.0,1.0,0.0,73.0,73.0
30401,TARATA,otras infecciones,chagas agudo,2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0
60101,TARIJA,otras infecciones,chagas agudo,2010-05-01,0.0,0.0,0.0,0.0,0.0,2.0,3.0,11.0,22.0,11.0,0.0,0.0,25.0,24.0,49.0
31003,VILLA TUNARI,otras infecciones,chagas agudo,2010-05-01,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,0.0,1.0,6.0,8.0,14.0
60301,YACUIBA,otras infecciones,chagas agudo,2010-05-01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
30402,ANZALDO,otras infecciones,chagas agudo,2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
30501,ARANI,otras infecciones,chagas agudo,2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
10701,CAMARGO,otras infecciones,chagas agudo,2010-06-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
30101,COCHABAMBA,otras infecciones,chagas agudo,2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
71301,COMARAPA,otras infecciones,chagas agudo,2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
21401,COROICO,otras infecciones,chagas agudo,2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
50601,COTAGAITA,otras infecciones,chagas agudo,2010-06-01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
70104,LA GUARDIA,otras infecciones,chagas agudo,2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,12.0,0.0,0.0,2.0,18.0,20.0
20101,LA PAZ,otras infecciones,chagas agudo,2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,3.0
71003,MINEROS,otras infecciones,chagas agudo,2010-06-01,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0
10501,MONTEAGUDO,otras infecciones,chagas agudo,2010-06-01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
71001,MONTERO,otras infecciones,chagas agudo,2010-06-01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
70601,PORTACHUELO,otras infecciones,chagas agudo,2010-06-01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
70101,SANTA CRUZ DE LA SIERRA,otras infecciones,chagas agudo,2010-06-01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,4.0
70602,SANTA ROSA DEL SARA,otras infecciones,chagas agudo,2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0
10101,SUCRE,otras infecciones,chagas agudo,2010-06-01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,69.0,2.0,1.0,5.0,83.0,88.0
60101,TARIJA,otras infecciones,chagas agudo,2010-06-01,0.0,0.0,1.0,1.0,0.0,1.0,8.0,12.0,28.0,69.0,1.0,1.0,38.0,84.0,122.0
50801,TUPIZA,otras infecciones,chagas agudo,2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0
60301,YACUIBA,otras infecciones,chagas agudo,2010-06-01,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
60202,BERMEJO,otras infecciones,chagas agudo,2010-07-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
30101,COCHABAMBA,otras infecciones,chagas agudo,2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0
71301,COMARAPA,otras infecciones,chagas agudo,2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,5.0,6.0
21401,COROICO,otras infecciones,chagas agudo,2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
31206,ENTRE RIOS CBBA,otras infecciones,chagas agudo,2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
70104,LA GUARDIA,otras infecciones,chagas agudo,2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
20101,LA PAZ,otras infecciones,chagas agudo,2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,4.0
10501,MONTEAGUDO,otras infecciones,chagas agudo,2010-07-01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
71001,MONTERO,otras infecciones,chagas agudo,2010-07-01,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0
