codigo_municipio,municipio,grupo,variable,mes,< de 1 año,1 a 4 años,5 a 14 años,15 a 59 años,60 y más,TOTAL
70705,GUTIERREZ,sospecha diagnostica,tos ferina,2004-01-01,1.0,0.0,0.0,0.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2004-01-01,1.0,2.0,1.0,0.0,0.0,4.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2004-01-01,0.0,1.0,0.0,0.0,0.0,1.0
70705,GUTIERREZ,sospecha diagnostica,tos ferina,2004-02-01,1.0,2.0,0.0,0.0,0.0,3.0
71501,ASCENCION DE GUARAYOS,sospecha diagnostica,tos ferina,2004-03-01,1.0,0.0,0.0,0.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2004-03-01,4.0,3.0,0.0,0.0,0.0,7.0
40101,ORURO,sospecha diagnostica,tos ferina,2004-03-01,0.0,5.0,1.0,0.0,0.0,6.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2004-04-01,2.0,2.0,0.0,0.0,0.0,4.0
40101,ORURO,sospecha diagnostica,tos ferina,2004-04-01,2.0,13.0,0.0,0.0,0.0,15.0
60101,TARIJA,sospecha diagnostica,tos ferina,2004-04-01,2.0,0.0,0.0,0.0,0.0,2.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2004-05-01,1.0,1.0,0.0,0.0,0.0,2.0
40101,ORURO,sospecha diagnostica,tos ferina,2004-05-01,1.0,2.0,0.0,0.0,0.0,3.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2004-06-01,0.0,3.0,0.0,0.0,0.0,3.0
40101,ORURO,sospecha diagnostica,tos ferina,2004-06-01,0.0,3.0,0.0,0.0,0.0,3.0
60101,TARIJA,sospecha diagnostica,tos ferina,2004-06-01,1.0,0.0,0.0,0.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2004-07-01,0.0,1.0,0.0,0.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2004-08-01,1.0,0.0,0.0,0.0,0.0,1.0
40101,ORURO,sospecha diagnostica,tos ferina,2004-08-01,0.0,4.0,3.0,0.0,0.0,7.0
80501,SAN IGNACIO,sospecha diagnostica,tos ferina,2004-08-01,0.0,1.0,0.0,0.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2004-09-01,0.0,1.0,0.0,0.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2004-10-01,1.0,2.0,0.0,0.0,0.0,3.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2004-11-01,0.0,1.0,0.0,0.0,0.0,1.0
70302,SAN MIGUEL DE VELASCO,sospecha diagnostica,tos ferina,2004-11-01,1.0,0.0,0.0,0.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2005-01-01,1.0,0.0,0.0,0.0,0.0,1.0
60101,TARIJA,sospecha diagnostica,tos ferina,2005-01-01,2.0,0.0,0.0,0.0,0.0,2.0
22001,CARANAVI,sospecha diagnostica,tos ferina,2005-02-01,0.0,2.0,0.0,0.0,0.0,2.0
30101,COCHABAMBA,sospecha diagnostica,tos ferina,2005-03-01,1.0,0.0,0.0,0.0,0.0,1.0
60101,TARIJA,sospecha diagnostica,tos ferina,2005-03-01,0.0,0.0,1.0,0.0,0.0,1.0
70702,CHARAGUA,sospecha diagnostica,tos ferina,2005-04-01,1.0,0.0,0.0,0.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2005-04-01,1.0,1.0,0.0,0.0,0.0,2.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2005-05-01,2.0,1.0,1.0,0.0,0.0,4.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2005-05-01,2.0,1.0,1.0,0.0,0.0,4.0
10101,SUCRE,sospecha diagnostica,tos ferina,2005-05-01,1.0,0.0,0.0,0.0,0.0,1.0
60101,TARIJA,sospecha diagnostica,tos ferina,2005-05-01,1.0,0.0,0.0,0.0,0.0,1.0
71002,GENERAL SAAVEDRA,sospecha diagnostica,tos ferina,2005-06-01,0.0,1.0,0.0,0.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2005-06-01,4.0,0.0,0.0,0.0,0.0,4.0
71001,MONTERO,sospecha diagnostica,tos ferina,2005-06-01,2.0,0.0,0.0,0.0,0.0,2.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2005-06-01,1.0,2.0,0.0,0.0,0.0,3.0
60101,TARIJA,sospecha diagnostica,tos ferina,2005-06-01,1.0,0.0,0.0,0.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2005-07-01,0.0,2.0,0.0,0.0,0.0,2.0
60101,TARIJA,sospecha diagnostica,tos ferina,2005-07-01,1.0,0.0,0.0,0.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2005-08-01,2.0,4.0,0.0,0.0,0.0,6.0
71001,MONTERO,sospecha diagnostica,tos ferina,2005-08-01,2.0,0.0,0.0,0.0,0.0,2.0
60101,TARIJA,sospecha diagnostica,tos ferina,2005-08-01,1.0,0.0,0.0,0.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2005-09-01,1.0,0.0,0.0,0.0,0.0,1.0
31001,SACABA,sospecha diagnostica,tos ferina,2005-09-01,1.0,0.0,0.0,0.0,0.0,1.0
