codigo_municipio,municipio,grupo,variable,mes,< de 1 año,1 a 4 años,5 a 14 años,15 a 59 años,60 y más,TOTAL
50301,BETANZOS,sospecha diagnostica,sarampion / rubeola,2004-01-01,1.0,0.0,0.0,0.0,0.0,1.0
30101,COCHABAMBA,sospecha diagnostica,sarampion / rubeola,2004-01-01,0.0,0.0,1.0,0.0,0.0,1.0
70601,PORTACHUELO,sospecha diagnostica,sarampion / rubeola,2004-01-01,1.0,0.0,0.0,0.0,0.0,1.0
80101,TRINIDAD,sospecha diagnostica,sarampion / rubeola,2004-01-01,1.0,0.0,0.0,0.0,0.0,1.0
50802,ATOCHA,sospecha diagnostica,sarampion / rubeola,2004-03-01,1.0,1.0,0.0,0.0,0.0,2.0
30101,COCHABAMBA,sospecha diagnostica,sarampion / rubeola,2004-03-01,0.0,1.0,0.0,0.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,sarampion / rubeola,2004-03-01,1.0,0.0,0.0,0.0,0.0,1.0
30101,COCHABAMBA,sospecha diagnostica,sarampion / rubeola,2004-04-01,1.0,0.0,0.0,0.0,0.0,1.0
20105,EL ALTO,sospecha diagnostica,sarampion / rubeola,2004-04-01,0.0,0.0,1.0,0.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,sarampion / rubeola,2004-04-01,0.0,0.0,1.0,0.0,0.0,1.0
50101,POTOSI,sospecha diagnostica,sarampion / rubeola,2004-05-01,1.0,0.0,0.0,2.0,0.0,3.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,sarampion / rubeola,2004-05-01,0.0,0.0,0.0,1.0,0.0,1.0
80101,TRINIDAD,sospecha diagnostica,sarampion / rubeola,2004-05-01,0.0,1.0,0.0,0.0,0.0,1.0
50901,"COLCHA ""K""",sospecha diagnostica,sarampion / rubeola,2004-06-01,0.0,0.0,0.0,1.0,0.0,1.0
20105,EL ALTO,sospecha diagnostica,sarampion / rubeola,2004-06-01,0.0,0.0,1.0,0.0,0.0,1.0
40701,HUANUNI,sospecha diagnostica,sarampion / rubeola,2004-06-01,0.0,0.0,1.0,0.0,0.0,1.0
71001,MONTERO,sospecha diagnostica,sarampion / rubeola,2004-06-01,1.0,0.0,0.0,0.0,0.0,1.0
40101,ORURO,sospecha diagnostica,sarampion / rubeola,2004-06-01,0.0,0.0,1.0,0.0,0.0,1.0
70601,PORTACHUELO,sospecha diagnostica,sarampion / rubeola,2004-06-01,0.0,1.0,0.0,0.0,0.0,1.0
