codigo_municipio,municipio,grupo,variable,mes,dentro_masculino,dentro-1_femenino,fuera_masculino,fuera-1_femenino,totales_total-m,totales-1_total-f,totales-2_total
30201,AIQUILE,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
50802,ATOCHA,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
10201,AZURDUY,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
70706,CAMIRI,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
22001,CARANAVI,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
21101,CHULUMANI (V. DE LA LIBERTAD),mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
90101,COBIJA,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
30101,COCHABAMBA,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,4.0,7.0,0.0,1.0,4.0,8.0,12.0
20105,EL ALTO,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,5.0,2.0,3.0,1.0,8.0,3.0,11.0
80202,GUAYARAMERIN,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
20101,LA PAZ,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,14.0,5.0,0.0,1.0,14.0,6.0,20.0
50203,LLALLAGUA,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
40101,ORURO,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,5.0,1.0,0.0,0.0,5.0,1.0,6.0
40802,PAMPA AULLAGAS,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
31202,POJO (CBBA),mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
50101,POTOSI,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,0.0,1.0,1.0,1.0,1.0,2.0,3.0
31205,PUERTO VILLARROEL,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
31401,PUNATA,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
30901,QUILLACOLLO,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
50402,RAVELO,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,0.0,0.0,2.0,0.0,2.0,0.0,2.0
80201,RIBERALTA,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
80304,RURRENABAQUE,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
70901,SAMAIPATA,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
70301,SAN IGNACIO DE VELASCO,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
71005,SAN PEDRO,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,10.0,8.0,0.0,0.0,10.0,8.0,18.0
10101,SUCRE,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,3.0,1.0,0.0,0.0,3.0,1.0,4.0
31101,TAPACARI,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
10601,TARABUCO,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
60101,TARIJA,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
31601,TIRAQUE (CBBA),mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
50502,TORO TORO,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
80101,TRINIDAD,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
51201,UYUNI,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
70801,VALLEGRANDE,mortalidad institucional,muerte rn menor de 7 dias,2008-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
