codigo_municipio,municipio,grupo,variable,mes,< de 1 año,1 a 4 años,5 a 9 años,10 a 20 años,21 a 59 años,60 y más,TOTAL
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2008-12-01,1.0,0.0,1.0,1.0,0.0,0.0,3.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2009-01-01,7.0,2.0,0.0,0.0,0.0,0.0,9.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2009-01-01,0.0,0.0,0.0,1.0,0.0,0.0,1.0
60401,URIONDO (A. CONCEPCION),sospecha diagnostica,tos ferina,2009-01-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2009-02-01,1.0,2.0,0.0,0.0,0.0,0.0,3.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2009-02-01,0.0,2.0,0.0,0.0,0.0,0.0,2.0
30101,COCHABAMBA,sospecha diagnostica,tos ferina,2009-03-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2009-03-01,0.0,1.0,0.0,0.0,1.0,0.0,2.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2009-04-01,2.0,1.0,0.0,0.0,0.0,0.0,3.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2009-04-01,0.0,1.0,0.0,0.0,0.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2009-07-01,0.0,3.0,0.0,0.0,0.0,0.0,3.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2009-07-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
70801,VALLEGRANDE,sospecha diagnostica,tos ferina,2009-07-01,0.0,1.0,0.0,0.0,0.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2009-08-01,0.0,1.0,1.0,2.0,0.0,0.0,4.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2009-09-01,2.0,0.0,0.0,0.0,0.0,0.0,2.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2009-10-01,4.0,0.0,0.0,0.0,0.0,0.0,4.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2009-11-01,1.0,1.0,0.0,0.0,0.0,0.0,2.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2009-12-01,3.0,2.0,0.0,0.0,0.0,0.0,5.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2010-02-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2010-03-01,1.0,5.0,0.0,0.0,0.0,0.0,6.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2010-03-01,0.0,0.0,1.0,0.0,1.0,0.0,2.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2010-05-01,5.0,7.0,0.0,0.0,0.0,0.0,12.0
30101,COCHABAMBA,sospecha diagnostica,tos ferina,2010-06-01,2.0,0.0,0.0,0.0,0.0,0.0,2.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2010-06-01,4.0,0.0,0.0,0.0,0.0,0.0,4.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2010-06-01,0.0,1.0,0.0,0.0,0.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2010-08-01,0.0,1.0,0.0,0.0,0.0,0.0,1.0
71001,MONTERO,sospecha diagnostica,tos ferina,2010-08-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
71001,MONTERO,sospecha diagnostica,tos ferina,2010-09-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
20105,EL ALTO,sospecha diagnostica,tos ferina,2010-10-01,1.0,1.0,0.0,0.0,0.0,0.0,2.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2011-01-01,0.0,1.0,0.0,0.0,0.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2011-02-01,2.0,0.0,0.0,0.0,0.0,0.0,2.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2011-02-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2011-03-01,2.0,1.0,0.0,0.0,0.0,0.0,3.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2011-03-01,1.0,0.0,0.0,0.0,1.0,0.0,2.0
10101,SUCRE,sospecha diagnostica,tos ferina,2011-03-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
60301,YACUIBA,sospecha diagnostica,tos ferina,2011-03-01,0.0,1.0,0.0,0.0,0.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2011-04-01,1.0,5.0,1.0,0.0,0.0,0.0,7.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2011-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2011-05-01,2.0,3.0,2.0,0.0,0.0,0.0,7.0
21104,PALOS BLANCOS,sospecha diagnostica,tos ferina,2011-05-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2011-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2011-06-01,3.0,0.0,1.0,2.0,0.0,0.0,6.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2011-06-01,0.0,0.0,2.0,0.0,0.0,0.0,2.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2011-07-01,2.0,1.0,0.0,0.0,0.0,0.0,3.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2011-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30101,COCHABAMBA,sospecha diagnostica,tos ferina,2011-08-01,1.0,0.0,0.0,1.0,0.0,0.0,2.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2011-08-01,0.0,3.0,0.0,0.0,0.0,0.0,3.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2011-08-01,1.0,1.0,0.0,0.0,0.0,0.0,2.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2011-09-01,0.0,1.0,0.0,0.0,0.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2011-10-01,0.0,1.0,0.0,0.0,0.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2011-10-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
80101,TRINIDAD,sospecha diagnostica,tos ferina,2011-10-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
30101,COCHABAMBA,sospecha diagnostica,tos ferina,2011-11-01,2.0,0.0,0.0,0.0,0.0,0.0,2.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2011-11-01,1.0,1.0,1.0,0.0,0.0,0.0,3.0
80602,SAN ANDRES,sospecha diagnostica,tos ferina,2011-11-01,0.0,0.0,2.0,0.0,0.0,0.0,2.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2011-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2011-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2012-01-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2012-01-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2012-02-01,4.0,3.0,0.0,0.0,0.0,0.0,7.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2012-02-01,0.0,1.0,0.0,0.0,0.0,0.0,1.0
31003,VILLA TUNARI,sospecha diagnostica,tos ferina,2012-02-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
60601,ENTRE RIOS TRJ,sospecha diagnostica,tos ferina,2012-03-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2012-03-01,1.0,1.0,0.0,0.0,0.0,0.0,2.0
60601,ENTRE RIOS TRJ,sospecha diagnostica,tos ferina,2012-04-01,2.0,0.0,2.0,1.0,0.0,0.0,5.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2012-04-01,0.0,4.0,0.0,0.0,0.0,0.0,4.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2012-05-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2012-06-01,2.0,0.0,0.0,0.0,0.0,0.0,2.0
71201,SAN MATIAS,sospecha diagnostica,tos ferina,2012-06-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2012-07-01,1.0,1.0,0.0,1.0,0.0,0.0,3.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2012-08-01,1.0,1.0,0.0,0.0,0.0,0.0,2.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2012-08-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
60401,URIONDO (A. CONCEPCION),sospecha diagnostica,tos ferina,2012-08-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2012-09-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
71104,SAN JULIAN,sospecha diagnostica,tos ferina,2012-09-01,0.0,1.0,0.0,0.0,0.0,0.0,1.0
80401,SANTA ANA,sospecha diagnostica,tos ferina,2012-09-01,0.0,0.0,1.0,0.0,0.0,0.0,1.0
60101,TARIJA,sospecha diagnostica,tos ferina,2012-09-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
60101,TARIJA,sospecha diagnostica,tos ferina,2012-10-01,2.0,0.0,0.0,0.0,0.0,0.0,2.0
60101,TARIJA,sospecha diagnostica,tos ferina,2012-11-01,2.0,0.0,0.0,0.0,0.0,0.0,2.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2012-12-01,1.0,1.0,0.0,0.0,0.0,0.0,2.0
