codigo_municipio,municipio,grupo,variable,mes,total
21601,GRAL. J.J. PEREZ (CHARAZANI),eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2016-02-01,1.0
21105,LA ASUNTA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2016-02-01,3.0
20101,LA PAZ,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2016-02-01,61.0
20103,MECAPACA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2016-03-01,1.0
10202,TARVITA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2016-08-01,2.0
22001,CARANAVI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2017-01-01,5.0
30101,COCHABAMBA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2017-01-01,2.0
31003,VILLA TUNARI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2017-01-01,501.0
10501,MONTEAGUDO,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2017-02-01,374.0
22002,ALTO BENI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2017-03-01,4.0
21101,CHULUMANI (V. DE LA LIBERTAD),eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2017-03-01,4.0
31003,VILLA TUNARI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2017-03-01,51.0
70706,CAMIRI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2017-04-01,12.0
10103,POROMA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-01-01,2.0
10103,POROMA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-02-01,21.0
10702,SAN LUCAS,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-02-01,891.0
21103,YANACACHI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-02-01,2.0
10201,AZURDUY,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-03-01,2.0
70706,CAMIRI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-03-01,44.0
51103,CKOCHAS,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-03-01,2.0
11002,HUACAYA (VILLA DE HUACAYA),eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-03-01,1.0
70805,PUCARA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-03-01,3.0
10702,SAN LUCAS,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-03-01,14.0
10103,POROMA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-04-01,1.0
70804,POSTRER VALLE,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-08-01,2.0
70805,PUCARA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-08-01,1.0
70801,VALLEGRANDE,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-08-01,3.0
10402,TOMINA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-09-01,1.0
30601,ARQUE,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-10-01,4.0
