codigo_municipio,municipio,grupo,variable,mes,dentro_masculino,dentro-1_femenino,fuera_masculino,fuera-1_femenino,totales_total-m,totales-1_total-f,totales-2_total
20201,ACHACACHI,mortalidad institucional,muerte menor de 1 ano,2008-01-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
41201,ANDAMARCA,mortalidad institucional,muerte menor de 1 ano,2008-01-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
21303,AYO AYO,mortalidad institucional,muerte menor de 1 ano,2008-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
70706,CAMIRI,mortalidad institucional,muerte menor de 1 ano,2008-01-01,1.0,3.0,0.0,0.0,1.0,3.0,4.0
22001,CARANAVI,mortalidad institucional,muerte menor de 1 ano,2008-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
40201,CHALLAPATA,mortalidad institucional,muerte menor de 1 ano,2008-01-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
21101,CHULUMANI (V. DE LA LIBERTAD),mortalidad institucional,muerte menor de 1 ano,2008-01-01,1.0,1.0,0.0,1.0,1.0,2.0,3.0
30101,COCHABAMBA,mortalidad institucional,muerte menor de 1 ano,2008-01-01,3.0,8.0,1.0,1.0,4.0,9.0,13.0
31002,COLOMI,mortalidad institucional,muerte menor de 1 ano,2008-01-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
21306,COLQUENCHA,mortalidad institucional,muerte menor de 1 ano,2008-01-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
20105,EL ALTO,mortalidad institucional,muerte menor de 1 ano,2008-01-01,7.0,3.0,7.0,5.0,14.0,8.0,22.0
70705,GUTIERREZ,mortalidad institucional,muerte menor de 1 ano,2008-01-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
40701,HUANUNI,mortalidad institucional,muerte menor de 1 ano,2008-01-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
20101,LA PAZ,mortalidad institucional,muerte menor de 1 ano,2008-01-01,22.0,16.0,3.0,2.0,25.0,18.0,43.0
50203,LLALLAGUA,mortalidad institucional,muerte menor de 1 ano,2008-01-01,0.0,0.0,1.0,1.0,1.0,1.0,2.0
30302,MOROCHATA,mortalidad institucional,muerte menor de 1 ano,2008-01-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
40101,ORURO,mortalidad institucional,muerte menor de 1 ano,2008-01-01,7.0,7.0,0.0,0.0,7.0,7.0,14.0
70502,PAILON,mortalidad institucional,muerte menor de 1 ano,2008-01-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
50101,POTOSI,mortalidad institucional,muerte menor de 1 ano,2008-01-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
30901,QUILLACOLLO,mortalidad institucional,muerte menor de 1 ano,2008-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
50402,RAVELO,mortalidad institucional,muerte menor de 1 ano,2008-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
80201,RIBERALTA,mortalidad institucional,muerte menor de 1 ano,2008-01-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
80304,RURRENABAQUE,mortalidad institucional,muerte menor de 1 ano,2008-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
